player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Breece Hall,97636,HB,NYJ,16,209,36,11,26.3,230,0,876,8,17,36,636,60.6,26,38,22,6,82,30.0,62.0,40.0,,57.7,47.5,68.7,67.5,42,2,483,57,384,233,0,0,75,266,5,876,636,3.04,4.2,1.26,124
Rhamondre Stevenson,98689,HB,NE,15,207,41,7,18.4,147,1,801,1,10,41,601,61.7,22,41,19,7,119,28.1,69.6,60.0,,59.2,63.3,70.3,71.3,33,3,168,33,273,225,0,0,39,240,7,801,601,2.9,3.9,0.62,83
J.K. Dobbins,57366,HB,LAC,14,204,39,10,31.8,296,0,931,2,4,39,611,54.6,27,49,27,0,120,90.8,66.6,87.3,,69.6,54.5,67.1,68.9,61,0,153,32,227,229,0,0,36,236,9,931,611,3.0,4.6,0.67,81
De'Von Achane,124305,HB,MIA,17,203,32,10,31.5,286,1,907,1,16,32,590,49.6,21,38,17,1,69,83.9,81.6,66.9,,15.7,80.5,82.8,40.4,61,1,592,78,408,249,0,0,85,281,6,907,590,2.91,4.5,1.45,121
Tyrone Tracy,84226,HB,NYG,17,192,34,10,31.3,263,0,839,6,13,34,546,58.1,18,39,21,4,81,29.8,58.4,89.7,,35.1,40.6,69.6,40.0,45,0,284,38,310,234,0,0,50,230,5,839,546,2.84,4.4,0.92,99
David Montgomery,45719,HB,DET,15,192,42,5,11.1,89,0,803,0,18,42,603,82.6,18,52,11,2,64,68.1,85.9,40.9,70.4,47.4,90.7,80.1,60.0,21,1,341,36,158,201,0,0,37,228,12,803,603,3.14,4.2,2.16,124
Jayden Daniels,97993,QB,WAS,20,183,52,5,11.6,119,1,357,0,0,19,219,45.1,32,64,32,5,41,75.5,90.6,90.8,84.7,,58.4,90.0,60.5,46,2,0,0,1,497,669,87,0,96,7,1026,666,3.64,5.6,0.0,25
Jalen Hurts,40291,QB,PHI,18,173,27,4,13.3,100,0,358,0,0,16,207,19.6,21,70,24,10,29,54.0,79.3,49.3,69.5,,,90.6,60.1,44,5,0,0,0,564,394,43,0,130,18,752,409,2.36,4.3,,22
Tank Bigsby,123974,HB,JAX,15,168,46,8,31.6,242,0,766,2,4,46,628,106.8,20,38,15,3,98,27.5,68.1,86.1,,25.3,36.8,74.6,59.2,65,0,54,7,129,195,0,0,11,175,7,766,628,3.74,4.6,0.42,67
Lamar Jackson,46416,QB,BLT,19,160,50,12,26.4,273,0,621,0,0,22,219,37.7,40,54,3,11,33,44.2,94.9,42.2,93.3,,,90.4,60.9,48,8,0,0,0,572,414,47,0,113,4,1035,518,3.24,6.5,,47
Kenneth Walker III,97199,HB,SEA,11,153,61,6,22.7,130,1,573,1,13,61,467,113.5,13,28,29,1,68,78.0,88.4,22.8,,29.7,72.9,91.2,68.7,28,2,299,46,224,180,0,0,52,199,7,573,467,3.05,3.7,1.33,81
Jordan Mason,62946,HB,SF,12,153,37,12,36.9,291,0,789,0,3,37,512,81.6,23,38,28,3,41,43.4,72.7,85.7,,44.5,53.4,76.1,67.3,38,0,91,11,170,175,0,0,14,164,3,789,512,3.35,5.2,0.54,110
Travis Etienne Jr.,57185,HB,JAX,15,150,17,6,19.0,106,0,558,2,10,17,372,35.4,16,31,15,1,85,76.9,60.7,88.3,,19.3,70.7,62.8,57.7,22,0,254,39,254,165,0,0,50,189,2,558,372,2.48,3.7,1.0,62
Javonte Williams,77803,HB,DEN,18,146,23,4,12.5,68,0,542,4,8,23,351,37.3,13,30,10,2,68,63.4,61.7,58.4,,68.4,63.7,60.5,42.3,20,1,360,54,300,174,0,0,68,200,4,542,351,2.4,3.7,1.2,74
Rachaad White,131633,HB,TB,17,145,24,5,23.1,142,0,614,0,14,24,453,60.0,12,35,30,3,65,49.0,73.8,90.4,,69.2,69.3,73.7,63.2,56,0,407,53,311,191,0,0,57,198,3,614,453,3.12,4.2,1.31,74
Tyler Allgeier,83639,HB,ATL,17,137,37,9,27.5,177,0,644,0,8,37,494,108.2,18,43,2,0,33,90.1,86.4,81.6,,59.6,67.7,85.7,49.4,25,0,88,13,93,165,0,0,13,150,3,644,494,3.61,4.7,0.95,101
Zach Charbonnet,97630,HB,SEA,17,135,32,5,22.8,130,0,569,0,11,32,452,81.3,16,33,29,0,64,90.2,77.5,90.7,,74.2,66.8,78.8,62.6,51,0,308,42,284,167,0,0,47,177,8,569,452,3.35,4.2,1.08,61
Alexander Mattison,45817,HB,LV,14,132,14,3,13.8,58,0,420,3,14,14,316,39.9,7,25,23,1,51,75.0,61.4,87.8,,41.1,62.2,62.3,58.0,24,0,294,36,218,160,0,0,45,168,4,420,316,2.39,3.2,1.35,79
Josh Allen,46601,QB,BUF,20,131,24,1,3.3,21,0,217,0,0,4,133,7.5,19,64,4,8,25,37.4,91.9,80.7,84.1,,,93.6,60.1,30,3,7,0,0,485,419,47,0,84,14,636,385,2.94,4.9,,7
Jaylen Warren,98692,HB,PIT,16,122,31,4,13.9,72,0,517,1,9,31,390,78.0,14,29,25,2,33,59.2,64.3,89.4,,22.4,70.9,68.3,52.5,22,0,329,42,232,155,0,0,47,164,1,517,390,3.2,4.2,1.42,84
Ray Davis,101072,HB,BUF,20,120,30,5,19.2,92,1,478,0,2,30,364,70.9,12,27,4,1,68,55.0,70.4,29.1,,23.1,61.4,73.1,59.7,23,2,189,17,112,154,0,0,18,137,4,478,364,3.03,4.0,1.69,50
Antonio Gibson,78050,HB,NE,17,120,40,7,31.0,167,0,538,1,8,40,469,131.2,14,23,19,2,68,55.3,72.6,89.0,,44.3,65.6,75.5,57.5,45,0,206,23,164,133,0,0,29,143,1,538,469,3.91,4.5,1.26,47
Jaleel McLaughlin,138346,HB,DEN,17,115,28,5,18.0,89,0,494,0,5,28,294,60.3,16,25,10,1,26,70.0,65.2,85.7,,27.2,51.3,70.3,60.5,21,0,76,25,146,141,0,0,26,140,1,494,294,2.56,4.3,0.52,83
Devin Singletary,40485,HB,NYG,15,113,25,4,22.4,98,1,437,1,5,25,317,62.8,10,24,21,2,56,50.2,62.1,86.0,,71.9,54.0,64.5,41.2,43,1,119,21,164,139,0,0,24,134,4,437,317,2.81,3.9,0.73,53
Cam Akers,57206,HB,MIN,16,109,22,8,38.9,188,0,483,0,1,22,309,53.0,17,22,18,1,47,69.3,72.2,84.2,,33.9,59.8,75.9,60.0,58,0,68,14,126,121,0,0,16,123,2,483,309,2.83,4.4,0.54,60
Gus Edwards,46027,HB,LAC,12,108,14,1,11.1,43,0,387,0,0,14,287,33.5,6,18,27,0,48,88.4,64.5,81.4,,49.1,50.4,65.7,67.5,43,0,6,3,66,139,0,0,4,111,4,387,287,2.66,3.6,0.09,59
Emanuel Wilson,154173,HB,GB,18,106,28,7,24.6,125,0,508,1,5,28,307,81.0,13,27,12,0,39,88.5,82.9,30.4,,60.5,63.4,86.3,62.6,21,1,71,12,109,130,0,0,15,118,4,508,307,2.9,4.8,0.65,64
Jerome Ford,83601,HB,CLV,14,104,26,7,45.1,255,0,565,1,17,26,364,106.7,13,25,8,0,42,90.1,71.2,92.8,,45.1,59.7,80.3,57.7,66,0,225,37,304,127,0,0,42,141,3,565,364,3.5,5.4,0.74,57
Nick Chubb,45783,HB,CLV,8,102,20,2,10.2,34,0,332,2,1,20,274,52.7,5,17,8,1,31,65.4,57.5,82.5,,47.3,38.6,62.5,59.4,19,0,31,5,87,115,0,0,9,107,3,332,274,2.69,3.3,0.36,68
Austin Ekeler,12164,HB,WAS,15,99,13,5,34.6,158,0,456,2,17,13,248,51.5,9,22,32,3,46,28.9,69.8,91.9,,42.3,72.6,69.0,52.4,50,0,450,47,283,161,0,0,54,146,4,456,248,2.51,4.6,1.59,44
Bo Nix,97790,QB,DEN,18,96,12,1,6.8,32,1,71,0,0,0,15,0.0,19,45,10,2,5,91.6,78.3,49.4,73.8,,90.3,81.2,60.0,32,9,2,1,2,415,402,53,1,44,4,473,203,2.11,4.9,1.0,7
Isiah Pacheco,83747,HB,KC,9,93,6,1,10.0,34,0,340,1,6,6,213,25.7,4,14,16,0,33,87.8,64.2,85.5,,81.5,55.8,64.6,55.6,34,0,91,14,115,102,0,0,19,107,1,340,213,2.29,3.7,0.79,56
Braelon Allen,145159,HB,NYJ,17,92,10,1,6.0,20,0,334,4,4,10,263,36.1,5,22,22,0,36,87.9,73.6,86.0,,52.7,50.3,82.0,50.3,20,0,148,19,134,113,0,0,26,111,2,334,263,2.86,3.6,1.1,54
Anthony Richardson,124393,QB,IND,11,86,17,4,17.2,86,1,315,0,0,8,144,26.9,21,32,14,9,41,28.2,62.2,69.7,59.8,,57.6,65.1,60.0,29,4,-1,1,1,302,184,21,1,66,6,499,278,3.23,5.8,-1.0,10
Raheem Mostert,9783,HB,MIA,13,85,16,3,19.8,55,0,278,1,4,16,233,52.7,9,15,17,2,31,41.5,69.3,84.1,,56.8,65.0,70.4,58.1,21,0,161,19,155,98,0,0,21,104,2,278,233,2.74,3.3,1.04,49
Tyjae Spears,97195,HB,TEN,12,85,20,2,13.5,42,0,312,1,17,20,235,89.0,9,19,31,1,41,88.7,67.8,88.2,,51.8,68.0,67.9,59.1,23,0,224,30,167,103,0,0,33,115,4,312,235,2.76,3.7,1.34,37
Isaac Guerendo,83806,HB,SF,15,84,14,6,40.7,171,0,420,1,2,14,255,49.1,9,18,28,1,20,27.7,64.6,83.1,,41.7,56.7,67.3,56.7,76,0,152,15,107,102,0,0,16,99,4,420,255,3.04,5.0,1.42,60
Kenneth Gainwell,77737,HB,PHI,20,82,11,2,12.1,39,1,322,0,9,11,209,50.5,12,15,24,0,29,89.4,57.6,40.3,,42.4,72.1,55.3,46.7,20,1,142,19,132,147,0,0,25,101,1,322,209,2.55,3.9,1.08,52
Caleb Williams,144622,QB,CHI,17,81,21,0,0.0,0,1,117,0,0,3,33,9.1,21,27,6,10,4,81.6,67.1,49.0,62.9,70.7,60.0,80.4,60.3,24,9,0,0,0,378,372,48,0,33,0,489,263,3.25,6.0,,13
Kyler Murray,38334,QB,ARZ,17,78,13,2,12.2,70,0,218,0,0,4,58,16.1,19,27,1,8,20,66.8,82.0,46.3,78.1,,,81.8,60.6,50,6,0,0,0,409,354,40,0,38,5,572,236,3.03,7.3,,8
Patrick Mahomes,11765,QB,KC,18,76,8,0,0.0,0,1,-34,0,0,1,3,0.3,16,27,16,4,1,76.4,86.0,90.6,80.8,,,86.3,60.4,33,2,2,1,0,445,398,47,1,30,4,364,146,1.92,4.8,,2
Audric Estime,147476,HB,DEN,13,76,13,1,6.8,21,0,310,0,0,13,234,49.4,5,14,10,2,46,30.7,62.3,78.9,,52.8,68.3,61.1,60.0,21,0,27,5,40,87,0,0,5,81,2,310,234,3.08,4.1,0.68,25
Ezekiel Elliott,10638,HB,DAL,15,74,5,0,0.0,0,0,226,0,2,5,189,20.8,1,14,9,1,17,58.9,60.5,87.3,,59.8,61.4,59.6,58.2,11,0,69,12,128,93,0,0,15,86,3,226,189,2.55,3.1,0.54,48
Zack Moss,40341,HB,CIN,8,74,9,2,12.8,31,0,242,2,6,9,157,32.8,5,13,7,2,41,37.0,58.2,87.5,,50.6,66.2,55.4,60.0,16,0,187,23,155,85,0,0,27,97,2,242,157,2.12,3.3,1.21,28
Sam Darnold,29048,QB,MIN,18,71,7,0,0.0,0,0,-8,0,0,0,5,0.0,10,26,18,9,1,56.9,80.7,31.9,77.5,61.3,55.2,82.5,60.1,19,10,0,0,2,456,239,29,0,42,1,231,158,2.23,3.3,0.0,3
D'Onta Foreman,11844,HB,CLV,11,71,6,1,10.8,25,0,232,1,2,6,145,21.2,2,10,8,2,32,33.4,52.8,17.6,,33.5,49.0,58.5,57.3,25,1,54,6,74,87,0,0,8,77,0,232,145,2.04,3.3,0.73,35
Justin Herbert,28237,QB,LAC,18,69,8,0,0.0,0,0,-5,0,0,0,19,0.0,8,23,27,6,4,59.2,91.2,90.2,90.2,,,72.4,60.1,41,1,0,0,0,438,311,31,0,38,2,306,137,1.99,4.4,,2
Jaylen Wright,146934,HB,MIA,15,68,16,4,28.9,72,0,249,2,0,16,221,73.2,8,11,17,1,20,55.7,65.3,82.2,,81.6,34.2,75.8,43.2,20,0,8,3,78,81,0,0,6,71,0,249,221,3.25,3.7,0.1,44
Baker Mayfield,46518,QB,TB,18,67,14,0,0.0,0,0,9,0,0,0,15,0.0,21,23,30,14,1,42.1,85.9,70.1,83.6,,,70.9,60.0,28,3,0,0,0,447,389,46,0,21,3,398,293,4.37,5.9,,5
Daniel Jones,39395,QB,MIN,10,67,14,1,9.1,24,0,183,0,0,11,107,45.3,8,26,18,4,8,80.1,72.0,56.4,67.5,,59.9,79.0,60.0,24,5,0,0,1,255,82,16,0,51,2,265,170,2.54,4.0,0.0,12
Ameer Abdullah,9487,HB,LV,14,66,13,2,18.3,57,0,311,0,6,13,172,46.7,8,13,23,1,22,70.8,68.3,88.0,,46.1,80.7,67.0,30.3,40,1,261,40,258,75,0,0,45,106,2,311,172,2.61,4.7,1.01,44
Brock Purdy,77672,QB,SF,15,66,12,0,0.0,0,0,23,0,0,0,10,0.0,12,33,28,7,0,63.7,82.4,65.6,76.3,60.9,57.7,90.2,60.0,16,2,0,0,2,374,300,44,0,22,5,323,163,2.47,4.9,0.0,3
Zamir White,83665,HB,LV,8,65,6,1,9.3,17,0,183,0,4,6,134,29.0,2,4,23,2,28,28.8,42.7,80.3,,47.8,60.2,40.8,71.7,17,0,30,6,56,76,0,0,8,71,1,183,134,2.06,2.8,0.54,37
C.J. Stroud,129759,QB,HST,19,64,9,0,0.0,0,0,-21,0,0,0,-1,0.0,11,19,13,8,1,76.3,79.9,60.9,77.5,,55.7,73.3,60.0,28,5,0,0,3,429,338,45,1,19,0,317,180,2.81,5.0,0.0,0
Trey Benson,131705,HB,ARZ,13,63,14,3,17.9,52,0,291,0,5,14,210,91.8,10,16,1,1,47,53.4,62.8,80.4,,77.0,70.2,59.4,57.6,20,0,59,6,47,74,0,0,6,69,1,291,210,3.33,4.6,1.26,16
Justin Fields,82118,QB,PIT,11,62,10,2,16.6,48,0,179,0,0,3,76,11.8,8,19,25,6,8,63.2,71.0,37.9,65.7,,,76.8,60.0,30,4,0,0,0,196,110,18,0,44,5,289,130,2.1,4.7,,14
Ty Johnson,45769,HB,BUF,20,61,11,4,23.1,71,0,307,0,2,11,193,49.6,9,18,4,0,11,86.3,73.3,89.7,,31.9,73.0,78.5,47.5,19,0,318,22,231,115,0,0,29,83,1,307,193,3.16,5.0,1.38,49
Jeremy McNichols,11917,HB,WAS,19,60,13,3,25.9,70,0,270,0,0,13,208,65.3,6,16,32,0,28,57.4,72.0,34.6,,59.8,51.5,86.3,41.4,28,1,27,9,136,103,0,0,10,69,5,270,208,3.47,4.5,0.2,31
Justice Hill,45865,HB,BLT,17,59,17,4,39.7,115,0,285,0,13,17,235,111.7,9,18,3,0,17,87.2,79.5,53.7,,52.3,89.0,81.9,52.0,51,1,403,48,264,121,0,0,52,107,1,290,235,3.98,4.9,1.53,33
Blake Corum,129574,HB,LA,14,58,11,0,0.0,0,0,207,0,1,11,139,44.2,4,12,26,0,26,85.4,72.0,78.6,,54.1,72.9,70.0,58.9,12,0,58,7,32,68,0,0,8,65,0,207,139,2.4,3.6,1.81,31
Trey Sermon,57372,HB,IND,17,56,7,2,20.1,32,0,159,2,2,7,140,31.3,4,14,14,0,25,84.5,54.1,84.9,,57.2,46.4,56.0,67.5,17,0,99,16,122,66,0,0,18,72,2,159,140,2.5,2.8,0.81,31
Carson Steele,145632,HB,KC,18,56,9,0,0.0,0,0,183,0,3,9,136,46.3,0,14,16,3,24,23.9,52.6,86.9,,18.0,52.5,59.0,47.9,9,0,26,7,85,110,0,0,10,63,0,183,136,2.43,3.3,0.31,24
Ty Chandler,62942,HB,MIN,13,56,3,1,13.7,25,0,182,0,0,3,100,8.6,3,9,18,0,20,85.7,52.4,82.7,60.0,33.1,59.9,54.3,58.3,25,1,42,6,65,67,0,0,6,62,0,182,100,1.79,3.3,0.65,32
Roschon Johnson,99467,HB,CHI,13,55,5,0,0.0,0,0,150,0,5,5,114,29.2,0,17,6,0,31,84.5,69.5,87.9,,36.5,67.3,76.0,58.8,9,0,104,16,136,66,0,0,17,71,6,150,114,2.07,2.7,0.76,19
Miles Sanders,40555,HB,CAR,11,55,10,1,12.7,26,0,205,0,9,10,138,60.3,3,12,5,1,21,56.3,68.0,86.1,,38.2,57.6,76.1,58.1,26,0,148,24,130,65,0,0,28,79,2,205,138,2.51,3.7,1.14,32
Drake Maye,143969,QB,NE,13,54,12,0,0.0,0,0,14,0,0,0,3,0.0,18,22,19,9,0,48.6,70.1,56.1,64.9,,60.0,82.9,60.2,41,2,0,0,1,219,407,45,0,9,2,421,206,3.81,7.8,0.0,1
Geno Smith,7820,QB,SEA,17,53,3,1,5.5,15,1,16,0,0,0,5,0.0,14,17,29,9,3,65.2,82.5,47.4,81.9,,58.9,62.6,60.0,34,10,0,0,1,367,256,24,0,29,2,272,66,1.25,5.1,0.0,3
Christian McCaffrey,11763,HB,SF,4,50,5,2,18.3,37,0,202,0,3,5,135,33.2,6,12,28,1,12,51.2,71.3,83.7,,77.2,72.8,68.1,57.3,19,0,146,15,91,57,0,0,19,65,0,202,135,2.7,4.0,1.6,36
Sean Tucker,123056,HB,TB,12,50,5,4,33.4,103,0,308,0,4,5,163,49.7,9,17,30,1,33,56.2,80.0,79.4,,62.0,81.8,76.3,59.1,36,0,109,9,42,64,0,0,11,59,2,308,163,3.26,6.2,2.6,17
Jamaal Williams,11889,HB,NO,14,48,5,0,0.0,0,0,164,0,0,5,120,21.9,3,11,20,0,14,85.1,62.3,83.5,,46.3,52.7,68.2,58.0,14,0,57,9,77,56,0,0,9,57,1,164,120,2.5,3.4,0.74,31
Russell Wilson,7077,QB,PIT,12,46,4,0,0.0,0,1,8,0,0,1,13,2.3,6,16,25,5,0,57.0,79.5,74.3,77.5,,,68.7,60.0,19,3,0,0,0,316,153,22,0,24,2,161,101,2.2,3.5,,4
Dameon Pierce,83659,HB,HST,12,46,12,2,45.9,146,0,318,0,2,12,289,183.2,7,7,13,1,19,50.1,72.8,3.1,,43.7,48.6,82.9,43.9,92,1,2,2,59,59,0,0,4,48,2,318,289,6.28,6.9,0.03,26
Will Levis,83542,QB,TEN,12,45,4,1,8.2,15,0,44,0,0,0,32,0.0,5,20,31,10,7,30.1,54.9,54.4,54.6,,58.4,58.2,60.2,21,5,0,0,1,237,139,20,0,25,0,183,90,2.0,4.1,0.0,3
Kimani Vidal,123727,HB,LAC,10,43,7,2,22.6,35,0,155,3,0,7,120,40.7,2,7,27,1,29,82.3,55.8,83.3,,47.1,34.8,64.4,70.0,19,0,62,5,84,49,0,0,8,48,0,155,120,2.79,3.6,0.74,13
Bryce Young,123943,QB,CAR,14,43,7,0,0.0,0,0,-8,0,0,0,0,0.0,8,15,5,5,0,62.6,74.4,15.0,75.1,60.9,58.9,59.5,60.0,34,9,0,0,0,249,257,37,0,6,6,249,99,2.3,5.8,,1
Deebo Samuel,48274,WR,SF,15,42,10,0,0.0,0,1,136,5,15,10,98,62.7,2,5,28,0,13,42.4,70.9,58.4,60.0,,72.1,66.9,50.3,13,4,670,51,420,244,0,0,80,93,1,136,98,2.33,3.2,1.6,18
Joe Burrow,28022,QB,CIN,17,42,3,0,0.0,0,1,-4,0,0,0,3,0.0,8,16,7,11,1,56.9,93.9,59.8,92.8,,,74.8,60.1,47,9,0,0,0,356,205,22,0,20,2,201,100,2.38,4.8,,0
Kendre Miller,123091,HB,NO,6,39,13,2,22.3,33,0,148,2,1,13,126,102.8,6,11,20,0,9,83.1,73.3,81.6,,47.2,49.2,79.7,60.0,17,0,33,5,47,44,0,0,8,44,1,148,126,3.23,3.8,0.7,28
Patrick Taylor,40448,HB,SF,7,39,5,1,15.8,29,0,183,2,0,5,119,36.3,3,11,28,0,6,83.0,60.4,84.0,,65.9,33.7,69.8,56.9,29,0,25,3,86,60,0,0,11,42,1,183,119,3.05,4.7,0.29,33
Taysom Hill,12112,TE,NO,8,39,10,2,38.8,108,0,278,3,6,10,228,150.9,5,18,20,1,15,49.9,71.8,85.7,39.5,75.6,65.9,89.9,43.2,75,0,187,23,111,102,0,0,31,62,6,278,228,5.85,7.1,1.68,19
Sincere McCormick,97119,HB,LV,4,39,8,3,35.5,65,0,183,0,0,8,125,57.0,6,10,23,0,18,81.8,76.1,78.0,,55.8,82.6,72.7,58.4,29,0,29,6,25,49,0,0,6,45,0,183,125,3.21,4.7,1.16,21
Chris Brooks,83644,HB,GB,14,36,6,2,22.4,41,0,183,1,4,6,119,67.5,4,12,12,0,13,81.9,65.6,86.7,,67.5,53.8,69.5,63.2,23,1,78,13,80,82,0,0,15,49,1,183,119,3.31,5.1,0.98,23
Khalil Herbert,41668,HB,CIN,13,36,2,0,0.0,0,0,130,1,1,2,66,12.0,2,10,7,1,20,44.0,52.0,83.3,,46.4,37.6,57.6,62.1,14,0,25,10,65,53,0,0,11,46,1,130,66,1.83,3.6,0.38,15
Jared Goff,10635,QB,DET,18,36,1,0,0.0,0,0,-13,0,0,0,2,0.0,1,10,11,7,0,64.1,78.8,80.6,76.3,78.0,88.6,66.4,60.0,10,2,7,1,3,525,76,15,1,22,0,63,45,1.25,1.8,2.33,0
