team,abbr,year,nfelo,qb_adj,value,off_epa,off_pass_epa,off_rush_epa,def_epa,def_pass_epa,def_rush_epa,point_diff,wins,pythag_wins,film,pass_rate,rush_rate,proe,adot,shotgun_pct,no_huddle_pct,personnel_11_pct,personnel_12_pct,top_min,net_epa,win_pct,qb_grade,rb_grade,wr_grade,edge_grade,idl_grade,lb_grade,cb_grade,s_grade,ol_grade,success_rate,dropback_sr,rush_sr,lag_off_epa,lag_off_pass_epa,lag_off_rush_epa,lag_def_epa,lag_def_pass_epa,lag_def_rush_epa,lag_net_epa,lag_wins,lag_win_pct,lag_nfelo,lag_qb_adj,lag_pythag_wins,lag_pass_rate,lag_proe,lag_adot,lag_shotgun_pct,lag_qb_grade,lag_ol_grade,lag_rb_grade,lag_wr_grade,lag_edge_grade,lag_idl_grade,lag_lb_grade,lag_cb_grade,lag_s_grade,lag_success_rate,lag_dropback_sr,lag_rush_sr,lag2_net_epa,epa_trend_2yr,lag2_nfelo,nfelo_trend,next_net_epa,next_win_pct,next_wins
Cardinals,ARI,2021,1581.06,8.1684,2.60959,0.0151,0.0858,-0.0163478,-0.058,-0.0048,-0.100707,3.3333,11,10.4771,8,0.5989,0.4011,0.0031,7.4873,0.6964,0.3723,0.5097,0.2808,31.133333333333333,0.141,0.611,69.9,74.17500000000001,67.65714285714286,66.71666666666667,55.857142857142854,53.92,58.82000000000001,67.52000000000001,58.560923690940754,0.46799999999999997,0.504,0.413,0.022,0.0123,0.0602786,-0.0281,0.0243,-0.0241761,0.018,8.0,0.5,1520.62,28.5052,9.0443,0.6067,-0.0124,7.8924,0.6946,55.099999999999994,59.03966734654401,60.400000000000006,65.68333333333334,56.879999999999995,50.34285714285714,56.3,54.52,70.52000000000001,0.45899999999999996,0.496,0.4,-0.081,0.099,1413.89,106.72999999999979,-0.094,0.235,4.0
Cardinals,ARI,2022,1278.1,-132.317,-8.17443,-0.1156,-0.1418,-0.0238204,-0.0019,0.0336,-0.040109,-6.4118,4,5.7962,5,0.6594,0.3406,-0.0166,6.9758,0.6647,0.3275,0.5943,0.3368,30.15,-0.094,0.235,53.974999999999994,61.650000000000006,61.214285714285715,61.06,54.07142857142857,48.900000000000006,60.114285714285714,69.575,60.03850960947942,0.40700000000000003,0.408,0.40700000000000003,0.0151,0.0858,-0.0163478,-0.058,-0.0048,-0.100707,0.141,11.0,0.611,1581.06,8.1684,10.4771,0.5989,0.0031,7.4873,0.6964,69.9,58.560923690940754,74.17500000000001,67.65714285714286,66.71666666666667,55.857142857142854,53.92,58.82000000000001,67.52000000000001,0.46799999999999997,0.504,0.413,0.018,0.12299999999999998,1520.62,60.440000000000055,-0.18,0.235,4.0
Cardinals,ARI,2023,1401.71,53.9,-3.70426,-0.0559,-0.1798,0.0391246,0.0799,0.1602,0.00520382,-7.3529,4,5.4124,3,0.5929,0.4071,-0.065,7.556,0.6093,0.1027,0.5075,0.3122,29.533333333333335,-0.18,0.235,52.5,70.875,60.96,55.220000000000006,48.43333333333333,46.38333333333333,53.220000000000006,67.66666666666667,,,,,-0.1156,-0.1418,-0.0238204,-0.0019,0.0336,-0.040109,-0.094,4.0,0.235,1278.1,-132.317,5.7962,0.6594,-0.0166,6.9758,0.6647,53.974999999999994,60.03850960947942,61.650000000000006,61.214285714285715,61.06,54.07142857142857,48.900000000000006,60.114285714285714,69.575,0.40700000000000003,0.408,0.40700000000000003,0.141,-0.235,1581.06,-302.96000000000004,0.01573369863,0.47100000000000003,8.0
Cardinals,ARI,2024,1496.63,12.0287,-0.72959,0.0822,0.0802,0.0463973,0.0639,0.0677,0.0318788,1.2353,8,9.0425,8,0.5946,0.4054,-0.0245,6.821,,0.1038,,,29.65,0.01573369863,0.47100000000000003,63.8,72.56666666666666,61.46,62.285714285714285,51.67,62.08,65.32000000000001,65.88,,,,,-0.0559,-0.1798,0.0391246,0.0799,0.1602,0.00520382,-0.18,4.0,0.235,1401.71,53.9,5.4124,0.5929,-0.065,7.556,0.6093,52.5,,70.875,60.96,55.220000000000006,48.43333333333333,46.38333333333333,53.220000000000006,67.66666666666667,,,,-0.094,-0.086,1278.1,123.61000000000013,,,3.0
Cardinals,ARI,2025,1335.27,-35.921,-6.09313,-0.0274,0.003,-0.0585963,0.1169,0.1571,-0.0125692,-7.8235,3,5.4387,3,0.6965,0.3035,0.0399,7.1914,,0.121,,,29.683333333333334,,,,,,,,,,,,,,,0.0822,0.0802,0.0463973,0.0639,0.0677,0.0318788,0.01573369863,8.0,0.47100000000000003,1496.63,12.0287,9.0425,0.5946,-0.0245,6.821,,63.8,,72.56666666666666,61.46,62.285714285714285,51.67,62.08,65.32000000000001,65.88,,,,-0.18,0.19573369863,1401.71,94.92000000000007,,,
Falcons,ATL,2011,1598.29,17.9736,3.22376,0.0105,0.1055,-0.101972,-0.0212,0.0335,-0.100673,1.7647,10,9.275,9,,,,,,,,,,0.08,0.588,62.400000000000006,65.16666666666667,64.58,54.8,59.775,66.0,61.0,59.833333333333336,,,,,0.0638,0.1224,-0.0920795,-0.0278,0.0126,-0.0968791,0.1,13.0,0.765,1599.33,15.2297,11.0228,,,,,70.35,,51.825,70.66,65.39999999999999,52.52,60.18000000000001,66.67999999999999,56.125,,,,,,1540.55,58.77999999999997,0.12,0.778,14.0
Falcons,ATL,2012,1564.87,17.7075,2.78771,0.0911,0.2301,-0.144986,-0.0205,0.0107,-0.0206967,6.5556,14,11.9478,11,,,,,,,,,,0.12,0.778,88.1,68.16666666666667,72.0,60.93333333333334,57.64,63.9,71.35000000000001,62.475,,,,,0.0105,0.1055,-0.101972,-0.0212,0.0335,-0.100673,0.08,10.0,0.588,1598.29,17.9736,9.275,,,,,62.400000000000006,,65.16666666666667,64.58,54.8,59.775,66.0,61.0,59.833333333333336,,,,0.1,-0.020000000000000004,1599.33,-1.0399999999999636,-0.1,0.25,4.0
Falcons,ATL,2013,1424.92,-10.8785,-2.53755,0.0128,0.0286,-0.074482,0.1187,0.1562,0.0257961,-5.625,4,5.8976,4,,,,,,,,,,-0.1,0.25,76.6,68.47999999999999,68.08,54.02,58.675000000000004,59.86666666666667,65.47999999999999,55.5,,,,,0.0911,0.2301,-0.144986,-0.0205,0.0107,-0.0206967,0.12,14.0,0.778,1564.87,17.7075,11.9478,,,,,88.1,,68.16666666666667,72.0,60.93333333333334,57.64,63.9,71.35000000000001,62.475,,,,0.08,0.039999999999999994,1598.29,-33.42000000000007,-0.05,0.375,6.0
Falcons,ATL,2014,1477.15,23.6931,-1.6099,0.0114,0.0849,-0.123174,0.0521,0.1412,-0.0227109,-2.25,6,7.1473,6,,,,,,,,,,-0.05,0.375,83.15,73.25,68.61666666666666,61.916666666666664,64.02000000000001,59.475,62.120000000000005,53.5,,,,,0.0128,0.0286,-0.074482,0.1187,0.1562,0.0257961,-0.1,4.0,0.25,1424.92,-10.8785,5.8976,,,,,76.6,,68.47999999999999,68.08,54.02,58.675000000000004,59.86666666666667,65.47999999999999,55.5,,,,0.12,-0.22,1564.87,-139.94999999999982,0.0,0.5,8.0
Falcons,ATL,2015,1457.44,-9.2397,-0.703564,-0.0203,0.0973,-0.173503,-0.0123,0.0459,-0.0812572,-0.375,8,7.8337,11,,,,,,,,,,0.0,0.5,68.0,54.76666666666666,71.06,63.25,66.53333333333333,60.025,62.25,63.199999999999996,,,,,0.0114,0.0849,-0.123174,0.0521,0.1412,-0.0227109,-0.05,6.0,0.375,1477.15,23.6931,7.1473,,,,,83.15,,73.25,68.61666666666666,61.916666666666664,64.02000000000001,59.475,62.120000000000005,53.5,,,,-0.1,0.05,1424.92,52.23000000000002,0.12,0.684,13.0
Falcons,ATL,2016,1717.44,39.0541,8.36884,0.2037,0.346,-0.0162663,0.0305,0.0896,-0.0322793,8.7895,13,12.7221,16,0.6012,0.3988,0.0289,8.635,0.2236,0.0921,0.3847,0.1924,30.383333333333333,0.12,0.684,79.4,70.56666666666666,83.8,68.0,58.92,58.199999999999996,69.22,66.17999999999999,,,,,-0.0203,0.0973,-0.173503,-0.0123,0.0459,-0.0812572,0.0,8.0,0.5,1457.44,-9.2397,7.8337,,,,,68.0,,54.76666666666666,71.06,63.25,66.53333333333333,60.025,62.25,63.199999999999996,,,,-0.05,0.05,1477.15,-19.710000000000036,0.06,0.611,11.0
Falcons,ATL,2017,1604.81,-17.6987,4.94644,0.0434,0.1334,-0.0905254,-0.0142,0.0202,-0.0651018,2.5556,11,10.3323,11,0.5844,0.4156,-0.0247,9.0512,0.2148,0.071,0.4139,0.2686,29.75,0.06,0.611,88.3,67.06666666666666,68.08571428571429,72.525,70.35,58.779999999999994,71.73333333333333,64.925,,,,,0.2037,0.346,-0.0162663,0.0305,0.0896,-0.0322793,0.12,13.0,0.684,1717.44,39.0541,12.7221,0.6012,0.0289,8.635,0.2236,79.4,,70.56666666666666,83.8,68.0,58.92,58.199999999999996,69.22,66.17999999999999,,,,0.0,0.12,1457.44,260.0,-0.03,0.43799999999999994,7.0
Falcons,ATL,2018,1506.49,10.1157,0.384941,0.072,0.1608,-0.0939775,0.0826,0.0792,0.0823653,-0.5625,7,7.7962,10,0.6756,0.3244,0.041,8.5552,0.2835,0.0734,0.4975,0.2054,30.066666666666666,-0.03,0.43799999999999994,62.2,62.21999999999999,67.66666666666667,60.98333333333333,67.52000000000001,58.720000000000006,71.3,66.25,,,,,0.0434,0.1334,-0.0905254,-0.0142,0.0202,-0.0651018,0.06,11.0,0.611,1604.81,-17.6987,10.3323,0.5844,-0.0247,9.0512,0.2148,88.3,,67.06666666666666,68.08571428571429,72.525,70.35,58.779999999999994,71.73333333333333,64.925,,,,0.12,-0.06,1717.44,-112.63000000000011,-0.03,0.43799999999999994,7.0
Falcons,ATL,2019,1496.15,-12.9588,0.544434,-0.0113,0.0523,-0.109615,0.0056,0.1367,-0.0861069,-1.125,7,7.5628,8,0.6982,0.3018,0.029,8.1278,0.4122,0.089,0.5203,0.2247,31.183333333333334,-0.03,0.43799999999999994,68.1,59.160000000000004,70.31666666666666,64.5,65.82,63.13333333333333,57.01666666666667,49.23333333333333,65.28180541763686,0.445,0.48700000000000004,0.34700000000000003,0.072,0.1608,-0.0939775,0.0826,0.0792,0.0823653,-0.03,7.0,0.43799999999999994,1506.49,10.1157,7.7962,0.6756,0.041,8.5552,0.2835,62.2,,62.21999999999999,67.66666666666667,60.98333333333333,67.52000000000001,58.720000000000006,71.3,66.25,,,,0.06,-0.09,1604.81,-98.31999999999994,-0.029,0.25,4.0
Falcons,ATL,2020,1468.95,-6.9647,-0.723599,0.0326,0.0949,-0.10277,0.0431,0.1524,-0.109442,-1.125,4,7.579,6,0.6427,0.3573,0.0085,8.6534,0.3678,0.0795,0.5189,0.202,30.416666666666668,-0.029,0.25,83.1,52.3,70.38571428571429,54.075,64.53333333333333,59.739999999999995,54.65714285714286,63.82000000000001,58.75967913675407,0.44299999999999995,0.491,0.355,-0.0113,0.0523,-0.109615,0.0056,0.1367,-0.0861069,-0.03,7.0,0.43799999999999994,1496.15,-12.9588,7.5628,0.6982,0.029,8.1278,0.4122,68.1,65.28180541763686,59.160000000000004,70.31666666666666,64.5,65.82,63.13333333333333,57.01666666666667,49.23333333333333,0.445,0.48700000000000004,0.34700000000000003,-0.03,0.0,1506.49,-10.339999999999918,-0.156,0.41200000000000003,7.0
Falcons,ATL,2021,1386.09,-22.0395,-5.1894,-0.104,-0.07,-0.165033,0.0585,0.1441,3.99378e-05,-8.5882,7,4.8882,6,0.6323,0.3677,-0.0111,7.2448,0.3195,0.1333,0.2245,0.2366,28.033333333333335,-0.156,0.41200000000000003,49.400000000000006,64.66666666666667,64.33333333333333,48.01666666666667,53.875,61.0,64.67999999999999,59.85,68.37356367901813,0.41200000000000003,0.467,0.315,0.0326,0.0949,-0.10277,0.0431,0.1524,-0.109442,-0.029,4.0,0.25,1468.95,-6.9647,7.579,0.6427,0.0085,8.6534,0.3678,83.1,58.75967913675407,52.3,70.38571428571429,54.075,64.53333333333333,59.739999999999995,54.65714285714286,63.82000000000001,0.44299999999999995,0.491,0.355,-0.03,0.0009999999999999974,1496.15,-27.200000000000045,-0.061,0.41200000000000003,7.0
Falcons,ATL,2022,1354.2,-40.3748,-5.13045,-0.0029,-0.0298,0.0190419,0.0245,0.1336,-0.0102606,-1.2353,7,7.9374,10,0.488,0.512,-0.1371,9.8127,0.2231,0.158,0.3024,0.2754,29.966666666666665,-0.061,0.41200000000000003,61.099999999999994,76.26666666666667,68.16666666666667,56.075,56.5,54.275000000000006,64.3,59.05,69.15675382407137,0.45399999999999996,0.457,0.451,-0.104,-0.07,-0.165033,0.0585,0.1441,3.99378e-05,-0.156,7.0,0.41200000000000003,1386.09,-22.0395,4.8882,0.6323,-0.0111,7.2448,0.3195,49.400000000000006,68.37356367901813,64.66666666666667,64.33333333333333,48.01666666666667,53.875,61.0,64.67999999999999,59.85,0.41200000000000003,0.467,0.315,-0.029,-0.127,1468.95,-82.86000000000013,-0.04,0.41200000000000003,7.0
Falcons,ATL,2023,1445.48,-4.8941,-1.95346,-0.1122,-0.0932,-0.122945,-0.0568,-0.0124,-0.137663,-3.0588,7,7.0035,10,0.5559,0.4441,-0.0973,8.2586,0.4254,0.1339,0.2985,0.4268,28.966666666666665,-0.04,0.41200000000000003,43.06666666666666,71.56666666666666,64.08,64.37142857142858,63.550000000000004,68.775,59.96666666666666,66.2,,,,,-0.0029,-0.0298,0.0190419,0.0245,0.1336,-0.0102606,-0.061,7.0,0.41200000000000003,1354.2,-40.3748,7.9374,0.488,-0.1371,9.8127,0.2231,61.099999999999994,69.15675382407137,76.26666666666667,68.16666666666667,56.075,56.5,54.275000000000006,64.3,59.05,0.45399999999999996,0.457,0.451,-0.156,0.095,1386.09,-31.889999999999873,-0.03880498761,0.47100000000000003,8.0
Falcons,ATL,2024,1508.4,-34.1287,-0.258901,0.0148,0.0516,0.000258379,0.0573,0.1044,0.00730521,-2.0,8,7.6588,11,0.5555,0.4445,-0.0809,8.0468,,0.1463,,,29.666666666666668,-0.03880498761,0.47100000000000003,81.1,83.26666666666667,71.26666666666667,56.18571428571429,61.175,63.050000000000004,66.64285714285714,59.26666666666667,,,,,-0.1122,-0.0932,-0.122945,-0.0568,-0.0124,-0.137663,-0.04,7.0,0.41200000000000003,1445.48,-4.8941,7.0035,0.5559,-0.0973,8.2586,0.4254,43.06666666666666,,71.56666666666666,64.08,64.37142857142858,63.550000000000004,68.775,59.96666666666666,66.2,,,,-0.061,0.020999999999999998,1354.2,91.27999999999997,,,8.0
Falcons,ATL,2025,1489.71,28.1524,0.0843066,-0.0223,-0.0121,-0.0401744,0.0305,-0.0353,0.0235268,-2.8235,8,7.2255,11,0.5656,0.4344,-0.0621,7.6919,,0.111,,,29.65,,,,,,,,,,,,,,,0.0148,0.0516,0.000258379,0.0573,0.1044,0.00730521,-0.03880498761,8.0,0.47100000000000003,1508.4,-34.1287,7.6588,0.5555,-0.0809,8.0468,,81.1,,83.26666666666667,71.26666666666667,56.18571428571429,61.175,63.050000000000004,66.64285714285714,59.26666666666667,,,,-0.04,0.0011950123899999998,1445.48,62.92000000000007,,,
Ravens,BAL,2011,1612.41,-1.1083,3.78847,-0.0019,0.0543,-0.072818,-0.11,-0.156,-0.116,6.4444,13,12.3049,14,,,,,,,,,,0.15,0.722,64.65,65.10000000000001,60.78333333333333,87.6,64.47999999999999,62.73333333333333,70.24285714285715,70.66666666666667,,,,,0.0399,0.0799,-0.102663,-0.0625,-0.0315,-0.134446,0.06,13.0,0.722,1644.02,10.9094,11.9623,,,,,73.2,,63.8,67.25,77.8,58.949999999999996,66.91666666666667,74.08,66.83333333333333,,,,,,1621.61,22.410000000000082,0.02,0.7,14.0
Ravens,BAL,2012,1618.95,16.4044,4.95089,0.0822,0.082,-0.0519548,0.0103,0.025,-0.0542967,4.5,14,12.2057,8,,,,,,,,,,0.02,0.7,70.75,72.13333333333334,69.58333333333333,61.7,60.94,61.957142857142856,56.5,63.225,,,,,-0.0019,0.0543,-0.072818,-0.11,-0.156,-0.116,0.15,13.0,0.722,1612.41,-1.1083,12.3049,,,,,64.65,,65.10000000000001,60.78333333333333,87.6,64.47999999999999,62.73333333333333,70.24285714285715,70.66666666666667,,,,0.06,0.09,1644.02,-31.6099999999999,-0.09,0.5,8.0
Ravens,BAL,2013,1484.78,-21.0729,-0.142954,-0.0556,-0.0705,-0.205383,-0.0284,0.0202,-0.101027,-2.0,8,7.1003,7,,,,,,,,,,-0.09,0.5,64.25,59.73333333333334,66.43333333333334,65.95,65.81666666666666,63.17999999999999,63.900000000000006,55.75,,,,,0.0822,0.082,-0.0519548,0.0103,0.025,-0.0542967,0.02,14.0,0.7,1618.95,16.4044,12.2057,,,,,70.75,,72.13333333333334,69.58333333333333,61.7,60.94,61.957142857142856,56.5,63.225,,,,0.15,-0.13,1612.41,6.539999999999964,0.07,0.611,11.0
Ravens,BAL,2014,1568.61,18.622,2.04858,0.0871,0.131,-0.0685563,-0.0337,0.0637,-0.179128,6.4444,11,11.9141,13,,,,,,,,,,0.07,0.611,76.2,60.175,71.91666666666667,74.25,63.15,65.15,59.01666666666667,64.38333333333334,,,,,-0.0556,-0.0705,-0.205383,-0.0284,0.0202,-0.101027,-0.09,8.0,0.5,1484.78,-21.0729,7.1003,,,,,64.25,,59.73333333333334,66.43333333333334,65.95,65.81666666666666,63.17999999999999,63.900000000000006,55.75,,,,0.02,-0.11,1618.95,-134.17000000000007,-0.08,0.313,5.0
Ravens,BAL,2015,1377.78,-82.8538,-3.88972,-0.0556,-0.0346,-0.142871,0.0195,0.1159,-0.120585,-4.5625,5,6.1302,8,,,,,,,,,,-0.08,0.313,55.425000000000004,63.425,67.98571428571428,57.26666666666667,68.10000000000001,62.025000000000006,62.8,62.425,,,,,0.0871,0.131,-0.0685563,-0.0337,0.0637,-0.179128,0.07,11.0,0.611,1568.61,18.622,11.9141,,,,,76.2,,60.175,71.91666666666667,74.25,63.15,65.15,59.01666666666667,64.38333333333334,,,,-0.09,0.16,1484.78,83.82999999999993,-0.01,0.5,8.0
Ravens,BAL,2016,1556.59,4.8091,1.93469,-0.046,-0.0561,-0.0675563,-0.0823,0.0228,-0.15123,1.375,8,8.6271,9,0.6748,0.3252,0.0378,7.503,0.4354,0.1739,0.5141,0.2259,30.683333333333334,-0.01,0.5,61.2,67.075,63.38333333333333,62.44,73.4,66.36666666666666,65.11666666666666,63.275,,,,,-0.0556,-0.0346,-0.142871,0.0195,0.1159,-0.120585,-0.08,5.0,0.313,1377.78,-82.8538,6.1302,,,,,55.425000000000004,,63.425,67.98571428571428,57.26666666666667,68.10000000000001,62.025000000000006,62.8,62.425,,,,0.07,-0.15000000000000002,1568.61,-190.82999999999993,0.07,0.563,9.0
Ravens,BAL,2017,1534.05,5.7249,2.116,-0.0351,-0.0863,-0.0700955,-0.1413,-0.1729,-0.0912208,5.75,9,10.4341,8,0.5771,0.4229,-0.0369,6.8121,0.3192,0.0578,0.3333,0.552,30.433333333333334,0.07,0.563,60.699999999999996,68.72500000000001,59.48333333333333,66.62,68.55714285714285,61.879999999999995,68.91666666666667,67.46666666666667,,,,,-0.046,-0.0561,-0.0675563,-0.0823,0.0228,-0.15123,-0.01,8.0,0.5,1556.59,4.8091,8.6271,0.6748,0.0378,7.503,0.4354,61.2,,67.075,63.38333333333333,62.44,73.4,66.36666666666666,65.11666666666666,63.275,,,,-0.08,0.07,1377.78,178.80999999999995,0.11,0.588,10.0
