Player,Tier,Grade,Ask_M,Value_M,Decision
Tomon Fox,Reserve/Poor,57.34,16.0,1.5,PASS
Dennis Gardeck,Reserve/Poor,57.59,16.0,1.5,PASS
Malik Herring,Reserve/Poor,56.77,16.0,1.5,PASS
Uchenna Nwosu,Rotation,63.31,16.0,6.0,PASS
Brenton Cox Jr.,Starter,70.19,16.0,16.0,SIGN
Ali Gaye,Reserve/Poor,49.28,16.0,1.5,PASS
DeMarcus Lawrence,Rotation,68.67,16.0,6.0,PASS
Tyrus Wheat,Reserve/Poor,56.01,16.0,1.5,PASS
Victor Dimukeje,Rotation,62.36,16.0,6.0,PASS
Arron Mosby,Reserve/Poor,58.57,16.0,1.5,PASS
Robert Beal Jr.,Reserve/Poor,55.98,16.0,1.5,PASS
James Houston,Reserve/Poor,54.2,16.0,1.5,PASS
Javon Solomon,Rotation,67.8,16.0,6.0,PASS
Myles Cole,Reserve/Poor,50.69,16.0,1.5,PASS
Jaelan Phillips,Rotation,69.04,16.0,6.0,PASS
Jeremiah Moon,Reserve/Poor,51.13,16.0,1.5,PASS
Janarius Robinson,Reserve/Poor,53.46,16.0,1.5,PASS
Jamin Davis,Reserve/Poor,57.01,16.0,1.5,PASS
Alex Wright,Reserve/Poor,59.73,16.0,1.5,PASS
DeAngelo Malone,Reserve/Poor,57.28,16.0,1.5,PASS
Jerry Hughes,Reserve/Poor,48.68,16.0,1.5,PASS
Marcus Davenport,Rotation,63.62,16.0,6.0,PASS
Efe Obada,Reserve/Poor,46.35,16.0,1.5,PASS
Dominique Robinson,Reserve/Poor,51.85,16.0,1.5,PASS
Cedric Johnson,Rotation,66.12,16.0,6.0,PASS
Braiden McGregor,Reserve/Poor,56.85,16.0,1.5,PASS
Jermaine Johnson,Rotation,62.26,16.0,6.0,PASS
Isaiah Land,Reserve/Poor,57.66,16.0,1.5,PASS
Isaac Ukwu,Reserve/Poor,51.73,16.0,1.5,PASS
Eku Leota,Reserve/Poor,53.01,16.0,1.5,PASS
Isaiah Foskey,Rotation,60.83,16.0,6.0,PASS
Keir Thomas,Reserve/Poor,58.84,16.0,1.5,PASS
Amare Barno,Reserve/Poor,59.29,16.0,1.5,PASS
DeMarvin Leal,Reserve/Poor,58.13,16.0,1.5,PASS
Trevis Gipson,Reserve/Poor,56.28,16.0,1.5,PASS
Patrick Johnson,Reserve/Poor,53.87,16.0,1.5,PASS
Brennan Jackson,Reserve/Poor,59.41,16.0,1.5,PASS
Isaiah Thomas,Reserve/Poor,51.5,16.0,1.5,PASS
Thomas Incoom,Reserve/Poor,54.14,16.0,1.5,PASS
Mitchell Agude,Reserve/Poor,50.4,16.0,1.5,PASS
Joe Gaziano,Reserve/Poor,51.77,16.0,1.5,PASS
Gabriel Murphy,Rotation,60.55,16.0,6.0,PASS
Khalid Kareem,Rotation,63.62,16.0,6.0,PASS
Adisa Isaac,Rotation,61.22,16.0,6.0,PASS
Daniel Hardy,Reserve/Poor,59.62,16.0,1.5,PASS
Caleb Murphy,Reserve/Poor,57.55,16.0,1.5,PASS
Bo Richter,Reserve/Poor,59.47,16.0,1.5,PASS
Jose Ramirez,Reserve/Poor,54.5,16.0,1.5,PASS
Mohamed Kamara,Rotation,61.67,16.0,6.0,PASS
Alex Barrett,Reserve/Poor,45.09,16.0,1.5,PASS
Elerson Smith,Reserve/Poor,51.36,16.0,1.5,PASS
Solomon Byrd,Rotation,60.97,16.0,6.0,PASS
Truman Jones,Reserve/Poor,54.05,16.0,1.5,PASS
Andre Jones Jr.,Reserve/Poor,48.58,16.0,1.5,PASS
Jamie Sheriff,Reserve/Poor,55.93,16.0,1.5,PASS
Andre Carter II,Rotation,61.97,16.0,6.0,PASS
Oshane Ximines,Reserve/Poor,53.99,16.0,1.5,PASS
Khalid Duke,Rotation,63.9,16.0,6.0,PASS
Amari Gainer,Reserve/Poor,54.44,16.0,1.5,PASS
Cameron Goode,Reserve/Poor,58.71,16.0,1.5,PASS
Nick Hampton,Reserve/Poor,58.97,16.0,1.5,PASS
Markees Watts,Reserve/Poor,59.5,16.0,1.5,PASS
Ochaun Mathis,Reserve/Poor,54.69,16.0,1.5,PASS
Kenny Dyson Jr.,Reserve/Poor,57.17,16.0,1.5,PASS
Titus Leo,Reserve/Poor,52.6,16.0,1.5,PASS
Benton Whitley,Reserve/Poor,52.55,16.0,1.5,PASS
Jacoby Windmon,Reserve/Poor,51.29,16.0,1.5,PASS
Popo Aumavae,Reserve/Poor,50.88,16.0,1.5,PASS
T.J. Smith,Reserve/Poor,48.67,16.0,1.5,PASS
LaBryan Ray,Reserve/Poor,50.37,16.0,1.5,PASS
A'Shawn Robinson,Reserve/Poor,46.27,16.0,1.5,PASS
Isaiah McDuffie,Reserve/Poor,50.88,16.0,1.5,PASS
Curtis Robinson,Reserve/Poor,50.12,16.0,1.5,PASS
Dee Winters,Reserve/Poor,51.12,16.0,1.5,PASS
Jonathan Garvin,Reserve/Poor,49.95,16.0,1.5,PASS
De'Vondre Campbell,Reserve/Poor,41.66,16.0,1.5,PASS
Tatum Bethune,Reserve/Poor,50.24,16.0,1.5,PASS
Andrew Farmer,Reserve/Poor,50.35,16.0,1.5,PASS
Tarron Jackson,Reserve/Poor,50.82,16.0,1.5,PASS
Ovie Oghoufo,Reserve/Poor,51.77,16.0,1.5,PASS
Luke Masterson,Reserve/Poor,51.28,16.0,1.5,PASS
Robert Spillane,Reserve/Poor,48.35,16.0,1.5,PASS
Braden Fiske,Reserve/Poor,53.68,16.0,1.5,PASS
Neville Gallimore,Reserve/Poor,49.6,16.0,1.5,PASS
Desjuan Johnson,Reserve/Poor,50.93,16.0,1.5,PASS
Malcolm Koonce,Reserve/Poor,56.23,16.0,1.5,PASS
Christian Elliss,Reserve/Poor,49.64,16.0,1.5,PASS
Jahlani Tavai,Reserve/Poor,50.96,16.0,1.5,PASS
Monty Rice,Reserve/Poor,52.1,16.0,1.5,PASS
Quay Walker,Reserve/Poor,56.1,16.0,1.5,PASS
Sam Eguavoen,Reserve/Poor,42.6,16.0,1.5,PASS
Jimmy Ciarlo,Reserve/Poor,51.67,16.0,1.5,PASS
John Cominsky,Reserve/Poor,47.65,16.0,1.5,PASS
Pat O'Connor,Reserve/Poor,43.12,16.0,1.5,PASS
Myles Adams,Reserve/Poor,50.58,16.0,1.5,PASS
Jonah Williams,Reserve/Poor,43.66,16.0,1.5,PASS
Marcelino McCrary-Ball,Reserve/Poor,50.6,16.0,1.5,PASS
Kameron Cline,Reserve/Poor,50.17,16.0,1.5,PASS
Amen Ogbongbemiga,Reserve/Poor,51.83,16.0,1.5,PASS
Noah Sewell,Reserve/Poor,51.97,16.0,1.5,PASS
Jamree Kromah,Reserve/Poor,52.13,16.0,1.5,PASS
Quincy Williams,Reserve/Poor,47.7,16.0,1.5,PASS
Zaire Barnes,Reserve/Poor,50.91,16.0,1.5,PASS
Nate Lynn,Reserve/Poor,52.77,16.0,1.5,PASS
DaRon Gilbert,Reserve/Poor,52.61,16.0,1.5,PASS
Colby Wooden,Reserve/Poor,53.41,16.0,1.5,PASS
Deslin Alexandre,Reserve/Poor,51.46,16.0,1.5,PASS
Jeremiah Martin,Reserve/Poor,50.75,16.0,1.5,PASS
Ty'Ron Hopper,Reserve/Poor,55.76,16.0,1.5,PASS
Ben Niemann,Reserve/Poor,45.5,16.0,1.5,PASS
Jack Campbell,Reserve/Poor,56.22,16.0,1.5,PASS
Jalen Reeves-Maybin,Reserve/Poor,43.9,16.0,1.5,PASS
Ezekiel Turner,Reserve/Poor,47.12,16.0,1.5,PASS
Derrick Barnes,Reserve/Poor,51.57,16.0,1.5,PASS
Dre Greenlaw,Reserve/Poor,48.78,16.0,1.5,PASS
Christian Harris,Reserve/Poor,53.21,16.0,1.5,PASS
Henry To'oTo'o,Reserve/Poor,51.3,16.0,1.5,PASS
Julius Welschof,Reserve/Poor,48.39,16.0,1.5,PASS
Larry Ogunjobi,Reserve/Poor,44.51,16.0,1.5,PASS
Logan Lee,Reserve/Poor,52.17,16.0,1.5,PASS
Isaiahh Loudermilk,Reserve/Poor,51.36,16.0,1.5,PASS
Dean Lowry,Reserve/Poor,41.55,16.0,1.5,PASS
Cameron Heyward,Reserve/Poor,35.72,16.0,1.5,PASS
Jake Hansen,Reserve/Poor,50.4,16.0,1.5,PASS
Jonathan Bullard,Reserve/Poor,42.94,16.0,1.5,PASS
Jonathan Harris,Reserve/Poor,46.75,16.0,1.5,PASS
Jalen Redmond,Reserve/Poor,52.4,16.0,1.5,PASS
Patrick Jones,Reserve/Poor,50.87,16.0,1.5,PASS
Jihad Ward,Reserve/Poor,45.8,16.0,1.5,PASS
Jamal Hill,Reserve/Poor,51.48,16.0,1.5,PASS
Del'Shawn Phillips,Reserve/Poor,47.74,16.0,1.5,PASS
Sebastian Joseph-Day,Reserve/Poor,46.25,16.0,1.5,PASS
Abdullah Anderson,Reserve/Poor,46.44,16.0,1.5,PASS
Isaiah Iton,Reserve/Poor,51.75,16.0,1.5,PASS
T.K. McLendon,Reserve/Poor,51.3,16.0,1.5,PASS
Drake Jackson,Reserve/Poor,57.05,16.0,1.5,PASS
Malik Hamm,Reserve/Poor,51.76,16.0,1.5,PASS
Rashad Weaver,Reserve/Poor,50.36,16.0,1.5,PASS
C.J. Ravenell,Reserve/Poor,52.88,16.0,1.5,PASS
Tony Fields,Reserve/Poor,49.51,16.0,1.5,PASS
Mike Morris,Reserve/Poor,51.95,16.0,1.5,PASS
Joshua Onujiogu,Reserve/Poor,49.58,16.0,1.5,PASS
Tyreke Smith,Reserve/Poor,51.09,16.0,1.5,PASS
Leonard Williams,Reserve/Poor,48.09,16.0,1.5,PASS
Tanoh Kpassagnon,Reserve/Poor,47.17,16.0,1.5,PASS
Trajan Jeffcoat,Reserve/Poor,52.12,16.0,1.5,PASS
Ryder Anderson,Reserve/Poor,51.0,16.0,1.5,PASS
Pete Werner,Reserve/Poor,51.9,16.0,1.5,PASS
Willie Gay,Reserve/Poor,51.38,16.0,1.5,PASS
Nephi Sewell,Reserve/Poor,51.77,16.0,1.5,PASS
Isaiah Stalbird,Reserve/Poor,52.12,16.0,1.5,PASS
Anfernee Orji,Reserve/Poor,52.5,16.0,1.5,PASS
Byron Murphy II,Reserve/Poor,53.77,16.0,1.5,PASS
Chris Collins,Reserve/Poor,53.17,16.0,1.5,PASS
Tre'Mon Morris-Brash,Reserve/Poor,53.58,16.0,1.5,PASS
Dorian Williams,Reserve/Poor,53.99,16.0,1.5,PASS
Markus Bailey,Reserve/Poor,48.48,16.0,1.5,PASS
Justin Eboigbe,Reserve/Poor,53.8,16.0,1.5,PASS
Edefuan Ulofoshio,Reserve/Poor,54.16,16.0,1.5,PASS
Chris Rumph,Reserve/Poor,52.45,16.0,1.5,PASS
Poona Ford,Reserve/Poor,46.38,16.0,1.5,PASS
Morgan Fox,Reserve/Poor,44.18,16.0,1.5,PASS
Cam Jones,Reserve/Poor,51.9,16.0,1.5,PASS
Samson Ebukam,Reserve/Poor,50.78,16.0,1.5,PASS
Pheldarius Payne,Reserve/Poor,52.6,16.0,1.5,PASS
Swayze Bozeman,Reserve/Poor,50.97,16.0,1.5,PASS
Jack Cochrane,Reserve/Poor,51.01,16.0,1.5,PASS
BJ Thompson,Reserve/Poor,49.57,16.0,1.5,PASS
Josh Uche,Reserve/Poor,55.52,16.0,1.5,PASS
Drue Tranquill,Reserve/Poor,44.83,16.0,1.5,PASS
Leo Chenal,Reserve/Poor,52.38,16.0,1.5,PASS
Calijah Kancey,Reserve/Poor,56.6,16.0,1.5,PASS
Logan Hall,Reserve/Poor,52.97,16.0,1.5,PASS
William Gholston,Reserve/Poor,40.59,16.0,1.5,PASS
Eric Banks,Reserve/Poor,49.43,16.0,1.5,PASS
Daniel Grzesiak,Reserve/Poor,54.05,16.0,1.5,PASS
Mike Greene,Reserve/Poor,52.38,16.0,1.5,PASS
C.J. Brewer,Reserve/Poor,51.7,16.0,1.5,PASS
Malcolm Roach,Reserve/Poor,49.2,16.0,1.5,PASS
Matt Henningsen,Reserve/Poor,51.32,16.0,1.5,PASS
Mohamoud Diabate,Reserve/Poor,52.12,16.0,1.5,PASS
Winston Reid,Reserve/Poor,51.73,16.0,1.5,PASS
Marcus Haynes,Reserve/Poor,51.3,16.0,1.5,PASS
Devin Bush,Reserve/Poor,52.91,16.0,1.5,PASS
Jeremiah Owusu-Koramoah,Reserve/Poor,52.86,16.0,1.5,PASS
Nathaniel Watson,Reserve/Poor,51.16,16.0,1.5,PASS
John Franklin-Myers,Reserve/Poor,52.71,16.0,1.5,PASS
Matt Milano,Reserve/Poor,42.23,16.0,1.5,PASS
Kyzir White,Reserve/Poor,45.87,16.0,1.5,PASS
B.J. Ojulari,Reserve/Poor,53.73,16.0,1.5,PASS
Keshawn Banks,Reserve/Poor,51.51,16.0,1.5,PASS
Jordan Jackson,Reserve/Poor,51.14,16.0,1.5,PASS
Eyioma Uwazurike,Reserve/Poor,49.48,16.0,1.5,PASS
Zach Allen,Reserve/Poor,49.02,16.0,1.5,PASS
Darius Robinson,Reserve/Poor,53.44,16.0,1.5,PASS
L.J. Collier,Reserve/Poor,48.56,16.0,1.5,PASS
Bilal Nichols,Reserve/Poor,47.63,16.0,1.5,PASS
Anthony Goodlow,Reserve/Poor,51.51,16.0,1.5,PASS
Deion Jones,Reserve/Poor,47.25,16.0,1.5,PASS
Durell Nchami,Reserve/Poor,52.6,16.0,1.5,PASS
Brandon Dorlus,Reserve/Poor,52.2,16.0,1.5,PASS
Ta'Quon Graham,Reserve/Poor,50.79,16.0,1.5,PASS
Kentavius Street,Reserve/Poor,45.39,16.0,1.5,PASS
Cam Sample,Reserve/Poor,51.84,16.0,1.5,PASS
Bralen Trice,Reserve/Poor,54.56,16.0,1.5,PASS
Zach Harrison,Reserve/Poor,52.91,16.0,1.5,PASS
Ruke Orhorhoro,Reserve/Poor,53.82,16.0,1.5,PASS
Moro Ojomo,Reserve/Poor,51.39,16.0,1.5,PASS
Gabe Hall,Reserve/Poor,52.73,16.0,1.5,PASS
Zack Baun,Reserve/Poor,49.65,16.0,1.5,PASS
D.J. Davidson,Reserve/Poor,51.88,16.0,1.5,PASS
Esezi Otomewo,Reserve/Poor,52.53,16.0,1.5,PASS
Jeremiah Ledbetter,Reserve/Poor,44.1,16.0,1.5,PASS
De'Shaan Dixon,Reserve/Poor,49.97,16.0,1.5,PASS
Yasir Abdullah,Reserve/Poor,51.13,16.0,1.5,PASS
Bradlee Anae,Reserve/Poor,50.74,16.0,1.5,PASS
Jack Sanborn,Reserve/Poor,52.16,16.0,1.5,PASS
Tyler Lacy,Reserve/Poor,51.64,16.0,1.5,PASS
Elijah Garcia,Reserve/Poor,51.31,16.0,1.5,PASS
Carl Jones,Reserve/Poor,52.48,16.0,1.5,PASS
Carlos Basham,Reserve/Poor,51.4,16.0,1.5,PASS
T.J. Edwards,Reserve/Poor,48.53,16.0,1.5,PASS
Maason Smith,Reserve/Poor,53.5,16.0,1.5,PASS
Dyontae Johnson,Reserve/Poor,52.12,16.0,1.5,PASS
Mykal Walker,Reserve/Poor,48.82,16.0,1.5,PASS
Frankie Luvu,Reserve/Poor,49.72,16.0,1.5,PASS
Earnest Brown,Reserve/Poor,51.03,16.0,1.5,PASS
Carlos Watkins,Reserve/Poor,42.37,16.0,1.5,PASS
Jalen Dalton,Reserve/Poor,48.64,16.0,1.5,PASS
Marist Liufau,Reserve/Poor,52.98,16.0,1.5,PASS
Shaka Heyward,Reserve/Poor,52.13,16.0,1.5,PASS
Cameron McGrone,Reserve/Poor,51.81,16.0,1.5,PASS
E.J. Speed,Reserve/Poor,45.25,16.0,1.5,PASS
Grant Stuard,Reserve/Poor,52.12,16.0,1.5,PASS
Viliami Fehoko Jr.,Reserve/Poor,53.0,16.0,1.5,PASS
Jalyn Holmes,Reserve/Poor,47.92,16.0,1.5,PASS
Craig Young,Reserve/Poor,52.33,16.0,1.5,PASS
Maema Njongmeta,Reserve/Poor,52.36,16.0,1.5,PASS
Liam Anderson,Reserve/Poor,52.6,16.0,1.5,PASS
Akeem Davis-Gaither,Reserve/Poor,49.03,16.0,1.5,PASS
DeMarvion Overshown,Reserve/Poor,51.53,16.0,1.5,PASS
Logan Wilson,Reserve/Poor,47.77,16.0,1.5,PASS
Bradley Chubb,Reserve/Poor,57.42,16.0,1.5,PASS
Raymond Johnson,Reserve/Poor,48.97,16.0,1.5,PASS
Derrick McLendon,Reserve/Poor,51.76,16.0,1.5,PASS
Milton Williams,Reserve/Poor,52.35,16.0,1.5,PASS
Grayson Murphy,Reserve/Poor,51.77,16.0,1.5,PASS
Buddy Johnson,Reserve/Poor,52.08,16.0,1.5,PASS
Damone Clark,Reserve/Poor,50.61,16.0,1.5,PASS
Nick Vigil,Reserve/Poor,43.39,16.0,1.5,PASS
Luiji Vilain,Reserve/Poor,50.67,16.0,1.5,PASS
Calais Campbell,Reserve/Poor,42.28,16.0,1.5,PASS
Da'Shawn Hand,Reserve/Poor,45.75,16.0,1.5,PASS
Zach Sieler,Reserve/Poor,46.73,16.0,1.5,PASS
Darius Harris,Reserve/Poor,45.64,16.0,1.5,PASS
Maxwell Tooley,Reserve/Poor,51.7,16.0,1.5,PASS
