No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
13,Jack Jones,25,DB,13,2,180,5-11,USCMoorpark CollegeArizona St.,12/20/1997,Rook,2,New England Patriots / 4th / 121st pick / 2022,JoneJa10
31,Jonathan Jones,29,DB,16,16,190,5-10,Auburn,9/20/1993,6,6,,JoneJo03
10,Mac Jones,24,QB,14,14,217,6-3,Alabama,9/5/1998,1,8,New England Patriots / 1st / 15th pick / 2021,JoneMa05
25,Marcus Jones,24,DB,15,4,185,5-8,TroyHouston,10/22/1998,Rook,10,New England Patriots / 3rd / 85th pick / 2022,JoneMa06
9,Matt Judon,30,LB,17,15,275,6-3,Grand Valley St.,8/15/1992,6,12,Baltimore Ravens / 5th / 146th pick / 2016,JudoMa00
52,Harvey Langi,30,LB,2,0,250,6-2,BYU,9/24/1992,5,0,,LangHa00
32,Devin McCourty,35,DB,17,17,195,5-10,Rutgers,8/13/1987,12,6,New England Patriots / 1st / 27th pick / 2010,McCoDe99
75,Conor McDermott,30,T,6,6,305,6-8,UCLA,10/19/1992,5,3,New England Patriots / 6th / 211th pick / 2017,McDeCo00
46,Raekwon McMillan,27,LB,16,1,242,6-2,Ohio St.,11/17/1995,4,3,Miami Dolphins / 2nd / 54th pick / 2017,McMiRa02
16,Jakobi Meyers,26,WR,14,13,200,6-2,North Carolina St.,11/9/1996,3,6,,MeyeJa01
2,Jalen Mills,28,CB,10,10,191,6-0,LSU,4/6/1994,6,3,Philadelphia Eagles / 7th / 233rd pick / 2016,MillJa02
97,DaMarcus Mitchell,24,DL,16,0,260,6-3,Southwest Mississippi CCPurdue,12/13/1998,Rook,1,,MitcDa00
14,Ty Montgomery,29,WR,1,0,216,6-0,Stanford,1/22/1993,7,0,Green Bay Packers / 3rd / 94th pick / 2015,MontTy01
34,Quandre Mosely,23,DB,1,0,185,6-1,East. ArizonaKentucky,5/18/1999,Rook,0,,MoseQu00
43,Calvin Munson,28,LB,1,0,243,6-0,San Diego St.,12/27/1994,5,0,,MunsCa00
62,Bill Murray,25,OL,1,0,307,6-4,William & Mary,7/3/1997,Rook,0,,MurrBi00
71,Michael Onwenu,25,OL,17,17,350,6-3,Michigan,12/10/1997,2,7,New England Patriots / 6th / 182nd pick / 2020,OnweMi00
17,Michael Palardy,30,P,8,0,200,5-11,Tennessee,7/6/1992,6,0,,PalaMi00
1,DeVante Parker,29,WR,13,11,219,6-3,Louisville,1/20/1993,7,4,Miami Dolphins / 1st / 14th pick / 2015,ParkDe01
3,Jabrill Peppers,27,DB,17,5,215,5-11,Michigan,10/4/1995,5,2,Cleveland Browns / 1st / 25th pick / 2017,PeppJa00
21,Adrian Phillips,30,DB,17,8,210,5-11,Texas,3/28/1992,8,3,,PhilAd00
96,Sam Roberts,24,DT,5,0,292,6-5,NW Missouri St.,4/14/1998,Rook,0,New England Patriots / 6th / 200th pick / 2022,RobeSa00
41,Brenden Schooler,25,DB,16,0,205,6-1,OregonTexas,5/30/1997,Rook,1,,SchoBr00
18,Matthew Slater,37,WR,17,0,205,6-0,UCLA,9/9/1985,14,0,New England Patriots / 5th / 153rd pick / 2008,SlatMa00
81,Jonnu Smith,27,TE,14,8,248,6-3,Florida International,8/22/1995,5,2,Tennessee Titans / 3rd / 100th pick / 2017,SmitJo01
87,Matt Sokol,27,TE,3,0,260,6-6,Michigan St.,11/9/1995,2,0,,SokoMa00
38,Rhamondre Stevenson,24,RB,17,7,227,6-0,Cerritos (CA)Oklahoma,2/23/1998,1,9,New England Patriots / 4th / 120th pick / 2021,StevRh00
69,Cole Strange,24,OL,17,17,301,6-6,Chattanooga,7/31/1998,Rook,7,New England Patriots / 1st / 29th pick / 2022,StraCo01
35,Pierre Strong,24,RB,15,0,205,5-11,South Dakota St.,12/10/1998,Rook,1,New England Patriots / 4th / 127th pick / 2022,StroPi00
48,Jahlani Tavai,26,MLB,17,12,250,6-2,Hawaii,9/28/1996,3,7,Detroit Lions / 2nd / 43rd pick / 2019,TavaJa00
42,J.J. Taylor,24,RB,1,0,185,5-6,Arizona,1/4/1998,2,0,,TaylJJ01
11,Tyquan Thornton,22,WR,13,9,182,6-3,Baylor,8/7/2000,Rook,2,New England Patriots / 2nd / 50th pick / 2022,ThorTy00
55,Josh Uche,24,LB,15,0,245,6-3,Michigan,9/18/1998,2,2,New England Patriots / 2nd / 60th pick / 2020,UcheJo00
14,Tristan Vizcaino,26,K,2,0,205,6-2,Washington,7/31/1996,2,0,,VizcTr00
26,Shaun Wade,24,CB,3,0,191,6-1,Ohio St.,9/15/1998,1,0,Baltimore Ravens / 5th / 160th pick / 2021,WadeSh00
88,Scotty Washington,26,WR,1,0,225,6-5,Wake Forest,7/26/1996,Rook,0,,WashSc00
44,Raleigh Webb,25,WR,10,0,213,6-2,The Citadel,12/28/1997,Rook,0,,WebbRa02
30,Mack Wilson,24,OLB,17,3,233,6-1,Alabama,2/14/1998,3,3,Cleveland Browns / 5th / 155th pick / 2019,WilsMa03
91,Deatrich Wise Jr.,28,DL,17,16,275,6-5,Arkansas,7/26/1994,5,9,New England Patriots / 4th / 131st pick / 2017,WiseDe00
76,Isaiah Wynn,27,OL,9,7,310,6-2,Georgia,12/9/1995,3,3,New England Patriots / 1st / 23rd pick / 2018,WynnIs00
4,Bailey Zappe,23,QB,4,2,220,6-1,Houston BaptistWestern Kentucky,4/26/1999,Rook,2,New England Patriots / 4th / 137th pick / 2022,ZappBa00
,Team Total,27.2,,17,,240.6,6-1.8,,,4.0,,,-9999
