No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
62,Chris Reed,30,OL,7,1,314,6-3,Minnesota St.,7/22/1992,6,1,,ReedCh00
65,Austin Schlottmann,27,OL,16,4,300,6-6,TCU,9/18/1995,3,2,,SchlAu00
20,Duke Shelley,26,CB,11,5,176,5-9,Kansas St.,10/8/1996,3,2,Chicago Bears / 6th / 205th pick / 2019,ShelDu00
22,Harrison Smith,33,S,14,14,211,6-2,Notre Dame,2/2/1989,10,5,Minnesota Vikings / 1st / 29th pick / 2012,SmitHa00
84,Irv Smith Jr.,24,TE,8,1,240,6-2,Alabama,8/9/1998,3,2,Minnesota Vikings / 2nd / 50th pick / 2019,SmitIr01
50,T.J. Smith,25,DT,1,0,290,6-3,Arkansas,4/19/1997,1,0,,SmitTJ00
55,Za'Darius Smith,30,OLB,16,16,272,6-4,East Mississippi CCKentucky,9/8/1992,7,9,Baltimore Ravens / 4th / 122nd pick / 2015,SmitZa00
39,Chandon Sullivan,26,CB,17,10,189,5-11,Georgia St.,8/7/1996,4,4,,SullCh00
19,Adam Thielen,32,WR,17,17,200,6-2,Minnesota St.,8/22/1990,8,6,,ThieAd00
94,Dalvin Tomlinson,28,DL,13,13,325,6-3,Alabama,2/28/1994,5,6,New York Giants / 2nd / 55th pick / 2017,TomlDa00
95,Khyiris Tonga,26,DL,11,2,338,6-4,BYU,7/7/1996,1,1,Chicago Bears / 7th / 250th pick / 2021,TongKh00
74,Oli Udoh,25,G,17,1,320,6-6,Elon,2/14/1997,3,1,Minnesota Vikings / 6th / 193rd pick / 2019,UdohOl01
43,Luiji Vilain,24,OLB,3,0,252,6-4,MichiganWake Forest,3/10/1998,Rook,0,,VilaLu00
98,D.J. Wonnum,25,OLB,16,1,258,6-5,South Carolina,10/31/1997,2,2,Minnesota Vikings / 4th / 117th pick / 2020,WonnDJ00
14,Ryan Wright,22,P,17,0,245,6-3,Tulane,6/1/2000,Rook,3,,WrigRy00
,Team Total,25.9,,17,,244.6,6-2.3,,,2.9,,,-9999
