No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
96,Neville Gallimore,25,DT,16,1,302,2-Jun,Oklahoma,1/17/97,2,2,Dallas Cowboys / 3rd / 82nd pick / 2020
13,Michael Gallup,26,WR,14,11,198,1-Jun,Colorado St.,3/4/96,4,4,Dallas Cowboys / 3rd / 81st pick / 2018
57,Luke Gifford,27,LB,16,0,243,3-Jun,Nebraska,8/28/95,3,2,
59,Chauncey Golston,24,DE,15,0,268,5-Jun,Iowa,2/10/98,1,1,Dallas Cowboys / 3rd / 84th pick / 2021
29,C.J. Goodwin,32,CB,17,0,190,3-Jun,California (PA),2/4/90,6,1,
95,Johnathan Hankins,30,DT,5,3,320,2-Jun,Ohio St.,3/30/92,9,2,New York Giants / 2nd / 49th pick / 2013
50,Devin Harper,24,LB,3,0,235,Jun-00,Oklahoma St.,5/13/98,Rook,0,Dallas Cowboys / 6th / 193rd pick / 2022
49,Peyton Hendershot,23,TE,17,2,254,,Indiana,4/23/99,Rook,1,
72,Trysten Hill,24,DT,7,0,308,3-Jun,Central Florida,3/25/98,3,1,Dallas Cowboys / 2nd / 58th pick / 2019
13,T.Y. Hilton,33,WR,3,0,183,10-May,Florida International,11/14/89,10,1,Indianapolis Colts / 3rd / 92nd pick / 2012
67,Brock Hoffman,23,C,3,0,302,4-Jun,"Coastal Carolina,Virginia Tech",7/2/99,Rook,0,
28,Malik Hooker,26,S,16,6,212,2-Jun,Ohio St.,4/2/96,5,3,Indianapolis Colts / 1st / 15th pick / 2017
17,Dennis Houston,23,WR,2,0,198,1-Jun,Western Illinois,4/24/99,Rook,0,
1,Kelvin Joseph,22,CB,16,1,192,1-Jun,"LSU,Kentucky",11/11/00,1,1,Dallas Cowboys / 2nd / 44th pick / 2021
27,Jayron Kearse,28,S,14,14,215,4-Jun,Clemson,2/11/94,6,5,Minnesota Vikings / 7th / 244th pick / 2016
88,CeeDee Lamb,23,WR,17,17,189,2-Jun,Oklahoma,4/8/99,2,14,Dallas Cowboys / 1st / 17th pick / 2020
90,DeMarcus Lawrence,30,DE,17,17,265,3-Jun,"Butler (KS),Boise St.",4/28/92,8,13,Dallas Cowboys / 2nd / 34th pick / 2014
2,Jourdan Lewis,27,CB,6,4,195,10-May,Michigan,8/31/95,5,2,Dallas Cowboys / 3rd / 92nd pick / 2017
19,Brett Maher,33,K,17,0,183,1-Jun,Nebraska,11/21/89,4,4,
70,Zack Martin,32,G,17,17,315,4-Jun,Notre Dame,11/20/90,8,14,Dallas Cowboys / 1st / 16th pick / 2014
66,Connor McGovern,25,G,15,15,308,5-Jun,Penn St.,11/3/97,2,7,Dallas Cowboys / 3rd / 90th pick / 2019
84,Sean McKeon,25,TE,13,0,246,5-Jun,Michigan,12/28/97,2,0,
44,Jake McQuaide,35,LS,4,0,247,2-Jun,Ohio St.,12/7/87,11,0,
24,Israel Mukuamu,23,S,15,3,205,4-Jun,South Carolina,11/28/99,1,2,Dallas Cowboys / 6th / 227th pick / 2021
37,Trayvon Mullen,25,CB,1,0,200,2-Jun,Clemson,9/20/97,3,0,Oakland Raiders / 2nd / 40th pick / 2019
97,Osa Odighizuwa,24,DT,17,17,280,2-Jun,UCLA,8/13/98,1,8,Dallas Cowboys / 3rd / 75th pick / 2021
30,Qadree Ollison,26,RB,3,0,232,1-Jun,Pittsburgh,9/8/96,3,0,Atlanta Falcons / 5th / 152nd pick / 2019
45,Matt Overton,37,LS,13,0,254,1-Jun,Western Washington,7/6/85,10,1,
11,Micah Parsons,23,LB,17,17,245,3-Jun,Penn St.,5/26/99,1,19,Dallas Cowboys / 1st / 12th pick / 2021
71,Jason Peters,40,T,12,1,328,4-Jun,Arkansas,1/22/82,18,1,
20,Tony Pollard,25,RB,16,4,209,Jun-00,Memphis,4/30/97,3,11,Dallas Cowboys / 4th / 128th pick / 2019
4,Dak Prescott,29,QB,12,12,238,2-Jun,Mississippi St.,7/29/93,6,11,Dallas Cowboys / 4th / 135th pick / 2016
39,Xavier Rhodes,32,CB,0,0,218,1-Jun,Florida St.,6/19/90,9,0,Minnesota Vikings / 1st / 25th pick / 2013
10,Cooper Rush,29,QB,9,5,225,3-Jun,Central Michigan,11/21/93,5,4,
86,Dalton Schultz,26,TE,15,15,244,5-Jun,Stanford,7/11/96,4,6,Dallas Cowboys / 4th / 137th pick / 2018
64,Dakoda Shepley,28,C,4,0,290,5-Jun,British Columbia,12/27/94,2,0,
73,Tyler Smith,21,OL,17,17,332,5-Jun,Tulsa,4/3/01,Rook,8,Dallas Cowboys / 1st / 24th pick / 2022
77,Tyron Smith,32,T,4,4,320,5-Jun,USC,12/12/90,11,2,Dallas Cowboys / 1st / 9th pick / 2011
78,Terence Steele,25,T,13,13,310,6-Jun,Texas Tech,6/4/97,2,7,
69,Alex Taylor-Prioleau,25,OL,1,0,301,8-Jun,South Carolina St.,4/29/97,2,0,
18,Jalen Tolbert,23,WR,8,1,195,1-Jun,South Alabama,2/27/99,Rook,0,Dallas Cowboys / 3rd / 88th pick / 2022
2,KaVontae Turpin,26,WR,17,0,153,9-May,TCU,8/2/96,Rook,0,
55,Leighton Vander Esch,26,LB,14,14,256,4-Jun,Boise St.,2/8/96,4,7,Dallas Cowboys / 1st / 19th pick / 2018
71,Matt Waletzko,23,T,3,0,305,7-Jun,North Dakota,12/15/99,Rook,0,Dallas Cowboys / 5th / 155th pick / 2022
83,James Washington,26,WR,2,0,213,11-May,Oklahoma St.,4/2/96,4,0,Pittsburgh Steelers / 2nd / 60th pick / 2018
91,Carlos Watkins,29,DE,12,4,305,3-Jun,Clemson,12/5/93,5,2,Houston Texans / 4th / 142nd pick / 2017
54,Sam Williams,23,DE,15,0,265,4-Jun,"Northeast Mississippi CC,Mississippi",3/31/99,Rook,2,Dallas Cowboys / 2nd / 56th pick / 2022
6,Donovan Wilson,27,S,17,17,204,Jun-00,Texas A&M,2/21/95,3,6,Dallas Cowboys / 6th / 213th pick / 2019
25,Nahshon Wright,24,CB,7,2,185,4-Jun,"Laney,Oregon St.",9/23/98,1,1,Dallas Cowboys / 3rd / 99th pick / 2021
,Team Total,26.5,,17,,245.1,6-2.6,,,3.6,,
