No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
64,Justin McCray,30,OL,12,2,315,3-Jun,Central Florida,5/31/92,5,1,
62,KC McDermott,26,OL,1,0,311,5-Jun,Miami (FL),4/18/96,2,0,
10,Davis Mills,24,QB,15,15,225,4-Jun,Stanford,10/21/98,1,7,Houston Texans / 3rd / 67th pick / 2021
15,Chris Moore,29,WR,16,7,200,1-Jun,Cincinnati,6/16/93,6,4,Baltimore Ravens / 4th / 107th pick / 2016
79,Jimmy Morrissey,24,OL,8,0,305,3-Jun,Pittsburgh,6/9/98,1,0,Las Vegas Raiders / 7th / 230th pick / 2021
23,Eric Murray,28,DB,17,0,199,11-May,Minnesota,1/7/94,6,1,Kansas City Chiefs / 4th / 106th pick / 2016
21,Steven Nelson,29,DB,15,15,194,10-May,Oregon St.,1/22/93,7,5,Kansas City Chiefs / 3rd / 98th pick / 2015
33,Dare Ogunbowale,28,RB,17,4,205,10-May,Wisconsin,5/4/94,5,1,
45,Ogbonnia Okoronkwo,27,DL,17,8,253,1-Jun,Oklahoma,4/24/95,3,5,Los Angeles Rams / 5th / 160th pick / 2018
36,Jonathan Owens,27,DB,17,17,210,11-May,Missouri Western St.,7/22/95,3,6,
31,Dameon Pierce,22,RB,13,13,212,10-May,Florida,2/19/00,Rook,6,Houston Texans / 4th / 107th pick / 2022
57,Kevin Pierre-Louis,31,LB,2,0,231,Jun-00,Boston Col.,10/7/91,8,0,Seattle Seahawks / 4th / 132nd pick / 2014
5,Jalen Pitre,23,DB,17,17,198,11-May,Baylor,6/3/99,Rook,7,Houston Texans / 2nd / 37th pick / 2022
54,Scott Quessenberry,27,OL,16,16,310,3-Jun,UCLA,3/23/95,4,5,Los Angeles Chargers / 5th / 155th pick / 2018
84,Teagan Quitoriano,22,TE,9,6,256,6-Jun,Oregon St.,3/15/00,Rook,1,Houston Texans / 5th / 170th pick / 2022
22,Will Redmond,29,CB,3,0,186,11-May,Mississippi St.,12/28/93,4,0,San Francisco 49ers / 3rd / 68th pick / 2016
44,Jalen Reeves-Maybin,27,LB,17,0,230,1-Jun,Tennessee,1/31/95,5,2,Detroit Lions / 4th / 124th pick / 2017
19,Amari Rodgers,23,WR,6,1,212,9-May,Clemson,9/23/99,1,1,Green Bay Packers / 3rd / 85th pick / 2021
86,Mason Schreck,29,TE,3,1,252,5-Jun,Buffalo,11/4/93,4,0,Cincinnati Bengals / 7th / 251st pick / 2017
1,Tremon Smith,26,DB,17,2,190,11-May,Central Arkansas,7/20/96,4,2,Kansas City Chiefs / 6th / 196th pick / 2018
90,Taylor Stallworth,27,DL,1,0,305,2-Jun,South Carolina,8/18/95,4,0,
29,M.J. Stewart,27,DB,17,0,200,11-May,North Carolina,9/16/95,4,1,Tampa Bay Buccaneers / 2nd / 53rd pick / 2018
24,Derek Stingley Jr.,21,DB,9,9,190,Jun-00,LSU,6/20/01,Rook,3,Houston Texans / 1st / 3rd pick / 2022
2,Tavierre Thomas,26,DB,10,6,205,10-May,Ferris St.,3/11/96,4,2,
78,Laremy Tunsil,28,OL,17,17,313,5-Jun,Mississippi,8/2/94,6,8,Miami Dolphins / 1st / 13th pick / 2016
32,Garret Wallow,23,LB,13,3,230,2-Jun,TCU,1/25/99,1,2,Houston Texans / 5th / 170th pick / 2021
46,Jon Weeks,36,LS,17,0,242,10-May,Baylor,2/17/86,12,1,
20,Isaac Yiadom,26,DB,3,0,190,1-Jun,Boston Col.,2/20/96,4,0,Denver Broncos / 3rd / 99th pick / 2018
,Team Total,26.6,,17,,242.9,6-1.6,,,3.7,,
