No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
28,David Johnson,31,RB,5,0,224,6-1,Northern Iowa,12/16/1991,7,0,Arizona Cardinals / 3rd / 86th pick / 2015,JohnDa08
83,Juwan Johnson,26,TE,16,12,231,6-4,OregonPenn St.,9/13/1996,2,4,,JohnJu02
34,Tony Jones,25,RB,2,0,224,5-11,Notre Dame,11/24/1997,2,0,,JoneTo04
94,Cameron Jordan,33,DE,16,16,287,6-4,California,7/10/1989,11,12,New Orleans Saints / 1st / 24th pick / 2011,JordCa00
41,Alvin Kamara,27,RB,15,13,215,5-10,AlabamaHutchinson (KS)Tennessee,7/25/1995,5,8,New Orleans Saints / 3rd / 67th pick / 2017,KamaAl00
66,Lewis Kidd,25,OL,13,1,311,6-6,Montana St.,9/15/1997,Rook,1,,KiddLe00
18,Keith Kirkwood,28,WR,5,1,210,6-3,HawaiiTemple,12/26/1994,4,0,,KirkKe00
90,Tanoh Kpassagnon,28,DE,15,5,289,6-7,Villanova,6/14/1994,5,3,Kansas City Chiefs / 2nd / 59th pick / 2017,KpasTa00
87,Lucas Krull,24,TE,1,0,260,,JeffersonFloridaPittsburgh,7/11/1998,Rook,0,,KrulLu00
5,Jarvis Landry,30,WR,9,3,196,5-11,LSU,11/28/1992,8,2,Miami Dolphins / 2nd / 63rd pick / 2014,LandJa00
23,Marshon Lattimore,26,CB,7,7,192,6-0,Ohio St.,5/20/1996,5,3,New Orleans Saints / 1st / 11th pick / 2017,LattMa01
3,Wil Lutz,28,K,17,0,184,5-11,Georgia St.,7/7/1994,6,1,,LutzWi00
32,Tyrann Mathieu,30,S,17,17,190,5-9,LSU,5/13/1992,9,7,Arizona Cardinals / 3rd / 69th pick / 2013,MathTy00
6,Marcus Maye,29,S,10,10,207,6-0,Florida,3/9/1993,5,4,New York Jets / 2nd / 39th pick / 2017,MayeMa00
78,Erik McCoy,25,OL,13,13,303,6-4,Texas A&M,8/27/1997,3,5,New Orleans Saints / 2nd / 48th pick / 2019,McCoEr01
33,Kirk Merritt,25,WR,4,0,210,6-0,Arkansas St.,1/5/1997,2,0,,MerrKi00
28,Latavius Murray,32,RB,1,0,230,6-3,Central Florida,1/18/1990,8,0,Oakland Raiders / 6th / 181st pick / 2013,MurrLa00
12,Chris Olave,22,WR,15,9,187,6-0,Ohio St.,6/27/2000,Rook,8,New Orleans Saints / 1st / 11th pick / 2022,OlavCh00
93,David Onyemata,30,DT,17,17,300,6-4,Manitoba,11/13/1992,6,9,New Orleans Saints / 4th / 120th pick / 2016,OnyeDa00
75,Andrus Peat,29,OL,11,11,316,6-7,Stanford,11/4/1993,7,4,New Orleans Saints / 1st / 13th pick / 2015,PeatAn00
70,Trevor Penning,23,T,6,1,321,6-7,Northern Iowa,5/15/1999,Rook,1,New Orleans Saints / 1st / 19th pick / 2022,PennTr00
46,Adam Prentice,25,FB,11,2,245,6-0,South Carolina,1/16/1997,1,0,,PrenAd00
71,Ryan Ramczyk,28,T,16,16,314,6-6,Wisconsin,4/22/1994,5,8,New Orleans Saints / 1st / 32nd pick / 2017,RamcRy00
57,Christian Ringo,30,DT,2,0,300,6-1,Louisiana,3/10/1992,6,0,Green Bay Packers / 6th / 210th pick / 2015,RingCh00
97,Malcolm Roach,24,DT,13,3,290,6-3,Texas,6/9/1998,2,2,,RoacMa01
21,Bradley Roby,30,CB,13,10,194,5-11,Ohio St.,5/1/1992,8,4,Denver Broncos / 1st / 31st pick / 2014,RobyBr00
51,Cesar Ruiz,23,OL,14,14,316,6-4,Michigan,6/14/1999,2,6,New Orleans Saints / 1st / 24th pick / 2020,RuizCe00
45,Nephi Sewell,24,LB,4,0,228,,NevadaUtah,12/19/1998,Rook,0,,SeweNe00
89,Rashid Shaheed,24,WR,12,6,180,6-0,Weber St.,8/31/1998,Rook,4,,ShahRa00
10,Tre'Quan Smith,26,WR,15,6,210,6-2,Central Florida,1/7/1996,4,2,New Orleans Saints / 3rd / 91st pick / 2018,SmitTr03
25,Daniel Sorensen,32,S,17,2,200,6-2,BYU,3/5/1990,8,2,,SoreDa01
69,Kentavius Street,26,DT,17,0,287,6-2,North Carolina St.,5/8/1996,3,2,San Francisco 49ers / 4th / 128th pick / 2018,StreKe00
54,Ty Summers,27,LB,3,0,241,6-1,TCU,12/31/1995,3,0,Green Bay Packers / 7th / 226th pick / 2019,SummTy00
27,Alontae Taylor,24,CB,13,9,193,6-0,Tennessee,12/3/1998,Rook,3,New Orleans Saints / 2nd / 49th pick / 2022,TaylAl01
13,Michael Thomas,29,WR,3,3,212,6-3,Ohio St.,3/3/1993,6,1,New Orleans Saints / 2nd / 47th pick / 2016,ThomMi05
31,Bryce Thompson,23,CB,6,0,190,5-11,Tennessee,9/20/1999,1,0,,ThomBr03
76,Calvin Throckmorton,26,OL,14,6,309,6-5,Oregon,8/16/1996,1,3,,ThroCa01
82,Adam Trautman,25,TE,15,12,253,6-5,Dayton,2/5/1997,2,2,New Orleans Saints / 3rd / 105th pick / 2020,TrauAd00
98,Payton Turner,24,DE,8,0,270,6-6,Houston,1/7/1998,1,1,New Orleans Saints / 1st / 28th pick / 2021,TurnPa02
99,Shy Tuttle,27,DT,17,14,300,6-3,Tennessee,10/20/1995,3,7,,TuttSh00
81,Nick Vannett,29,TE,3,0,261,6-6,Ohio St.,3/6/1993,6,0,Seattle Seahawks / 3rd / 94th pick / 2016,VannNi00
24,Dwayne Washington,28,RB,12,0,223,6-1,Washington,4/24/1994,6,0,Detroit Lions / 7th / 236th pick / 2016,WashDw00
20,Pete Werner,23,LB,12,11,242,6-3,Ohio St.,6/5/1999,1,5,New Orleans Saints / 2nd / 60th pick / 2021,WernPe00
17,Kevin White,30,WR,7,2,216,6-3,LackawannaWest Virginia,6/25/1992,6,1,Chicago Bears / 1st / 7th pick / 2015,WhitKe00
26,P.J. Williams,29,CB,11,3,196,6-0,Florida St.,6/1/1993,6,2,New Orleans Saints / 3rd / 78th pick / 2015,WillP.00
2,Jameis Winston,28,QB,3,3,231,6-4,Florida St.,1/6/1994,7,2,Tampa Bay Buccaneers / 1st / 1st pick / 2015,WinsJa00
49,Zach Wood,29,LS,17,0,255,6-3,SMU,1/10/1993,5,1,,WoodZa00
36,Isaac Yiadom,26,CB,6,0,190,6-1,Boston Col.,2/20/1996,4,0,Denver Broncos / 3rd / 99th pick / 2018,YiadIs00
67,Landon Young,25,T,16,2,321,6-7,Kentucky,8/21/1997,1,2,New Orleans Saints / 6th / 206th pick / 2021,YounLa00
69,Jabari Zuniga,25,DE,1,0,264,6-3,Florida,8/14/1997,2,0,New York Jets / 3rd / 79th pick / 2020,ZuniJa00
,Team Total,27.1,,17,,240.7,6-2.1,,,4.0,,,-9999
