No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
75,Darian Kinnard,23,T,1,0,322,5-Jun,Kentucky,12/29/99,Rook,0,Kansas City Chiefs / 5th / 145th pick / 2022
26,Chris Lammons,26,CB,16,0,182,10-May,South Carolina,1/31/96,3,1,
44,Elijah Lee,26,LB,5,0,230,3-Jun,Kansas St.,2/8/96,5,1,Minnesota Vikings / 7th / 232nd pick / 2017
15,Patrick Mahomes,27,QB,17,17,225,2-Jun,Texas Tech,9/17/95,5,19,Kansas City Chiefs / 1st / 10th pick / 2017
21,Trent McDuffie,22,CB,11,11,195,11-May,Washington,9/13/00,Rook,3,Kansas City Chiefs / 1st / 21st pick / 2022
1,Jerick McKinnon,30,RB,17,0,201,9-May,Georgia Southern,5/3/92,8,7,Minnesota Vikings / 3rd / 96th pick / 2014
24,Skyy Moore,22,WR,16,3,195,10-May,Western Michigan,9/10/00,Rook,2,Kansas City Chiefs / 2nd / 54th pick / 2022
67,Lucas Niang,24,OL,7,0,315,6-Jun,TCU,8/18/98,1,1,Kansas City Chiefs / 3rd / 96th pick / 2020
91,Derrick Nnadi,26,DT,17,17,317,1-Jun,Florida St.,5/9/96,4,6,Kansas City Chiefs / 3rd / 75th pick / 2018
10,Isiah Pacheco,23,RB,17,11,216,10-May,Rutgers,3/2/99,Rook,7,Kansas City Chiefs / 7th / 251st pick / 2022
14,Cornell Powell,25,WR,3,0,210,Jun-00,Clemson,10/30/97,Rook,0,Kansas City Chiefs / 5th / 181st pick / 2021
20,Justin Reid,25,S,17,17,203,1-Jun,Stanford,2/15/97,4,5,Houston Texans / 3rd / 68th pick / 2018
99,Khalen Saunders,26,DT,16,0,324,Jun-00,Western Illinois,8/9/96,3,1,Kansas City Chiefs / 3rd / 84th pick / 2019
71,Danny Shelton,29,NT,1,0,345,2-Jun,Washington,8/20/93,7,0,Cleveland Browns / 1st / 12th pick / 2015
65,Trey Smith,23,OL,16,16,329,5-Jun,Tennessee,6/16/99,1,8,Kansas City Chiefs / 6th / 226th pick / 2021
82,Ihmir Smith-Marsette,23,WR,2,0,185,1-Jun,Iowa,8/29/99,1,0,Minnesota Vikings / 5th / 157th pick / 2021
9,JuJu Smith-Schuster,26,WR,16,14,215,1-Jun,USC,11/22/96,5,9,Pittsburgh Steelers / 2nd / 62nd pick / 2017
38,L'Jarius Sneed,25,CB,17,17,189,Jun-00,Louisiana Tech,1/21/97,2,6,Kansas City Chiefs / 4th / 138th pick / 2020
90,Taylor Stallworth,27,DT,6,0,305,2-Jun,South Carolina,8/18/95,4,0,
22,Juan Thornhill,27,S,16,16,203,Jun-00,Virginia,10/19/95,3,5,Kansas City Chiefs / 2nd / 63rd pick / 2019
62,Joe Thuney,30,OL,15,15,304,5-Jun,North Carolina St.,11/18/92,6,11,New England Patriots / 3rd / 78th pick / 2016
19,Kadarius Toney,23,WR,7,3,193,Jun-00,Florida,1/27/99,1,2,New York Giants / 1st / 20th pick / 2021
5,Tommy Townsend,26,P,17,0,194,1-Jun,Florida,11/12/96,2,3,
11,Marquez Valdes-Scantling,28,WR,17,11,206,4-Jun,"North Carolina St.,South Florida",10/10/94,4,6,Green Bay Packers / 5th / 174th pick / 2018
70,Prince Tega Wanogho,25,T,17,0,308,5-Jun,Auburn,11/22/97,2,1,Philadelphia Eagles / 6th / 210th pick / 2020
35,Jaylen Watson,24,CB,16,6,197,2-Jun,"Washington St.,Ventura College",9/17/98,Rook,3,Kansas City Chiefs / 7th / 243rd pick / 2022
84,Justin Watson,26,WR,17,5,215,2-Jun,Pennsylvania,4/4/96,4,3,Tampa Bay Buccaneers / 5th / 144th pick / 2018
98,Tershawn Wharton,24,DT,5,0,280,1-Jun,Missouri S&T,6/25/98,2,0,
66,Brandon Williams,33,DT,5,0,336,1-Jun,Missouri Southern,2/21/89,9,0,Baltimore Ravens / 3rd / 94th pick / 2013
23,Joshua Williams,23,DB,17,4,197,3-Jun,Fayetteville St.,10/17/99,Rook,2,Kansas City Chiefs / 4th / 135th pick / 2022
41,James Winchester,33,LS,17,0,209,3-Jun,Oklahoma,8/6/89,7,1,
19,Matthew Wright,26,K,2,0,179,Jun-00,Central Florida,3/22/96,2,0,
77,Andrew Wylie,28,G,17,17,310,6-Jun,East. Michigan,8/19/94,4,8,
,Team Total,26,,17,,241.8,6-1.8,,,3.2,,
