No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
88,Terrace Marshall Jr.,22,WR,14,9,200,2-Jun,LSU,6/9/00,1,4,Carolina Panthers / 2nd / 59th pick / 2021
6,Baker Mayfield,27,QB,7,6,215,1-Jun,Oklahoma,4/14/95,4,3,Cleveland Browns / 1st / 1st pick / 2018
64,Cade Mays,23,G,11,2,325,6-Jun,"Georgia,Tennessee",4/26/99,Rook,1,Carolina Panthers / 6th / 199th pick / 2022
22,Christian McCaffrey,26,RB,6,6,205,11-May,Stanford,6/7/96,5,5,Carolina Panthers / 1st / 8th pick / 2017
78,Marquan McCall,23,DT,16,0,379,,Kentucky,3/26/99,Rook,1,
2,D.J. Moore,25,WR,17,17,210,Jun-00,Maryland,4/14/97,4,8,Carolina Panthers / 1st / 24th pick / 2018
46,Arron Mosby,23,LB,3,0,248,4-Jun,Fresno St.,4/13/99,Rook,0,
72,Taylor Moton,28,T,17,17,325,5-Jun,Western Michigan,8/14/94,5,7,Carolina Panthers / 2nd / 64th pick / 2017
54,Daviyon Nixon,24,DT,7,0,305,3-Jun,"Iowa Western,Iowa",12/13/98,1,1,Carolina Panthers / 5th / 158th pick / 2021
6,Josh Norman,35,CB,2,1,200,Jun-00,Coastal Carolina,12/15/87,10,0,Carolina Panthers / 5th / 143rd pick / 2012
4,Eddy Pineiro,27,K,17,0,177,11-May,Florida,9/13/95,3,5,
45,Giovanni Ricci,26,TE,15,3,240,3-Jun,Western Michigan,10/16/96,1,1,
18,Andre Roberts,34,WR,3,0,195,11-May,The Citadel,1/9/88,12,0,Arizona Cardinals / 3rd / 88th pick / 2010
93,Bravvion Roy,26,DT,13,4,330,1-Jun,Baylor,10/18/96,2,3,Carolina Panthers / 6th / 184th pick / 2020
15,Laviska Shenault Jr.,24,WR,13,4,227,1-Jun,Colorado,10/5/98,2,3,Jacksonville Jaguars / 2nd / 42nd pick / 2020
40,Brandon Smith,21,LB,12,1,241,3-Jun,Penn St.,4/12/01,Rook,1,Carolina Panthers / 4th / 120th pick / 2022
12,Shi Smith,24,WR,17,6,190,10-May,South Carolina,10/26/98,1,3,Carolina Panthers / 6th / 204th pick / 2021
84,Stephen Sullivan,26,TE,14,0,248,5-Jun,LSU,11/28/96,2,0,Seattle Seahawks / 7th / 251st pick / 2020
28,Keith Taylor,24,CB,17,2,195,3-Jun,Washington,11/20/98,1,2,Carolina Panthers / 5th / 166th pick / 2021
80,Ian Thomas,26,TE,17,17,260,4-Jun,Indiana,6/6/96,4,2,Carolina Panthers / 4th / 101st pick / 2018
23,Stantley Thomas-Oliver,24,CB,3,0,190,Jun-00,Florida International,6/4/98,2,0,Carolina Panthers / 7th / 221st pick / 2020
7,Shaq Thompson,28,LB,17,17,230,Jun-00,Washington,4/21/94,7,8,Carolina Panthers / 1st / 25th pick / 2015
82,Tommy Tremble,22,TE,17,4,250,4-Jun,Notre Dame,6/2/00,1,2,Carolina Panthers / 3rd / 83rd pick / 2021
11,P.J. Walker,27,QB,6,5,210,11-May,Temple,2/26/95,2,2,
85,Preston Williams,25,WR,1,0,220,5-Jun,Colorado St.,3/27/97,3,0,
57,Damien Wilson,29,LB,17,5,243,Jun-00,Minnesota,5/28/93,7,3,Dallas Cowboys / 4th / 127th pick / 2015
25,Xavier Woods,27,S,15,15,204,11-May,Louisiana Tech,7/26/95,5,6,Dallas Cowboys / 6th / 191st pick / 2017
50,Chandler Wooten,23,LB,9,0,232,3-Jun,Auburn,4/25/99,Rook,1,
,Team Total,26.1,,17,,242.3,6-2.2,,,3.4,,
