No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
70,Jake Matthews,30,T,17,17,309,6-5,Texas A&M,2/11/1992,8,8,Atlanta Falcons / 1st / 6th pick / 2014,MattJa00
48,Liam McCullough,25,LS,17,0,237,6-2,Ohio St.,6/5/1997,Rook,1,,McCuLi00
76,Kaleb McGary,27,T,17,17,306,6-6,Washington,2/22/1995,3,8,Atlanta Falcons / 1st / 31st pick / 2019,McGaKa00
20,Jovante Moffatt,26,S,3,0,210,6-0,Middle Tenn. St.,12/25/1996,2,0,,MoffJo01
64,Ryan Neuzil,25,OL,9,0,290,6-3,Appalachian St.,7/31/1997,Rook,1,,NeuzRy00
92,Adetokunbo Ogundeji,24,OLB,16,16,268,6-4,Notre Dame,10/9/1998,1,6,Atlanta Falcons / 5th / 182nd pick / 2021,OgunAd01
26,Isaiah Oliver,26,CB,12,5,210,6-0,Colorado,9/30/1996,4,2,Atlanta Falcons / 2nd / 58th pick / 2018,OlivIs00
84,Cordarrelle Patterson,31,RB,13,11,220,6-2,Tennessee,3/17/1991,9,7,Minnesota Vikings / 1st / 29th pick / 2013,PattCo00
13,Bradley Pinion,28,P,17,0,229,6-5,Clemson,6/1/1994,7,2,San Francisco 49ers / 5th / 165th pick / 2015,PiniBr00
8,Kyle Pitts,22,TE,10,10,246,6-6,Florida,10/6/2000,1,4,Atlanta Falcons / 1st / 4th pick / 2021,PittKy00
85,MyCole Pruitt,30,TE,13,4,245,6-2,Southern Illinois,3/24/1992,7,2,Minnesota Vikings / 5th / 143rd pick / 2015,PruiMy00
4,Desmond Ridder,23,QB,4,4,215,6-4,Cincinnati,8/31/1999,Rook,3,Atlanta Falcons / 3rd / 74th pick / 2022,RiddDe00
94,Anthony Rush,26,DT,4,4,361,6-4,Ala-Birmingham,9/1/1996,3,2,,RushAn00
40,Keith Smith,30,FB,17,6,240,6-0,San Jose St.,4/8/1992,8,0,,SmitKe03
24,AJ Terrell,24,CB,14,14,195,6-1,Clemson,9/23/1998,2,4,Atlanta Falcons / 1st / 16th pick / 2020,TerrAJ00
3,Mykal Walker,25,LB,16,12,230,6-3,Azusa PacificFresno St.,8/28/1997,2,6,Atlanta Falcons / 4th / 119th pick / 2020,WalkMy00
68,Elijah Wilkinson,27,OL,9,9,322,6-6,Massachusetts,2/10/1995,5,4,,WilkEl00
35,Avery Williams,24,RB,17,3,195,5-9,Boise St.,7/15/1998,1,1,Atlanta Falcons / 5th / 183rd pick / 2021,WillAv02
6,Damien Williams,30,RB,1,1,225,5-11,Oklahoma,4/3/1992,8,0,,WillDa05
5,Logan Woodside,27,QB,1,0,213,6-1,Toledo,1/27/1995,2,0,Cincinnati Bengals / 7th / 249th pick / 2018,WoodLo00
17,Olamide Zaccheaus,25,WR,17,13,193,5-8,Virginia,7/23/1997,3,6,,ZaccOl01
,Team Total,26.1,,17,,242.8,6-2.0,,,3.0,,,-9999
