No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
16,Isaiah Hodgins,24,WR,2,0,210,4-Jun,Oregon St.,10/21/98,1,0,Buffalo Bills / 6th / 207th pick / 2020
23,Micah Hyde,32,S,2,2,197,Jun-00,Iowa,12/31/90,9,1,Green Bay Packers / 5th / 159th pick / 2013
46,Ja'Marcus Ingram,25,CB,2,0,190,2-Jun,"Utah St.,Texas Tech,Buffalo",9/2/97,Rook,0,
30,Dane Jackson,26,CB,15,14,180,11-May,Pittsburgh,11/29/96,2,6,Buffalo Bills / 7th / 239th pick / 2020
22,Duke Johnson,29,RB,1,0,210,9-May,Miami (FL),9/23/93,7,0,Cleveland Browns / 3rd / 77th pick / 2015
4,Jaquan Johnson,27,S,16,3,191,10-May,Miami (FL),11/6/95,3,2,Buffalo Bills / 6th / 181st pick / 2019
7,Taron Johnson,26,CB,16,15,192,11-May,Weber St.,7/27/96,4,6,Buffalo Bills / 4th / 121st pick / 2018
59,Kingsley Jonathan,24,DE,1,0,260,4-Jun,Syracuse,4/28/98,Rook,0,
92,DaQuan Jones,31,DT,16,16,320,4-Jun,Penn St.,12/27/91,8,9,Tennessee Titans / 4th / 112th pick / 2014
25,Taiwan Jones,34,RB,16,0,195,Jun-00,East. Washington,7/26/88,11,0,Oakland Raiders / 4th / 125th pick / 2011
18,Case Keenum,34,QB,2,0,215,1-Jun,Houston,2/17/88,9,0,
52,A.J. Klein,31,LB,6,1,240,1-Jun,Iowa St.,7/30/91,9,1,Carolina Panthers / 5th / 148th pick / 2013
88,Dawson Knox,26,TE,15,15,254,4-Jun,Mississippi,11/14/96,3,5,Buffalo Bills / 3rd / 96th pick / 2019
15,Jake Kumerow,30,WR,6,1,209,4-Jun,Wisconsin–Whitewater,2/17/92,4,1,
90,Shaq Lawson,28,DE,15,6,270,3-Jun,Clemson,6/17/94,6,4,Buffalo Bills / 1st / 19th pick / 2016
39,Cameron Lewis,25,CB,13,1,185,9-May,Buffalo,4/13/97,2,1,
56,Mike Love,28,DE,1,0,255,3-Jun,South Florida,1/22/94,4,0,
62,Greg Mancz,30,C,1,0,302,4-Jun,Toledo,4/23/92,7,0,
31,Dean Marlowe,30,FS,4,1,203,1-Jun,James Madison,7/25/92,7,1,
6,Sam Martin,32,P,16,0,211,1-Jun,Appalachian St.,2/27/90,9,2,Detroit Lions / 5th / 165th pick / 2013
44,Tyler Matakevich,30,LB,16,0,235,1-Jun,Temple,12/22/92,6,1,Pittsburgh Steelers / 7th / 246th pick / 2016
6,Isaiah McKenzie,27,WR,15,8,173,8-May,Georgia,4/9/95,5,5,Denver Broncos / 5th / 172nd pick / 2017
58,Matt Milano,28,LB,15,15,223,Jun-00,Boston Col.,7/28/94,5,19,Buffalo Bills / 5th / 163rd pick / 2017
40,Von Miller,33,LB,11,11,250,3-Jun,Texas A&M,3/26/89,11,6,Denver Broncos / 1st / 2nd pick / 2011
85,Quintin Morris,23,TE,14,1,252,2-Jun,Bowling Green,1/21/99,Rook,1,
60,Mitch Morse,30,C,13,13,305,6-Jun,Missouri,4/21/92,7,9,Kansas City Chiefs / 2nd / 49th pick / 2015
20,Zack Moss,25,RB,5,0,205,9-May,Utah,12/15/97,2,1,Buffalo Bills / 3rd / 86th pick / 2020
67,Justin Murray,29,T,5,0,315,5-Jun,Cincinnati,4/19/93,4,0,
33,Siran Neal,28,CB,16,0,206,Jun-00,Jacksonville St.,8/4/94,4,1,Buffalo Bills / 5th / 154th pick / 2018
91,Ed Oliver,25,DT,13,13,287,1-Jun,Houston,12/12/97,3,7,Buffalo Bills / 1st / 9th pick / 2019
97,Jordan Phillips,30,DT,12,1,341,6-Jun,Oklahoma,9/21/92,7,2,Miami Dolphins / 2nd / 52nd pick / 2015
21,Jordan Poyer,31,S,12,12,191,Jun-00,Oregon St.,4/25/91,9,8,Philadelphia Eagles / 7th / 218th pick / 2013
77,David Quessenberry,32,OL,16,3,310,5-Jun,San Jose St.,8/24/90,5,3,Houston Texans / 6th / 176th pick / 2013
29,Xavier Rhodes,32,CB,2,1,218,1-Jun,Florida St.,6/19/90,9,0,Minnesota Vikings / 1st / 25th pick / 2013
50,Gregory Rousseau,22,DE,13,13,266,6-Jun,Miami (FL),4/5/00,1,7,Buffalo Bills / 1st / 30th pick / 2021
76,Rodger Saffold,34,G,16,16,325,5-Jun,Indiana,6/6/88,12,11,St. Louis Rams / 2nd / 33rd pick / 2010
99,Tim Settle,25,DT,15,2,308,3-Jun,Virginia Tech,7/11/97,4,3,Washington Redskins / 5th / 163rd pick / 2018
10,Khalil Shakir,22,WR,14,2,190,Jun-00,Boise St.,2/3/00,Rook,2,Buffalo Bills / 5th / 148th pick / 2022
26,Devin Singletary,25,RB,16,16,203,7-May,Florida Atlantic,9/3/97,3,9,Buffalo Bills / 3rd / 74th pick / 2019
54,Baylon Spector,24,LB,6,0,233,Jun-00,Clemson,10/20/98,Rook,1,Buffalo Bills / 7th / 231st pick / 2022
89,Tommy Sweeney,27,TE,5,0,251,5-Jun,Boston Col.,7/1/95,3,0,Buffalo Bills / 7th / 228th pick / 2019
64,Greg Van Roten,32,G,16,4,305,3-Jun,Pennsylvania,2/26/90,10,3,
27,Tre'Davious White,27,CB,6,6,192,11-May,LSU,1/16/95,5,2,Buffalo Bills / 1st / 27th pick / 2017
,Team Total,27.2,,16,,241.2,6-1.7,,,4.3,,
