No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
14,Courtland Sutton,27,WR,15,15,216,4-Jun,SMU,10/10/95,4,5,Denver Broncos / 2nd / 40th pick / 2018
86,Freddie Swain,24,WR,3,1,199,Jun-00,Florida,8/4/98,2,0,Seattle Seahawks / 6th / 214th pick / 2020
87,Eric Tomlinson,30,TE,17,12,263,6-Jun,Texas-El Paso,4/22/92,6,1,
57,Billy Turner,31,OL,8,7,310,5-Jun,North Dakota St.,10/17/91,8,2,Miami Dolphins / 3rd / 67th pick / 2014
32,Delarrin Turner-Yell,23,S,14,0,200,11-May,Oklahoma,12/16/99,Rook,1,Denver Broncos / 5th / 152nd pick / 2022
96,Eyioma Uwazurike,24,DL,8,0,310,6-Jun,Iowa St.,5/6/98,Rook,1,Denver Broncos / 4th / 116th pick / 2022
15,Jalen Virgil,24,WR,9,1,210,1-Jun,Appalachian St.,7/13/98,Rook,0,
17,Corliss Waitman,27,P,17,0,210,2-Jun,South Alabama,7/21/95,1,3,
12,Montrell Washington,23,WR,15,1,170,10-May,Samford,3/14/99,Rook,0,Denver Broncos / 5th / 162nd pick / 2022
60,Luke Wattenberg,25,C,7,1,295,5-Jun,Washington,9/10/97,Rook,1,Denver Broncos / 5th / 171st pick / 2022
43,Ray Wilborn,25,LB,2,0,224,4-Jun,"Garden City (KS),Ball St.",4/1/97,Rook,0,
90,DeShawn Williams,30,DL,17,15,292,1-Jun,Clemson,12/29/92,6,8,
33,Javonte Williams,22,RB,4,4,220,10-May,North Carolina,4/25/00,1,1,Denver Broncos / 2nd / 35th pick / 2021
21,K'Waun Williams,31,CB,14,8,185,9-May,Pittsburgh,7/12/91,8,3,
3,Russell Wilson,34,QB,15,15,215,11-May,"Wisconsin,North Carolina St.",11/29/88,10,9,Seattle Seahawks / 3rd / 75th pick / 2012
,Team Total,26.3,,17,,241.4,6-2.0,,,3.1,,
