No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
25,Travis Homer,24,RB,10,1,202,5-10,Miami (FL),8/7/1998,3,2,Seattle Seahawks / 6th / 204th pick / 2019,HomeTr00
34,Godwin Igwebuike,28,RB,5,0,212,6-0,Northwestern,9/10/1994,4,0,,IgweGo00
51,Bruce Irvin,35,LB,11,10,250,6-3,Butler (KS)West Virginia,11/1/1987,10,4,Seattle Seahawks / 1st / 15th pick / 2012,IrviBr00
66,Gabe Jackson,31,G,15,15,335,6-3,Mississippi St.,7/12/1991,8,7,Oakland Raiders / 3rd / 81st pick / 2014,JackGa00
30,Michael Jackson,25,CB,17,17,210,6-1,Miami (FL),1/10/1997,3,6,Dallas Cowboys / 5th / 158th pick / 2019,JackMi01
77,Quinton Jefferson,29,DE,17,3,291,6-4,Maryland,3/31/1993,6,2,Seattle Seahawks / 5th / 147th pick / 2016,JeffQu00
34,Alexander Johnson,31,LB,1,0,255,6-2,Tennessee,12/24/1991,4,0,,JohnAl01
88,Cade Johnson,24,WR,3,0,180,5-10,South Dakota St.,4/10/1998,Rook,0,,JohnCa03
40,Darryl Johnson,25,LB,4,1,250,6-6,North Carolina A&T,4/4/1997,3,1,Buffalo Bills / 7th / 225th pick / 2019,JohnDa10
48,Christian Jones,31,LB,3,0,245,6-3,Florida St.,2/18/1991,8,0,,JoneCh05
13,Josh Jones,28,S,12,3,220,6-2,North Carolina St.,9/20/1994,5,2,Green Bay Packers / 2nd / 61st pick / 2017,JoneJo06
23,Sidney Jones,26,CB,3,0,181,6-0,Washington,5/21/1996,5,0,Philadelphia Eagles / 2nd / 43rd pick / 2017,JoneSi00
32,Tony Jones,25,RB,4,0,224,5-11,Notre Dame,11/24/1997,2,0,,JoneTo04
50,Vi Jones,24,LB,3,0,225,6-2,USCNorth Carolina St.,5/5/1998,Rook,0,,JoneVi00
68,Damien Lewis,25,G,16,16,327,6-2,LSU,3/21/1997,2,7,Seattle Seahawks / 3rd / 69th pick / 2020,LewiDa05
16,Tyler Lockett,30,WR,16,16,182,5-10,Kansas St.,9/28/1992,7,9,Seattle Seahawks / 3rd / 69th pick / 2015,LockTy00
72,Abraham Lucas,24,T,16,16,322,6-6,Washington St.,10/25/1998,Rook,9,Seattle Seahawks / 3rd / 72nd pick / 2022,LucaAb00
85,Tyler Mabry,26,TE,2,0,248,6-4,BuffaloMaryland,11/21/1996,1,0,,MabrTy00
53,Boye Mafe,24,LB,17,3,265,6-4,Minnesota,11/30/1998,Rook,2,Seattle Seahawks / 2nd / 40th pick / 2022,MafeBo00
14,D.K. Metcalf,25,WR,17,17,235,6-4,Mississippi,12/14/1997,3,10,Seattle Seahawks / 2nd / 64th pick / 2019,MetcDK00
90,Bryan Mone,27,DT,13,3,345,6-3,Michigan,10/20/1995,3,2,,MoneBr00
58,Tanner Muse,26,LB,17,1,227,6-2,Clemson,9/6/1996,1,1,Las Vegas Raiders / 3rd / 100th pick / 2020,MuseTa00
5,Jason Myers,31,K,17,0,190,5-10,Marist,5/12/1991,7,4,,MyerJa00
26,Ryan Neal,27,SS,14,10,200,6-3,Southern Illinois,12/24/1995,4,3,,NealRy00
10,Uchenna Nwosu,26,LB,17,17,251,6-2,USC,12/28/1996,4,8,Los Angeles Chargers / 2nd / 48th pick / 2018,NwosUc00
49,Josh Onujiogu,24,LB,1,0,252,6-2,Framingham St.,3/3/1998,Rook,0,,OnujJo00
84,Colby Parkinson,23,TE,17,2,251,6-7,Stanford,1/8/1999,2,3,Seattle Seahawks / 4th / 133rd pick / 2020,ParkCo02
20,Rashaad Penny,26,RB,5,5,220,5-11,San Diego St.,2/2/1996,4,2,Seattle Seahawks / 1st / 27th pick / 2018,PennRa00
59,Jon Rhattigan,23,LB,5,0,236,6-0,Army,2/2/1999,1,0,,RhatJo00
7,Geno Smith,32,QB,17,17,221,6-3,West Virginia,10/10/1990,9,15,New York Jets / 2nd / 39th pick / 2013,SmitGe00
39,Teez Tabor,27,SS,10,1,191,6-0,Florida,12/31/1995,5,1,Detroit Lions / 2nd / 53rd pick / 2017,TaboTe00
52,Darrell Taylor,25,LB,16,3,267,6-4,Tennessee,3/24/1997,1,3,Seattle Seahawks / 2nd / 48th pick / 2020,TaylDa00
46,Carson Tinker,33,LS,17,0,233,6-0,Alabama,11/15/1989,9,1,,TinkCa00
18,Laquon Treadwell,27,WR,6,0,215,6-2,Mississippi,6/14/1995,6,0,Minnesota Vikings / 1st / 23rd pick / 2016,TreaLa00
9,Kenneth Walker III,22,RB,15,11,211,5-9,Wake ForestMichigan St.,10/20/2000,Rook,8,Seattle Seahawks / 2nd / 41st pick / 2022,WalkKe00
99,Al Woods,35,DT,14,14,309,6-4,LSU,3/25/1987,12,6,New Orleans Saints / 4th / 123rd pick / 2010,WoodAl99
27,Riq Woolen,23,CB,17,17,205,6-4,Texas-San Antonio,5/2/1999,Rook,10,Seattle Seahawks / 5th / 153rd pick / 2022,WoolTa00
83,Dareke Young,23,WR,13,0,223,6-2,Lenoir-Rhyne,6/4/1999,Rook,0,Seattle Seahawks / 7th / 233rd pick / 2022,YounDa02
,Team Total,26.7,,17,,239.8,6-1.5,,,3.6,,,-9999
