No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
50,Takkarist McKinley,27,OLB,4,0,260,6-2,UCLA,11/2/1995,5,0,Atlanta Falcons / 1st / 26th pick / 2017,McKiTa00
69,Larrell Murchison,25,DT,3,0,297,6-2,North Carolina St.,4/24/1997,2,0,Tennessee Titans / 5th / 174th pick / 2020,MurcLa00
70,Joseph Noteboom,27,OL,6,6,321,6-5,TCU,6/19/1995,4,2,Los Angeles Rams / 3rd / 89th pick / 2018,NoteJo00
68,Ty Nsekhe,37,T,10,8,325,6-8,Texas St.,10/27/1985,10,4,,NsekTy00
42,Matthew Orzech,27,LS,17,0,245,6-3,Azusa Pacific,4/12/1995,3,1,,OrzeMa00
16,Bryce Perkins,26,QB,5,1,214,6-3,Arizona St.Arizona WesternVirginia,12/20/1996,Rook,1,,PerkBr02
46,Jared Pinkney,25,TE,4,0,255,6-4,Vanderbilt,8/21/1997,1,0,,PinkJa02
19,Brandon Powell,27,WR,17,6,188,5-8,Florida,9/12/1995,4,2,,PoweBr00
5,Jalen Ramsey,28,DB,17,17,208,6-1,Florida St.,10/24/1994,6,8,Jacksonville Jaguars / 1st / 5th pick / 2016,RamsJa00
24,Taylor Rapp,25,DB,16,16,208,6-0,Washington,12/22/1997,3,5,Los Angeles Rams / 2nd / 61st pick / 2019,RappTa00
30,Ronnie Rivers,23,RB,8,1,195,,Fresno St.,1/31/1999,Rook,0,,RiveRo01
94,A'Shawn Robinson,27,DT,10,10,330,6-4,Alabama,3/21/1995,6,4,Detroit Lions / 2nd / 46th pick / 2016,RobiAS00
1,Allen Robinson,29,WR,10,10,220,6-2,Penn St.,8/24/1993,8,3,Jacksonville Jaguars / 2nd / 61st pick / 2014,RobiAl02
31,Robert Rochell,24,DB,17,0,195,6-2,Central Arkansas,4/26/1998,1,1,Los Angeles Rams / 4th / 130th pick / 2021,RochRo00
56,Christian Rozeboom,25,LB,17,0,230,6-2,South Dakota St.,1/30/1997,1,1,,RozeCh00
33,Nick Scott,27,DB,16,16,201,5-11,Penn St.,5/17/1995,3,5,Los Angeles Rams / 7th / 243rd pick / 2019,ScotNi01
65,Coleman Shelton,27,G,13,13,299,6-4,Washington,7/28/1995,3,5,,ShelCo00
18,Ben Skowronek,25,WR,14,11,224,6-3,NorthwesternNotre Dame,6/27/1997,1,4,Los Angeles Rams / 7th / 249th pick / 2021,SkowBe00
64,Matt Skura,29,C,9,8,305,6-3,Duke,2/17/1993,5,3,,SkurMa01
9,Matthew Stafford,34,QB,9,9,220,6-3,Georgia,2/7/1988,13,7,Detroit Lions / 1st / 1st pick / 2009,StafMa00
40,Brayden Thomas,24,OLB,1,0,260,6-3,Univ. of MaryMinnesota St.North Dakota St.,3/20/1998,Rook,0,,ThomBr04
96,Keir Thomas,24,OLB,8,0,275,6-2,South CarolinaFlorida St.,1/25/1998,Rook,1,,ThomKe04
57,Zachary Thomas,24,T,1,0,300,6-5,San Diego St.,5/26/1998,Rook,0,Chicago Bears / 6th / 186th pick / 2022,ThomZa04
81,Austin Trammell,24,WR,6,0,185,5-10,Rice,7/4/1998,1,0,,TramAu00
45,Bobby Wagner,32,LB,17,17,242,6-0,Utah St.,6/27/1990,10,13,Seattle Seahawks / 2nd / 47th pick / 2012,WagnBo00
92,Jonah Williams,27,DT,16,6,275,6-5,Weber St.,8/17/1995,1,3,,WillJo16
23,Kyren Williams,22,RB,10,0,195,5-9,Notre Dame,8/26/2000,Rook,2,Los Angeles Rams / 5th / 164th pick / 2022,WillKy02
13,John Wolford,27,QB,3,3,200,6-1,Wake Forest,10/16/1995,2,1,,WolfJo00
21,Russ Yeast,23,S,15,1,195,5-10,LouisvilleKansas St.,5/8/1999,Rook,1,Los Angeles Rams / 7th / 253rd pick / 2022,YeasRu00
,Team Total,25.9,,17,,244.4,6-2.0,,,2.8,,,-9999
