No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
95,Leki Fotu,24,DT,17,9,330,6-5,Utah,8/23/1998,2,4,Arizona Cardinals / 4th / 114th pick / 2020,FotuLe00
72,Max Garcia,31,OL,12,7,309,6-4,Florida,11/9/1991,7,3,Denver Broncos / 4th / 133rd pick / 2015,GarcMa00
45,Dennis Gardeck,28,OLB,14,3,232,6-0,Sioux Falls,8/9/1994,4,2,,GardDe01
44,Markus Golden,31,OLB,17,14,260,6-3,Missouri,3/13/1991,7,5,Arizona Cardinals / 2nd / 58th pick / 2015,GoldMa00
18,A.J. Green,34,WR,15,10,207,6-4,Georgia,7/31/1988,11,2,Cincinnati Bengals / 1st / 4th pick / 2011,GreeA.00
57,Kamu Grugier-Hill,28,LB,9,0,230,6-2,East. Illinois,5/16/1994,6,1,New England Patriots / 6th / 208th pick / 2016,GrugKa00
27,Nate Hairston,28,CB,2,0,185,6-0,Temple,6/30/1994,5,0,Indianapolis Colts / 5th / 158th pick / 2017,HairNa00
33,Antonio Hamilton,29,CB,10,5,188,6-0,South Carolina St.,1/24/1993,6,2,,HamiAn01
64,Sean Harlow,27,OL,17,3,284,6-4,Oregon St.,3/28/1995,3,2,Atlanta Falcons / 4th / 136th pick / 2017,HarlSe00
76,Will Hernandez,27,OL,13,13,327,6-2,Texas-El Paso,9/2/1995,4,6,New York Giants / 2nd / 34th pick / 2018,HernWi00
98,Trysten Hill,24,DT,6,0,308,6-3,Central Florida,3/25/1998,3,0,Dallas Cowboys / 2nd / 58th pick / 2019,HillTr00
10,DeAndre Hopkins,30,WR,9,9,212,6-1,Clemson,6/6/1992,9,6,Houston Texans / 1st / 27th pick / 2013,HopkDe00
61,Rodney Hudson,33,OL,4,4,315,6-2,Florida St.,7/12/1989,11,2,Kansas City Chiefs / 2nd / 55th pick / 2011,HudsRo00
74,D.J. Humphries,29,OL,8,8,307,6-5,Florida,12/28/1993,6,3,Arizona Cardinals / 1st / 24th pick / 2015,HumpD.00
30,Keaontay Ingram,23,RB,12,0,215,6-0,TexasUSC,10/26/1999,Rook,1,Arizona Cardinals / 6th / 201st pick / 2022,IngrKe01
17,Andy Isabella,26,WR,3,0,188,5-9,Massachusetts,11/18/1996,3,0,Arizona Cardinals / 2nd / 62nd pick / 2019,IsabAn00
16,Josh Jackson,26,CB,1,0,196,6-0,Iowa,4/3/1996,4,0,Green Bay Packers / 2nd / 45th pick / 2018,JackJo01
79,Josh Jones,25,OL,17,9,319,6-5,Houston,6/22/1997,2,4,Arizona Cardinals / 3rd / 72nd pick / 2020,JoneJo07
96,Manny Jones,23,DT,4,0,290,6-4,Colorado St.,6/6/1999,Rook,0,,JoneMa07
42,Devon Kennard,31,OLB,5,1,256,6-3,USC,6/24/1991,8,1,New York Giants / 5th / 174th pick / 2014,KennDe00
90,Rashard Lawrence,24,DT,5,5,308,6-2,LSU,8/27/1998,2,2,Arizona Cardinals / 4th / 131st pick / 2020,LawrRa01
93,Jonathan Ledbetter,25,DE,14,3,280,6-4,Georgia,9/12/1997,3,2,,LedbJo01
14,Andy Lee,40,P,17,0,185,6-1,Pittsburgh,8/11/1982,18,2,San Francisco 49ers / 6th / 188th pick / 2004,LeexAn20
43,Jesse Luketa,23,OLB,7,0,247,6-3,Penn St.,1/15/1999,Rook,0,Arizona Cardinals / 7th / 256th pick / 2022,LukeJe00
35,Christian Matthew,26,CB,14,3,195,6-2,Georgia SouthernSamfordValdosta St.,10/26/1996,Rook,2,Arizona Cardinals / 7th / 244th pick / 2022,MattCh01
85,Trey McBride,23,TE,16,13,260,6-4,Colorado St.,11/22/1999,Rook,2,Arizona Cardinals / 2nd / 55th pick / 2022,McBrTr01
12,Colt McCoy,36,QB,4,3,212,6-1,Texas,9/5/1986,12,2,Cleveland Browns / 3rd / 85th pick / 2010,McCoCo00
19,Trace McSorley,27,QB,6,1,202,6-0,Penn St.,8/23/1995,3,1,Baltimore Ravens / 6th / 197th pick / 2019,McSoTr00
4,Rondale Moore,22,WR,8,8,180,5-7,Purdue,6/9/2000,1,3,Arizona Cardinals / 2nd / 49th pick / 2021,MoorRo02
21,Trayvon Mullen,25,CB,8,0,200,6-2,Clemson,9/20/1997,3,0,Oakland Raiders / 2nd / 40th pick / 2019,MullTr00
7,Byron Murphy,24,CB,9,9,190,5-11,Washington,1/18/1998,3,4,Arizona Cardinals / 2nd / 33rd pick / 2019,MurpBy00
1,Kyler Murray,25,QB,11,11,207,5-10,Texas A&MOklahoma,8/7/1997,3,8,Arizona Cardinals / 1st / 1st pick / 2019,MurrKy00
56,Ben Niemann,27,LB,17,9,233,6-2,Iowa,7/27/1995,4,4,,NiemBe00
5,Matt Prater,38,K,13,0,201,5-10,Central Florida,8/10/1984,15,3,,PratMa20
53,Billy Price,28,OL,11,11,308,6-4,Ohio St.,10/11/1994,4,5,Cincinnati Bengals / 1st / 21st pick / 2018,PricBi01
67,Justin Pugh,32,OL,5,5,311,6-5,Syracuse,8/15/1990,9,2,New York Giants / 1st / 19th pick / 2013,PughJu00
41,Myjai Sanders,24,OLB,13,4,255,6-5,Cincinnati,7/12/1998,Rook,2,Arizona Cardinals / 3rd / 100th pick / 2022,SandMy00
9,Isaiah Simmons,24,LB,17,13,238,6-4,Clemson,7/26/1998,2,6,Arizona Cardinals / 1st / 8th pick / 2020,SimmIs00
54,Lecitus Smith,24,OL,10,2,315,6-3,Virginia Tech,7/13/1998,Rook,1,Arizona Cardinals / 6th / 215th pick / 2022,SmitLe01
97,Cameron Thomas,22,OLB,17,0,270,6-5,San Diego St.,1/7/2000,Rook,1,Arizona Cardinals / 3rd / 87th pick / 2022,ThomCa03
32,Josh Thomas,26,S,2,0,205,6-0,Appalachian St.,11/19/1996,2,0,,ThomJo06
22,Deionte Thompson,25,S,3,0,195,6-1,Alabama,2/11/1997,3,0,Arizona Cardinals / 5th / 139th pick / 2019,ThomDe06
34,Jalen Thompson,24,S,17,17,190,5-11,Washington St.,7/18/1998,3,6,Arizona Cardinals / 5th / 1st pick / 2019 Supp,ThomJa04
70,Badara Traore,25,OL,1,0,320,6-7,LSU,3/12/1997,1,0,,TraoBa00
47,Zeke Turner,26,LB,15,1,214,6-2,Washington,6/9/1996,4,1,,TurnZe00
51,Tanner Vallejo,28,LB,17,5,230,6-1,Boise St.,12/16/1994,5,2,Buffalo Bills / 6th / 195th pick / 2017,VallTa00
57,Nick Vigil,29,LB,4,2,230,6-2,Utah St.,8/20/1993,6,1,Cincinnati Bengals / 3rd / 87th pick / 2016,VigiNi00
15,Tristan Vizcaino,26,K,1,0,205,6-2,Washington,7/31/1996,2,0,,VizcTr00
29,Jonathan Ward,25,RB,5,0,202,6-0,Central Michigan,9/30/1997,2,0,,WardJo00
28,Charles Washington,29,S,6,0,192,5-10,Fresno St.,3/10/1993,5,0,,WashCh01
99,J.J. Watt,33,DE,16,16,288,6-5,Central MichiganWisconsin,3/22/1989,11,6,Houston Texans / 1st / 11th pick / 2011,WattJ.00
39,Jace Whittaker,27,CB,6,4,185,5-11,Arizona,7/16/1995,2,1,,WhitJa05
24,Darrel Williams,27,RB,6,0,219,5-11,LSU,4/15/1995,4,1,,WillDa10
87,Maxx Williams,28,TE,11,1,252,6-4,Minnesota,4/12/1994,7,0,Baltimore Ravens / 2nd / 55th pick / 2015,WillMa04
22,Ty'Son Williams,26,RB,1,0,220,6-0,North CarolinaSouth CarolinaBYU,9/4/1996,1,0,,WillTy01
20,Marco Wilson,23,CB,14,13,187,5-11,Florida,3/3/1999,1,5,Arizona Cardinals / 4th / 136th pick / 2021,WilsMa04
84,Javon Wims,28,WR,1,0,221,6-2,Georgia,9/11/1994,4,0,Chicago Bears / 7th / 224th pick / 2018,WimsJa00
92,Antwaun Woods,29,DT,1,0,318,6-1,USC,1/3/1993,6,0,,WoodAn02
,Team Total,27.1,,17,,240.4,6-1.6,,,4.3,,,-9999
