No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
64,Ted Karras,29,C,16,16,305,4-Jun,Illinois,3/15/93,6,9,New England Patriots / 6th / 221st pick / 2016
18,Kwamie Lassiter II,24,WR,1,0,185,11-May,Kansas,1/21/98,Rook,0,
2,Evan McPherson,23,K,16,0,195,10-May,Florida,7/21/99,1,3,Cincinnati Bengals / 5th / 149th pick / 2021
28,Joe Mixon,26,RB,14,14,220,1-Jun,Oklahoma,7/24/96,5,9,Cincinnati Bengals / 2nd / 48th pick / 2017
17,Stanley Morgan Jr.,26,WR,14,0,205,Jun-00,Nebraska,9/7/96,3,0,
58,Joseph Ossai,22,DE,16,0,253,4-Jun,Texas,4/13/00,Rook,3,Cincinnati Bengals / 3rd / 69th pick / 2021
34,Samaje Perine,27,RB,16,2,240,11-May,Oklahoma,9/16/95,5,6,Washington Redskins / 4th / 114th pick / 2017
57,Germaine Pratt,26,LB,15,15,245,2-Jun,North Carolina St.,5/21/96,3,9,Cincinnati Bengals / 3rd / 72nd pick / 2019
98,D.J. Reader,28,DT,10,10,347,3-Jun,Clemson,7/1/94,6,6,Houston Texans / 5th / 166th pick / 2016
96,Cameron Sample,23,DE,16,1,274,3-Jun,Tulane,9/20/99,1,2,Cincinnati Bengals / 4th / 111th pick / 2021
89,Drew Sample,26,TE,2,2,258,4-Jun,Washington,4/16/96,3,0,Cincinnati Bengals / 2nd / 52nd pick / 2019
74,Max Scharping,26,G,14,0,327,6-Jun,Northern Illinois,8/10/96,3,1,Houston Texans / 2nd / 55th pick / 2019
99,Tyler Shelvin,24,DT,2,0,346,3-Jun,LSU,7/22/98,1,0,Cincinnati Bengals / 4th / 122nd pick / 2021
70,D'Ante Smith,24,T,1,0,294,5-Jun,East Carolina,6/9/98,1,0,Cincinnati Bengals / 4th / 139th pick / 2021
11,Trent Taylor,28,WR,16,1,180,8-May,Louisiana Tech,4/30/94,5,1,San Francisco 49ers / 5th / 177th pick / 2017
29,Cam Taylor-Britt,23,CB,10,9,197,Jun-00,Nebraska,10/15/99,Rook,4,Cincinnati Bengals / 2nd / 60th pick / 2022
31,Michael Thomas,32,S,16,0,195,11-May,Stanford,3/17/90,9,1,
80,Mike Thomas,28,WR,10,2,189,1-Jun,Southern Miss,8/16/94,6,0,Los Angeles Rams / 6th / 206th pick / 2016
97,Jay Tufele,23,DT,7,2,305,3-Jun,USC,7/25/99,1,1,Jacksonville Jaguars / 4th / 106th pick / 2021
68,Josh Tupou,28,DT,11,6,345,3-Jun,Colorado,5/2/94,5,4,
67,Cordell Volson,24,G,16,16,313,7-Jun,North Dakota St.,7/20/98,Rook,9,Cincinnati Bengals / 4th / 136th pick / 2022
84,Mitchell Wilcox,26,TE,16,4,247,4-Jun,South Florida,11/7/96,1,1,
73,Jonah Williams,25,T,16,16,305,4-Jun,Alabama,11/17/97,2,11,Cincinnati Bengals / 1st / 11th pick / 2019
32,Trayveon Williams,25,RB,8,0,206,8-May,Texas A&M,10/18/97,3,1,Cincinnati Bengals / 6th / 182nd pick / 2019
55,Logan Wilson,26,LB,15,15,241,2-Jun,Wyoming,7/8/96,2,8,Cincinnati Bengals / 3rd / 65th pick / 2020
,Team Total,26,,16,,246,6-2.1,,,3.1,,
