No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
11,Michael Pittman Jr.,25,WR,16,16,223,4-Jun,USC,10/5/97,2,7,Indianapolis Colts / 2nd / 34th pick / 2020
27,D'Vonte Price,23,RB,1,0,215,,Florida International,6/2/99,Rook,0,
69,Matt Pryor,28,T,16,9,332,7-Jun,TCU,12/16/94,3,4,Philadelphia Eagles / 6th / 206th pick / 2018
79,Bernhard Raimann,25,T,16,11,290,7-Jun,Central Michigan,9/23/97,Rook,5,Indianapolis Colts / 3rd / 77th pick / 2022
46,Luke Rhodes,30,LS,17,0,238,2-Jun,William & Mary,12/2/92,6,1,
47,Forrest Rhyne,23,LB,3,0,233,1-Jun,Villanova,5/29/99,Rook,0,
34,Isaiah Rodgers,24,CB,15,9,170,10-May,Massachusetts,1/7/98,2,4,Indianapolis Colts / 6th / 211th pick / 2020
2,Matt Ryan,37,QB,12,12,217,4-Jun,Boston Col.,5/17/85,14,7,Atlanta Falcons / 1st / 3rd pick / 2008
72,Braden Smith,26,T,16,16,315,6-Jun,Auburn,3/25/96,4,6,Indianapolis Colts / 2nd / 37th pick / 2018
45,E.J. Speed,27,LB,17,5,224,3-Jun,Tarleton St.,6/1/95,3,3,Indianapolis Colts / 5th / 164th pick / 2019
90,Grover Stewart,29,DT,17,17,315,4-Jun,Albany State (GA),10/20/93,5,8,Indianapolis Colts / 4th / 144th pick / 2017
17,Mike Strachan,25,WR,13,0,224,5-Jun,Charleston (WV),8/13/97,1,0,Indianapolis Colts / 7th / 229th pick / 2021
41,Grant Stuard,24,LB,15,0,230,11-May,Houston,10/15/98,1,1,Tampa Bay Buccaneers / 7th / 259th pick / 2021
28,Jonathan Taylor,23,RB,11,11,226,10-May,Wisconsin,1/19/99,2,5,Indianapolis Colts / 2nd / 41st pick / 2020
25,Rodney Thomas II,24,DB,17,10,200,2-Jun,Yale,6/26/98,Rook,4,Indianapolis Colts / 7th / 239th pick / 2022
29,Jordan Wilkins,28,RB,4,0,216,1-Jun,Mississippi,7/18/94,4,0,Indianapolis Colts / 5th / 169th pick / 2018
66,Chris Williams,24,DT,5,0,302,2-Jun,Wagner,6/16/98,1,0,
80,Jelani Woods,24,TE,15,2,265,7-Jun,"Oklahoma St.,Virginia",10/9/98,Rook,2,Indianapolis Colts / 3rd / 73rd pick / 2022
,Team Total,25.9,,17,,238.2,6-2.0,,,2.9,,
