No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
70,Robert Hainsey,24,OL,17,17,306,6-4,Notre Dame,8/12/1998,1,6,Tampa Bay Buccaneers / 3rd / 95th pick / 2021,HainRo00
90,Logan Hall,22,DL,17,0,283,6-6,Houston,4/22/2000,Rook,2,Tampa Bay Buccaneers / 2nd / 33rd pick / 2022,HallLo00
96,Akiem Hicks,33,DL,11,11,335,6-4,Regina,11/16/1989,10,5,New Orleans Saints / 3rd / 89th pick / 2012,HickAk00
66,Ryan Jensen,31,C,0,0,319,6-4,Colorado State-Pueblo,5/27/1991,8,0,Baltimore Ravens / 6th / 203rd pick / 2013,JensRy00
74,Fred Johnson,25,OL,5,0,326,6-7,Florida,6/5/1997,3,0,,JohnFr01
6,Julio Jones,33,WR,10,5,220,6-3,Alabama,2/8/1989,11,2,Atlanta Falcons / 1st / 6th pick / 2011,JoneJu02
41,Ko Kieft,24,TE,17,12,265,6-5,Minnesota,1/20/1998,Rook,1,Tampa Bay Buccaneers / 6th / 218th pick / 2022,KiefKo00
60,Nick Leverett,25,G,11,10,310,6-4,Rice,1/11/1997,1,4,,LeveNi00
69,Shaq Mason,29,G,17,17,310,6-1,Georgia Tech,8/28/1993,7,6,New England Patriots / 4th / 131st pick / 2015,MasoSh01
27,Zyon McCollum,23,CB,13,3,200,6-2,Sam Houston St.,5/3/1999,Rook,2,Tampa Bay Buccaneers / 5th / 157th pick / 2022,McCoZy02
10,Scott Miller,25,WR,15,1,174,5-9,Bowling Green,7/31/1997,3,1,Tampa Bay Buccaneers / 6th / 208th pick / 2019,MillSc01
75,John Molchon,25,G,1,0,309,6-5,Boise St.,2/2/1997,Rook,0,,MolcJo01
23,Sean Murphy-Bunting,25,CB,12,5,195,6-0,Central Michigan,6/19/1997,3,3,Tampa Bay Buccaneers / 2nd / 39th pick / 2019,BuntSe00
93,Carl Nassib,29,OLB,13,1,275,6-7,Penn St.,4/12/1993,6,2,Cleveland Browns / 3rd / 65th pick / 2016,NassCa00
22,Keanu Neal,27,S,17,8,211,6-0,Florida,7/26/1995,6,4,Atlanta Falcons / 1st / 17th pick / 2016,NealKe01
98,Anthony Nelson,25,OLB,17,8,271,6-7,Iowa,3/4/1997,3,5,Tampa Bay Buccaneers / 4th / 107th pick / 2019,NelsAn01
56,Rakeem Nunez-Roches,29,DL,17,10,307,6-2,Southern Miss,7/3/1993,7,6,Kansas City Chiefs / 6th / 217th pick / 2015,NuneRa00
79,Pat O'Connor,29,DL,17,0,270,6-4,East. Michigan,11/1/1993,5,1,Detroit Lions / 7th / 250th pick / 2017,OConPa00
44,Ifeadi Odenigbo,28,DE,1,0,258,6-3,Northwestern,4/8/1994,4,0,Minnesota Vikings / 7th / 220th pick / 2017,OdenIf00
88,Cade Otton,23,TE,16,11,250,6-5,Washington,4/15/1999,Rook,3,Tampa Bay Buccaneers / 4th / 106th pick / 2022,OttoCa00
16,Breshad Perriman,29,WR,11,3,210,6-1,Central Florida,9/10/1993,6,1,Baltimore Ravens / 1st / 26th pick / 2015,PerrBr02
8,Kyle Rudolph,33,TE,9,0,265,6-6,Notre Dame,11/9/1989,11,0,Minnesota Vikings / 2nd / 43rd pick / 2011,RudoKy00
51,J.J. Russell,24,LB,6,0,225,6-1,Memphis,10/12/1998,Rook,0,,RussJJ00
26,Logan Ryan,31,S,9,6,195,5-11,Rutgers,2/9/1991,9,3,New England Patriots / 3rd / 83rd pick / 2013,RyanLo00
95,Deadrin Senat,28,DT,12,0,305,6-1,South Florida,7/22/1994,4,1,Atlanta Falcons / 3rd / 90th pick / 2018,SenaDe00
77,Justin Skule,26,OL,1,0,318,6-6,Vanderbilt,11/23/1996,3,0,San Francisco 49ers / 6th / 183rd pick / 2019,SkulJu00
76,Donovan Smith,29,T,13,13,338,6-6,Penn St.,6/23/1993,7,6,Tampa Bay Buccaneers / 2nd / 34th pick / 2015,SmitDo02
33,Ryan Smith,29,CB,1,0,190,5-11,North Carolina Central,9/7/1993,6,0,Tampa Bay Buccaneers / 4th / 108th pick / 2016,SmitRy00
3,Ryan Succop,36,K,17,0,218,6-2,South Carolina,9/19/1986,13,2,Kansas City Chiefs / 7th / 256th pick / 2009,SuccRy44
83,Deven Thompkins,23,WR,5,1,155,,Utah St.,12/23/1999,Rook,0,,ThomDe07
2,Kyle Trask,24,QB,1,0,236,6-5,Florida,3/6/1998,Rook,0,Tampa Bay Buccaneers / 2nd / 64th pick / 2021,TrasKy00
97,Zach Triner,31,LS,17,0,245,6-3,Assumption,1/30/1991,3,1,,TrinZa00
9,Joe Tryon-Shoyinka,23,OLB,17,16,259,6-5,Washington,4/30/1999,1,8,Tampa Bay Buccaneers / 1st / 32nd pick / 2021,TryoJo00
34,Nolan Turner,25,S,5,0,205,6-1,Clemson,11/29/1997,Rook,0,,TurnNo00
21,Ke'Shawn Vaughn,25,RB,15,0,214,5-10,IllinoisVanderbilt,5/4/1997,2,0,Tampa Bay Buccaneers / 3rd / 76th pick / 2020,VaugKe00
50,Vita Vea,27,DL,14,14,347,6-4,Washington,2/5/1995,4,8,Tampa Bay Buccaneers / 1st / 12th pick / 2018,VeaxVi00
73,Brandon Walton,24,T,11,2,300,6-5,Florida Atlantic,3/18/1998,Rook,1,,WaltBr01
72,Josh Wells,31,T,11,7,306,6-6,James Madison,2/14/1991,8,3,,WellJo02
45,Devin White,24,LB,17,17,237,6-0,LSU,2/17/1998,3,10,Tampa Bay Buccaneers / 1st / 5th pick / 2019,WhitDe02
1,Rachaad White,23,RB,17,8,214,6-0,Nebraska-KearneyMount San Antonio JCArizona St.,1/12/1999,Rook,4,Tampa Bay Buccaneers / 3rd / 91st pick / 2022,WhitRa01
31,Antoine Winfield Jr.,24,S,13,13,203,5-9,Minnesota,8/16/1998,2,5,Tampa Bay Buccaneers / 2nd / 45th pick / 2020,WinfAn00
78,Tristan Wirfs,23,T,13,13,320,6-5,Iowa,1/24/1999,2,9,Tampa Bay Buccaneers / 1st / 13th pick / 2020,WirfTr00
33,Kenny Young,28,LB,4,0,234,6-1,UCLA,11/15/1994,4,0,Baltimore Ravens / 4th / 122nd pick / 2018,YounKe03
,Team Total,27.2,,17,,243.5,6-2.1,,,4.3,,,-9999
