Year,Team,Net EPA
2013,Bears,0
2013,Texans ,-0.13
2013,Broncos,0.21
2013,49ers,0.09
2013,Seahawks,0.22
2013,Patriots,0.02
2013,Falcons,-0.1
2013,Packers,-0.04
2013,Bengals,0.14
2013,Steelers,-0.01
2013,Chargers,0.05
2013,Ravens,-0.09
2013,Jets,-0.1
2013,Rams,-0.05
2013,Browns,-0.06
2013,Vikings,-0.11
2013,Panthers,0.15
2013,Dolphins,-0.06
2013,Lions,0.03
2013,Buccaneers,-0.1
2013,Commanders,-0.09
2013,Cowboys,0
2013,Giants,-0.09
2013,Titans,0.03
2013,Saints,0.16
2013,Eagles,0.11
2013,Colts,0.02
2013,Raiders,-0.13
2013,Jaguars,-0.24
2013,Chiefs ,0.07
2013,Bills,0.02
2014,Cardinals,0.01
2014,Bears,-0.15
2014,Texans ,0.11
2014,Broncos,0.18
2014,49ers,-0.03
2014,Seahawks,0.21
2014,Patriots,0.11
2014,Falcons,-0.05
2014,Packers,0.17
2014,Bengals,0.01
2014,Steelers,0.05
2014,Chargers,0.02
2014,Ravens,0.07
2014,Jets,-0.12
2014,Rams,-0.05
2014,Browns,-0.02
2014,Vikings,-0.04
2014,Panthers,-0.01
2014,Dolphins,0.01
2014,Lions,0.1
2014,Buccaneers,-0.12
2014,Commanders,-0.16
2014,Cowboys,0.13
2014,Giants,-0.02
2014,Titans,-0.16
2014,Saints,-0.04
2014,Eagles,0
2014,Colts,0.08
2014,Raiders,-0.21
2014,Jaguars,-0.19
2014,Chiefs ,0.05
2014,Bills,0.05
2015,Cardinals,0.22
2015,Bears,-0.07
2015,Texans ,0.06
2015,Broncos,0.1
2015,49ers,-0.15
2015,Seahawks,0.19
2015,Patriots,0.16
2015,Falcons,0
2015,Packers,0.02
2015,Bengals,0.12
2015,Steelers,0.08
2015,Chargers,-0.06
2015,Ravens,-0.08
2015,Jets,0.12
2015,Rams,-0.08
2015,Browns,-0.14
2015,Vikings,0.04
2015,Panthers,0.21
2015,Dolphins,-0.1
2015,Lions,-0.05
2015,Buccaneers,-0.03
2015,Commanders,0.01
2015,Cowboys,-0.12
2015,Giants,-0.05
2015,Titans,-0.16
2015,Saints,-0.08
2015,Eagles,-0.07
2015,Colts,-0.11
2015,Raiders,-0.03
2015,Jaguars,-0.09
2015,Chiefs ,0.12
2015,Bills,0.02
2016,Cardinals,0.1
2016,Falcons,0.12
2016,Ravens,-0.01
2016,Bills,0.03
2016,Panthers,-0.05
2016,Bears,-0.11
2016,Bengals,0.04
2016,Browns,-0.21
2016,Cowboys,0.12
2016,Broncos,0.06
2016,Lions,-0.06
2016,Packers,0.07
2016,Texans ,-0.02
2016,Colts,-0.05
2016,Jaguars,-0.04
2016,Chiefs ,0.05
2016,Chargers,0.02
2016,Rams,-0.24
2016,Dolphins,-0.01
2016,Vikings,0.06
2016,Patriots,0.17
2016,Saints,0.02
2016,Giants,0.02
2016,Jets,-0.11
2016,Raiders,-0.01
2016,Eagles,0.04
2016,Steelers,0.08
2016,Seahawks,0.07
2016,49ers,-0.15
2016,Buccaneers,0.01
2016,Titans,0
2016,Commanders,0.02
2017,Browns,-0.16
2017,Raiders,-0.13
2017,Giants,-0.14
2017,Cowboys,0
2017,Panthers,0.03
2017,Titans,-0.05
2017,Patriots,0.09
2017,Jaguars,0.2
2017,Bears,-0.07
2017,Saints,0.14
2017,Colts,-0.18
2017,Texans ,-0.08
2017,Steelers,0.09
2017,Dolphins,-0.15
2017,Seahawks,0.06
2017,Cardinals,-0.06
2017,Broncos,-0.01
2017,Bengals,-0.08
2017,Jets,-0.09
2017,Bills,-0.07
2017,Commanders,-0.03
2017,49ers,-0.04
2017,Packers,-0.06
2017,Ravens,0.07
2017,Lions,0.02
2017,Buccaneers,-0.04
2017,Vikings,0.15
2017,Eagles,0.16
2017,Rams,0.14
2017,Falcons,0.06
2017,Chargers,0.15
2017,Chiefs ,0.08
2018,Chiefs,0.2
2018,Rams,0.15
2018,Saints,0.13
2018,Seahawks,0.1
2018,Chargers,0.14
2018,Steelers,0.07
2018,Patriots,0.11
2018,Colts,0.11
2018,Bears,0.17
2018,Ravens,0.11
2018,Texans,0.08
2018,Cowboys,0.05
2018,Eagles,0.01
2018,Packers,0
2018,Panthers,0.01
2018,Falcons,-0.03
2018,Vikings,0.03
2018,Titans,-0.04
2018,Broncos,-0.01
2018,Browns,-0.03
2018,Lions,-0.06
2018,Giants,-0.04
2018,Buccaneers,-0.06
2018,Bills,-0.05
2018,Jaguars,-0.1
2018,Commanders,-0.09
2018,49ers,-0.09
2018,Bengals,-0.12
2018,Jets,-0.15
2018,Dolphins,-0.15
2018,Raiders,-0.2
2018,Cardinals,-0.27
2019,Ravens,0.292
2019,Chiefs,0.133
2019,Patriots,0.227
2019,Saints,0.12
2019,49ers,0.216
2019,Cowboys,0.137
2019,Vikings,0.123
2019,Seahawks,-0.001
2019,Titans,0.084
2019,Packers,0.089
2019,Eagles,0.035
2019,Rams,0.04
2019,Bills,0.061
2019,Buccaneers,0.072
2019,Bears,-0.032
2019,Colts,0.009
2019,Falcons,-0.03
2019,Steelers,-0.014
2019,Texans,-0.002
2019,Cardinals,-0.081
2019,Chargers,0
2019,Broncos,-0.053
2019,Browns,-0.076
2019,Raiders,-0.081
2019,Lions,-0.11
2019,Jets,-0.133
2019,Giants,-0.137
2019,Jaguars,-0.125
2019,Bengals,-0.193
2019,Commanders,-0.213
2019,Panthers,-0.146
2019,Dolphins,-0.201
2020,Saints,0.14
2020,Buccaneers,0.186
2020,Packers,0.195
2020,Bills,0.134
2020,Seahawks,0.06
2020,Chiefs,0.112
2020,Ravens,0.137
2020,Steelers,0.141
2020,Rams,0.151
2020,Colts,0.092
2020,49ers,0.025
2020,Dolphins,0.049
2020,Cardinals,0.018
2020,Titans,0.058
2020,Bears,-0.032
2020,Commanders,0.033
2020,Falcons,-0.029
2020,Browns,0.01
2020,Raiders,-0.071
2020,Vikings,-0.006
2020,Panthers,-0.068
2020,Patriots,-0.071
2020,Cowboys,-0.101
2020,Texans,-0.075
2020,Giants,-0.093
2020,Chargers,0.015
2020,Lions,-0.191
2020,Eagles,-0.08
2020,Broncos,-0.112
2020,Bengals,-0.139
2020,Jaguars,-0.217
2020,Jets,-0.222
2021,Cowboys,0.173
2021,Bills,0.202
2021,Buccaneers,0.205
2021,Patriots,0.133
2021,Rams,0.107
2021,49ers,0.081
2021,Chiefs,0.102
2021,Seahawks,0.018
2021,Packers,0.116
2021,Cardinals,0.141
2021,Colts,0.06
2021,Chargers,0.044
2021,Browns,-0.005
2021,Saints,0.038
2021,Eagles,0.052
2021,Vikings,0.022
2021,Bengals,0.077
2021,Broncos,0.016
2021,Ravens,-0.069
2021,Titans,0.043
2021,Raiders,-0.062
2021,Commanders,-0.116
2021,Bears,-0.119
2021,Steelers,-0.057
2021,Dolphins,-0.019
2021,Jets,-0.211
2021,Panthers,-0.101
2021,Texans,-0.211
2021,Lions,-0.163
2021,Falcons,-0.156
2021,Giants,-0.169
2021,Jaguars,-0.19
2022,Bills,0.156
2022,49ers,0.196
2022,Eagles,0.163
2022,Chiefs,0.18
2022,Bengals,0.124
2022,Cowboys,0.118
2022,Ravens,0.006
2022,Dolphins,0.032
2022,Lions,-0.011
2022,Seahawks,-0.019
2022,Browns,-0.016
2022,Packers,-0.014
2022,Jaguars,0.065
2022,Steelers,-0.009
2022,Patriots,0.038
2022,Jets,-0.041
2022,Buccaneers,-0.004
2022,Chargers,-0.005
2022,Saints,-0.002
2022,Falcons,-0.061
2022,Giants,-0.013
2022,Commanders,-0.007
2022,Titans,-0.081
2022,Rams,-0.098
2022,Broncos,-0.036
2022,Raiders,-0.059
2022,Vikings,-0.001
2022,Panthers,-0.046
2022,Cardinals,-0.094
2022,Bears,-0.162
2022,Texans,-0.177
2022,Colts,-0.136
2023,Cardinals,-0.18
2023,Commanders,-0.21
2023,Panthers,-0.17
2023,Giants,-0.15
2023,Jets,-0.12
2023,Patriots,-0.12
2023,Raiders,-0.05
2023,Falcons,-0.04
2023,Steelers,-0.03
2023,Jaguars,-0.04
2023,Chargers,-0.08
2023,Titans,-0.07
2023,Broncos,-0.07
2023,Browns,0.05
2023,Vikings,-0.02
2023,Bengals,-0.04
2023,Bears,0
2023,Buccaneers,-0.01
2023,Colts,-0.01
2023,Seahawks,-0.04
2023,Texans,0.02
2023,Eagles,0
2023,Rams,0.04
2023,Packers,0.05
2023,Saints,0.08
2023,Chiefs,0.1
2023,Lions,0.09
2023,Dolphins,0.13
2023,Ravens,0.21
2023,Cowboys,0.21
2023,Bills,0.19
2023,49ers,0.26
2024,Ravens,0.269860976
2024,Eagles,0.2151322403
2024,Lions,0.2197285648
2024,Bills,0.1922816216
2024,Chiefs,0.0383547092
2024,Bengals,0.04236154557
2024,Packers,0.1652537339
2024,Chargers,0.08650381147
2024,Broncos,0.1355160561
2024,Vikings,0.111098585
2024,Buccaneers,0.1051836178
2024,Rams,-0.04232456626
2024,Seahawks,-0.01655071719
2024,Commanders,0.1328873341
2024,Cardinals,0.01573369863
2024,Steelers,-0.01722587637
2024,Texans,0.0006868162663
2024,Falcons,-0.03880498761
2024,Jets,-0.02455557428
2024,Bears,-0.08766408568
2024,Dolphins,-0.03099899621
2024,Colts,-0.06411872932
2024,49ers,0.02174647007
2024,Cowboys,-0.1874393508
2024,Titans,-0.1290081858
2024,Jaguars,-0.155612123
2024,Raiders,-0.1373166516
2024,Panthers,-0.2237786502
2024,Browns,-0.1797469028
2024,Giants,-0.1729829461
2024,Patriots,-0.1598290139
2024,Saints,-0.08437242371
