team,player_id_x,adjusted_value,Team,Net EPA,Win %,Player,Position,Cap_Space,year,merge_player_x,fuzzy_matched_player,final_player_name,Unnamed: 0,player,team_name,position,snap_counts_defense,player_id_y,player_game_count,assists,batted_passes,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,missed_tackle_rate,missed_tackles,penalties,qb_rating_against,sacks,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,stops,tackles,tackles_for_loss,total_pressures,Year,weighted_grade,weighted_average_grade,merge_player_y
Chiefs,00-0027236,0.0,Chiefs,0.07,64.70%,Kyle Love,DT,0.0599660194174757,2013.0,kyle love,kyle love,kyle love,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packers,00-0029257,209.52192215027895,Packers,-0.04,50.00%,Jerel Worthy,DT,0.7259862459546925,2013.0,jerel worthy,jerel worthy,jerel worthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raiders,00-0029627,53.8809301755788,Raiders,-0.13,25.00%,Jack Crawford,DT,0.425247572815534,2013.0,jack crawford,jack crawford,jack crawford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravens,00-0029252,271.3483692060087,Ravens,-0.09,50.00%,Courtney Upshaw,DT,0.9739441747572816,2013.0,courtney upshaw,,courtney upshaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steelers,00-0027008,211.31112268414896,Steelers,-0.01,50.00%,Evander Hood,DT,2.4196423948220063,2013.0,evander hood,,evander hood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bengals,00-0030449,202.91037896646324,Bengals,0.01,62.50%,Margus Hunt,DT,0.6273240601503759,2014.0,margus hunt,margus hunt,margus hunt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chargers,00-0030148,0.0,Chargers,0.02,56.30%,Damion Square,DT,0.1751436090225563,2014.0,damion square,damion square,damion square,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commanders,00-0031006,0.0,Commanders,-0.16,25.00%,Robert Thomas,DT,0.061578947368421,2014.0,robert thomas,robert thomas,robert thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packers,00-0030892,0.0,Packers,0.17,72.20%,Bruce Gaston,DT,0.0743037593984962,2014.0,bruce gaston,bruce gaston,bruce gaston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panthers,00-0028860,0.0,Panthers,-0.01,47.10%,Micanor Regis,DT,0.0094736842105263,2014.0,micanor regis,,micanor regis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rams,00-0028878,0.0,Rams,-0.05,37.50%,Matt Conrath,DT,0.0710526315789473,2014.0,matt conrath,matt conrath,matt conrath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravens,00-0029252,245.5261577806332,Ravens,0.07,61.10%,Courtney Upshaw,DT,1.086130827067669,2014.0,courtney upshaw,,courtney upshaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texans,00-0031049,146.3557022060384,Texans,0.11,56.30%,Louis Nix,DT,0.3514736842105263,2014.0,louis nix,louis nix,louis nix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vikings,00-0027603,70.155064154693,Vikings,-0.04,43.80%,Corey Wootton,DT,1.2781954887218046,2014.0,corey wootton,corey wootton,corey wootton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bears,00-0032020,0.0,Bears,-0.07,37.50%,Terry Williams,DT,0.01785873813512,2015.0,terry williams,corey williams,corey williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bengals,00-0030449,183.60090339671268,Bengals,0.12,70.60%,Margus Hunt,DT,0.6987779173646008,2015.0,margus hunt,margus hunt,margus hunt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bengals,00-0032169,77.50214835374705,Bengals,0.12,70.60%,Marcus Hardison,DT,0.3639189000558347,2015.0,marcus hardison,marcus harrison,marcus harrison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardinals,00-0030883,0.0,Cardinals,0.22,77.80%,Josh Mauro,DT,0.3559463986599664,2015.0,josh mauro,josh mauro,josh mauro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colts,00-0030775,0.0,Colts,-0.11,50.00%,Kelcy Quarles,DT,0.03571747627024,2015.0,kelcy quarles,kelcy quarles,kelcy quarles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolphins,00-0029111,0.0,Dolphins,-0.1,37.50%,Derrick Shelby,DT,1.6443327749860417,2015.0,derrick shelby,derrick shelby,derrick shelby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rams,00-0031820,0.0,Rams,-0.08,43.80%,Louis Trinca-Pasat,DT,0.0535762144053601,2015.0,louis trincapasat,,louis trincapasat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravens,00-0029252,222.1612546665178,Ravens,-0.08,31.30%,Courtney Upshaw,DT,1.1762374371859297,2015.0,courtney upshaw,,courtney upshaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Titans,00-0032044,0.0,Titans,-0.16,18.80%,J.R. Tavai,DT,0.0714349525404801,2015.0,jr tavai,,jr tavai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bears,00-0031043,189.58327506038972,Bears,-0.11,18.80%,Ego Ferguson,DT,0.7100521671926322,2016.0,ego ferguson,ego ferguson,ego ferguson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bengals,00-0030449,166.12896737855115,Bengals,0.04,40.00%,Margus Hunt,DT,0.7522876280028338,2016.0,margus hunt,margus hunt,margus hunt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bengals,00-0033066,89.16640637281117,Bengals,0.04,40.00%,Andrew Billings,DT,0.3007412893669092,2016.0,andrew billings,andrew billings,andrew billings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bengals,00-0029684,85.88060331419265,Bengals,0.04,40.00%,Brandon Thompson,DT,0.465526502221936,2016.0,brandon thompson,brandon thompson,brandon thompson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bengals,00-0032169,70.12684380864437,Bengals,0.04,40.00%,Marcus Hardison,DT,0.2797855348747343,2016.0,marcus hardison,marcus harrison,marcus harrison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Browns,00-0031537,MISSING,Browns,-0.21,6.30%,Dylan Wynn,DT,0.2144651252656662,2016.0,dylan wynn,,dylan wynn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Browns,00-0032988,MISSING,Browns,-0.21,6.30%,Nile Lawrence-Stample,DT,0.2144651252656662,2016.0,nile lawrencestample,,nile lawrencestample,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardinals,00-0030883,0.0,Cardinals,0.1,46.70%,Josh Mauro,DT,0.3864236491273266,2016.0,josh mauro,josh mauro,josh mauro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardinals,00-0031914,0.0,Cardinals,0.1,46.70%,Olsen Pierre,DT,0.2898177368454949,2016.0,olsen pierre,olsen pierre,olsen pierre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chargers,00-0032031,0.0,Chargers,0.02,31.30%,Kaleb Eulls,DT,0.0596676756617505,2016.0,kaleb eulls,kaleb eulls,kaleb eulls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chargers,00-0027826,MISSING,Chargers,0.02,31.30%,Sean Lissemore,DT,1.1270689766213693,2016.0,sean lissemore,sean lissemore,sean lissemore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chargers,00-0031693,MISSING,Chargers,0.02,31.30%,Chuka Ndule,DT,0.0133316158948927,2016.0,chuka ndule,,chuka ndule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chargers,00-0033168,MISSING,Chargers,0.02,31.30%,Zamir Carlis,DT,0.2144651252656662,2016.0,zamir carlis,,zamir carlis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falcons,00-0029252,201.01981606008124,Falcons,0.12,68.40%,Courtney Upshaw,DT,0.9016551812970954,2016.0,courtney upshaw,,courtney upshaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falcons,00-0032591,MISSING,Falcons,0.12,68.40%,Chris Mayes,DT,0.2160752238036968,2016.0,chris mayes,chris canty,chris canty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaguars,00-0032154,39.9469885772874,Jaguars,-0.04,18.80%,Michael Bennett,DT,0.2464571391769176,2016.0,michael bennett,michael bennett,michael bennett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jets,00-0030573,359.6817189495466,Jets,-0.11,31.30%,Sheldon Richardson,DT,1.9929992915566432,2016.0,sheldon richardson,sheldon richardson,sheldon richardson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panthers,00-0029099,MISSING,Panthers,-0.05,37.50%,Chas Alecxih,DT,0.21993946029497,2016.0,chas alecxih,,chas alecxih,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rams,00-0031820,0.0,Rams,-0.24,25.00%,Louis Trinca-Pasat,DT,0.2241257164938494,2016.0,louis trincapasat,,louis trincapasat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravens,00-0031938,120.35757163947304,Ravens,-0.01,50.00%,Carl Davis,DT,0.4489089972306305,2016.0,carl davis,carl davis,carl davis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravens,00-0032409,79.87969551747261,Ravens,-0.01,50.00%,Willie Henry,DT,0.3515476267147549,2016.0,willie henry,willie henry,willie henry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saints,00-0032886,MISSING,Saints,0.02,43.80%,D.J. Pettway,DT,0.2155380949314098,2016.0,dj pettway,,dj pettway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seahawks,00-0031636,0.0,Seahawks,0.07,64.70%,Justin Hamilton,DT,0.0488825916146068,2016.0,justin hamilton,justin hamilton,justin hamilton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steelers,00-0032529,0.0,Steelers,0.08,68.40%,Johnny Maxey,DT,0.0340954466413344,2016.0,johnny maxey,,johnny maxey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texans,00-0031926,MISSING,Texans,-0.02,55.60%,Dan Pettinato,DT,0.0577703355445353,2016.0,dan pettinato,,dan pettinato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Titans,00-0032044,0.0,Titans,0.0,56.30%,J.R. Tavai,DT,0.017775487859857,2016.0,jr tavai,,jr tavai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49ers,00-0030106,0.0,49ers,-0.04,37.50%,Chris Jones,DT,0.3982035928143712,2017.0,chris jones,chris jones,chris jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49ers,00-0025942,0.0,49ers,-0.04,37.50%,Leger Douzable,DT,0.2382850299401197,2017.0,leger douzable,leger douzable,leger douzable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buccaneers,00-0033971,0.0,Buccaneers,-0.04,31.30%,Stevie Tu'ikolovatu,DT,0.222025748502994,2017.0,stevie tuikolovatu,,stevie tuikolovatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chargers,00-0033588,20.004296622613804,Chargers,0.15,56.30%,Isaac Rochell,DT,0.0491371257485029,2017.0,isaac rochell,,isaac rochell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chargers,00-0032031,0.0,Chargers,0.15,56.30%,Kaleb Eulls,DT,0.2263473053892215,2017.0,kaleb eulls,kaleb eulls,kaleb eulls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chargers,00-0030921,0.0,Chargers,0.15,56.30%,Tenny Palepoi,DT,0.3466005988023952,2017.0,tenny palepoi,tenny palepoi,tenny palepoi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commanders,00-0027959,0.0,Commanders,-0.03,43.80%,Phil Taylor,DT,0.2263473053892215,2017.0,phil taylor,phil taylor,phil taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eagles,00-0032981,0.0,Eagles,0.16,84.20%,Aziz Shittu,DT,0.21062874251497,2017.0,aziz shittu,,aziz shittu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falcons,00-0029252,148.91914245539562,Falcons,0.06,61.10%,Courtney Upshaw,DT,0.6773952095808383,2017.0,courtney upshaw,,courtney upshaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falcons,00-0029111,0.0,Falcons,0.06,61.10%,Derrick Shelby,DT,2.5449101796407185,2017.0,derrick shelby,derrick shelby,derrick shelby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giants,00-0033711,0.0,Giants,-0.14,18.80%,Josh Banks,DT,0.2088820359281437,2017.0,josh banks,,josh banks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jets,00-0031620,17.86736108248169,Jets,-0.09,31.30%,Deon Simon,DT,0.0216622754491018,2017.0,deon simon,deon simon,deon simon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lions,00-0030072,0.0,Lions,0.02,56.30%,Jordan Hill,DT,0.2502994011976048,2017.0,jordan hill,jordan hill,jordan hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patriots,00-0032396,0.0,Patriots,0.09,79.00%,Vincent Valentine,DT,0.3354365269461077,2017.0,vincent valentine,vincent valentine,vincent valentine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rams,00-0031425,0.0,Rams,0.14,64.70%,Dominique Easley,DT,1.0760479041916169,2017.0,dominique easley,dominique easley,dominique easley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravens,00-0033376,0.0,Ravens,0.07,56.30%,Patrick Ricard,DT,0.279740119760479,2017.0,patrick ricard,patrick ricard,patrick ricard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saints,00-0033501,0.0,Saints,0.14,66.70%,Devaroe Lawrence,DT,0.2086826347305389,2017.0,devaroe lawrence,devaroe lawrence,devaroe lawrence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saints,00-0027951,0.0,Saints,0.14,66.70%,Nick Fairley,DT,1.1976047904191618,2017.0,nick fairley,nick fairley,nick fairley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seahawks,00-0034019,0.0,Seahawks,0.06,56.30%,Malik McDowell,DT,0.5297155688622754,2017.0,malik mcdowell,malik mcdowell,malik mcdowell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vikings,00-0030574,0.0,Vikings,0.15,77.80%,Sharrif Floyd,DT,1.1394011976047904,2017.0,sharrif floyd,sharrif floyd,sharrif floyd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49ers,00-0034283,21.823244107186813,49ers,-0.09,25.00%,Jullian Taylor,DT,0.2847121896162528,2018.0,jullian taylor,jullian taylor,jullian taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buccaneers,00-0033971,0.0,Buccaneers,-0.06,31.30%,Stevie Tu'ikolovatu,DT,0.2177104966139955,2018.0,stevie tuikolovatu,,stevie tuikolovatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chargers,00-0033588,18.100636105631335,Chargers,0.14,72.20%,Isaac Rochell,DT,0.3132054176072235,2018.0,isaac rochell,,isaac rochell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolphins,00-0034434,16.449906020558004,Dolphins,-0.15,43.80%,Kendrick Norton,DT,0.0318679458239277,2018.0,kendrick norton,kedric golston,kedric golston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giants,00-0031866,0.0,Giants,-0.04,31.30%,Jordan Williams,DT,0.2133182844243792,2018.0,jordan williams,jordan williams,jordan williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raiders,00-0031336,134.54580845547858,Raiders,-0.2,25.00%,Kony Ealy,DT,0.1048995485327313,2018.0,kony ealy,,kony ealy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raiders,00-0024306,8.01885664521731,Raiders,-0.2,25.00%,Frostee Rucker,DT,0.3696388261851016,2018.0,frostee rucker,frostee rucker,frostee rucker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raiders,00-0033924,0.0,Raiders,-0.2,25.00%,Eddie Vanderdoes,DT,0.4397872460496613,2018.0,eddie vanderdoes,eddie vanderdoes,eddie vanderdoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
