team,player_id_x,adjusted_value,Team,Net EPA,Win %,Player,Position,Cap_Space,year,merge_player_x,fuzzy_matched_player,final_player_name,Unnamed: 0,player,team_name,position,snap_counts_defense,player_id_y,player_game_count,assists,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_tackle,interceptions,interception_touchdowns,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_fs,snap_counts_box,snap_counts_coverage,snap_counts_slot,stops,tackles,tackles_for_loss,targets,touchdowns,yards,Year,weighted_grade,weighted_average_grade,merge_player_y
Browns,00-0022247,0.0,Browns,-0.12,31.30%,Mike Adams,FS/S,1.4932252032520326,2010.0,mike adams,mike adams,mike adams,28.0,Mike Adams,CLV,S,306.0,1972.0,15.0,2.0,0.0,0.0,8.0,0.0,56.3,61.0,85.0,74.6,2.0,0.0,8.6,3.0,3.0,0.0,96.0,29.0,18.0,119.0,234.0,141.0,10.0,30.0,0.0,40.0,3.0,282.0,2010.0,18666.0,MISSING,mike adams
Cardinals,00-0027067,113.13276924865391,Cardinals,-0.21,31.30%,Rashad Johnson,FS/S,0.4536585365853658,2010.0,rashad johnson,rashad johnson,rashad johnson,113.0,Rashad Johnson,ARZ,S,376.0,5018.0,16.0,4.0,0.0,1.0,1.0,0.0,70.6,72.1,80.3,70.1,1.0,0.0,9.7,3.0,5.0,0.0,65.8,9.0,318.0,43.0,279.0,13.0,2.0,24.0,0.0,17.0,1.0,100.0,2010.0,27109.6,MISSING,rashad johnson
Chargers,00-0025424,214.73185256050547,Chargers,0.24,56.30%,Eric Weddle,FS/S,0.8150406504065041,2010.0,eric weddle,eric weddle,eric weddle,72.0,Eric Weddle,SD,S,957.0,3653.0,16.0,13.0,0.0,0.0,27.0,0.0,73.5,83.7,84.5,70.3,2.0,1.0,11.9,13.0,8.0,0.0,80.2,19.0,732.0,186.0,548.0,37.0,25.0,83.0,5.0,31.0,2.0,241.0,2010.0,80100.90000000001,MISSING,eric weddle
Chargers,00-0027710,103.53375634267866,Chargers,0.24,56.30%,Darrell Stuckey,FS/S,0.3630081300813008,2010.0,darrell stuckey,darrell stuckey,darrell stuckey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiefs,00-0027858,665.4499784064576,Chiefs,0.05,58.80%,Eric Berry,SS/S,3.3796747967479677,2010.0,eric berry,eric berry,eric berry,129.0,Eric Berry,KC,S,1145.0,5530.0,17.0,7.0,0.0,1.0,16.0,0.0,56.5,68.8,86.8,68.7,4.0,1.0,10.9,11.0,9.0,2.0,96.1,36.0,691.0,344.0,673.0,94.0,29.0,83.0,4.0,60.0,7.0,474.0,2010.0,78776.0,MISSING,eric berry
Chiefs,00-0027736,76.34256888458827,Chiefs,0.05,58.80%,Kendrick Lewis,FS/S,0.3022154471544716,2010.0,kendrick lewis,kendrick lewis,kendrick lewis,138.0,Kendrick Lewis,KC,S,848.0,5659.0,13.0,4.0,0.0,2.0,16.0,0.0,61.2,63.2,54.9,43.6,3.0,0.0,20.0,8.0,3.0,1.0,64.7,8.0,824.0,18.0,540.0,6.0,4.0,28.0,0.0,19.0,2.0,146.0,2010.0,53593.600000000006,MISSING,kendrick lewis
Colts,00-0024421,19.194969572272385,Colts,0.06,58.80%,Antoine Bethea,FS/S,6.731707317073171,2010.0,antoine bethea,antoine bethea,antoine bethea,62.0,Antoine Bethea,IND,S,1102.0,3152.0,17.0,18.0,0.0,1.0,14.0,0.0,66.0,74.4,84.7,90.4,1.0,0.0,5.4,6.0,6.0,0.0,104.3,18.0,888.0,184.0,622.0,22.0,21.0,88.0,1.0,36.0,4.0,303.0,2010.0,81988.8,MISSING,antoine bethea
Cowboys,00-0027914,0.0,Cowboys,0.0,37.50%,Andrew Sendejo,SS/S,0.0765178861788618,2010.0,andrew sendejo,andrew sendejo,andrew sendejo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cowboys,00-0027422,0.0,Cowboys,0.0,37.50%,Danny McCray,SS/S,0.2615170731707317,2010.0,danny mccray,danny mccray,danny mccray,153.0,Danny McCray,DAL,S,43.0,5929.0,9.0,1.0,0.0,0.0,9.0,0.0,71.9,70.4,78.9,82.2,1.0,0.0,0.0,0.0,0.0,0.0,36.1,2.0,1.0,35.0,34.0,1.0,1.0,3.0,0.0,3.0,0.0,13.0,2010.0,3027.2000000000003,MISSING,danny mccray
Cowboys,00-0027416,0.0,Cowboys,0.0,37.50%,Barry Church,SS/S,0.2634146341463415,2010.0,barry church,barry church,barry church,152.0,Barry Church,DAL,S,117.0,5924.0,13.0,2.0,0.0,1.0,9.0,0.0,47.2,43.7,77.4,36.3,0.0,0.0,25.0,4.0,0.0,1.0,117.7,4.0,83.0,30.0,76.0,2.0,3.0,10.0,0.0,4.0,0.0,49.0,2010.0,5112.900000000001,MISSING,barry church
Dolphins,00-0027762,56.102510436029974,Dolphins,-0.07,43.80%,Reshad Jones,SS/S,0.2927439024390244,2010.0,reshad jones,reshad jones,reshad jones,140.0,Reshad Jones,MIA,S,151.0,5686.0,6.0,4.0,0.0,0.0,17.0,0.0,63.3,72.8,77.4,90.0,1.0,0.0,0.0,0.0,1.0,0.0,26.3,5.0,123.0,18.0,78.0,10.0,4.0,11.0,1.0,10.0,0.0,53.0,2010.0,10992.8,MISSING,reshad jones
Dolphins,00-0027115,49.20913785360726,Dolphins,-0.07,43.80%,Chris Clemons,FS/S,0.3541666666666666,2010.0,chris clemons,chris clemons,chris clemons,117.0,Chris Clemons,MIA,S,865.0,5089.0,15.0,8.0,0.0,1.0,17.0,1.0,46.0,53.5,83.4,61.9,1.0,0.0,15.4,10.0,4.0,1.0,118.2,17.0,729.0,100.0,486.0,34.0,17.0,47.0,3.0,29.0,3.0,328.0,2010.0,46277.5,MISSING,chris clemons
Eagles,00-0027652,289.85768244591003,Eagles,0.01,58.80%,Nate Allen,FS/S,0.7479674796747967,2010.0,nate allen,nate allen,nate allen,131.0,Nate Allen,PHI,S,781.0,5562.0,13.0,4.0,0.0,1.0,24.0,0.0,36.4,50.3,52.6,72.7,3.0,0.0,13.7,7.0,2.0,1.0,109.4,20.0,554.0,216.0,448.0,10.0,12.0,40.0,2.0,29.0,6.0,347.0,2010.0,39284.3,MISSING,nate allen
Eagles,00-0027835,15.92636123348018,Eagles,0.01,58.80%,Kurt Coleman,FS/S,0.2689772357723577,2010.0,kurt coleman,kurt coleman,kurt coleman,145.0,Kurt Coleman,PHI,S,333.0,5767.0,14.0,2.0,0.0,0.0,24.0,0.0,45.0,53.5,19.0,89.2,1.0,0.0,2.9,1.0,1.0,1.0,87.3,7.0,263.0,66.0,206.0,2.0,4.0,31.0,2.0,11.0,1.0,105.0,2010.0,17815.5,MISSING,kurt coleman
Eagles,00-0026578,0.0,Eagles,0.01,58.80%,Colt Anderson,SS/S,0.1224292682926829,2010.0,colt anderson,colt anderson,colt anderson,124.0,Colt Anderson,PHI,S,94.0,5242.0,4.0,0.0,0.0,0.0,24.0,0.0,60.3,62.2,77.0,40.9,0.0,0.0,25.0,2.0,0.0,0.0,89.6,1.0,63.0,30.0,48.0,1.0,1.0,6.0,0.0,2.0,0.0,22.0,2010.0,5846.8,MISSING,colt anderson
Falcons,00-0027031,196.7752235398642,Falcons,0.1,76.50%,William Moore,SS/S,0.5447154471544715,2010.0,william moore,william moore,william moore,111.0,William Moore,ATL,S,961.0,4978.0,16.0,14.0,0.0,1.0,2.0,1.0,51.1,53.6,0.0,67.7,5.0,0.0,13.1,13.0,3.0,5.0,81.5,32.0,691.0,223.0,575.0,45.0,19.0,72.0,5.0,47.0,4.0,382.0,2010.0,51509.6,MISSING,william moore
Falcons,00-0027195,0.0,Falcons,0.1,76.50%,Rafael Bush,FS/S,0.0718699186991869,2010.0,rafael bush,rafael bush,rafael bush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falcons,00-0027195,0.0,Falcons,0.1,76.50%,Rafael Bush,FS/S,0.0306073170731707,2010.0,rafael bush,rafael bush,rafael bush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giants,00-0023443,288.4105217092819,Giants,0.09,62.50%,Antrel Rolle,SS/S,4.878048780487805,2010.0,antrel rolle,antrel rolle,antrel rolle,31.0,Antrel Rolle,NYG,S,991.0,2225.0,16.0,9.0,0.0,0.0,21.0,1.0,35.6,49.7,13.6,76.3,1.0,0.0,12.0,11.0,1.0,3.0,119.2,28.0,491.0,311.0,559.0,183.0,30.0,72.0,4.0,36.0,2.0,394.0,2010.0,49252.7,MISSING,antrel rolle
Giants,00-0026171,262.63811061295235,Giants,0.09,62.50%,Kenny Phillips,FS/S,1.1953252032520325,2010.0,kenny phillips,kenny phillips,kenny phillips,89.0,Kenny Phillips,NYG,S,943.0,4345.0,16.0,11.0,0.0,0.0,21.0,3.0,67.0,73.8,58.1,89.1,1.0,0.0,6.5,5.0,2.0,3.0,105.1,16.0,712.0,204.0,579.0,25.0,18.0,61.0,1.0,26.0,2.0,263.0,2010.0,69593.4,MISSING,kenny phillips
Jaguars,00-0027124,41.68789792006839,Jaguars,-0.1,50.00%,Don Carey,SS/S,0.2601626016260162,2010.0,don carey,don carey,don carey,119.0,Don Carey,JAX,S,656.0,5101.0,13.0,12.0,0.0,0.0,15.0,0.0,39.1,38.0,47.4,56.2,1.0,0.0,12.7,7.0,0.0,1.0,123.5,20.0,450.0,166.0,370.0,36.0,6.0,36.0,3.0,25.0,2.0,281.0,2010.0,24928.0,MISSING,don carey
Jets,00-0026253,81.5579334967028,Jets,0.08,68.40%,Dwight Lowery,FS/S,0.4765243902439024,2010.0,dwight lowery,dwight lowery,dwight lowery,96.0,Dwight Lowery,NYJ,S,420.0,4427.0,17.0,0.0,0.0,0.0,22.0,2.0,79.8,76.0,83.5,48.8,3.0,2.0,17.4,4.0,6.0,0.0,64.7,22.0,209.0,122.0,280.0,57.0,5.0,19.0,0.0,40.0,1.0,381.0,2010.0,31920.0,MISSING,dwight lowery
Jets,00-0025753,0.0,Jets,0.08,68.40%,James Ihedigbo,SS/S,0.8951219512195121,2010.0,james ihedigbo,james ihedigbo,james ihedigbo,86.0,James Ihedigbo,NYJ,S,119.0,4147.0,14.0,0.0,0.0,0.0,22.0,0.0,60.6,50.7,0.0,55.2,0.0,0.0,20.0,2.0,0.0,1.0,133.3,3.0,6.0,102.0,55.0,9.0,6.0,8.0,1.0,4.0,1.0,28.0,2010.0,6033.3,MISSING,james ihedigbo
Lions,00-0027009,280.64823617769224,Lions,-0.01,37.50%,Louis Delmas,FS/S,1.4882113821138212,2010.0,louis delmas,louis delmas,louis delmas,106.0,Louis Delmas,DET,S,900.0,4956.0,15.0,12.0,0.0,2.0,11.0,2.0,62.3,69.3,6.7,74.4,0.0,0.0,10.9,10.0,1.0,3.0,89.2,21.0,625.0,233.0,521.0,36.0,21.0,70.0,2.0,35.0,1.0,232.0,2010.0,62370.0,MISSING,louis delmas
Packers,00-0027676,171.47075093580506,Packers,0.18,70.00%,Morgan Burnett,SS/S,0.4380284552845528,2010.0,morgan burnett,morgan burnett,morgan burnett,135.0,Morgan Burnett,GB,S,197.0,5596.0,4.0,0.0,0.0,0.0,12.0,0.0,40.1,43.5,78.1,57.4,1.0,0.0,16.7,2.0,0.0,1.0,70.8,4.0,169.0,24.0,127.0,4.0,3.0,10.0,0.0,9.0,1.0,74.0,2010.0,8569.5,MISSING,morgan burnett
Packers,00-0018227,42.53903741704629,Packers,0.18,70.00%,Charles Woodson,SS/S,6.829268292682928,2010.0,charles woodson,charles woodson,charles woodson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panthers,00-0027035,184.5094865421594,Panthers,-0.21,12.50%,Sherrod Martin,SS/S,0.5130081300813008,2010.0,sherrod martin,sherrod martin,sherrod martin,112.0,Sherrod Martin,CAR,S,975.0,4982.0,15.0,19.0,0.0,1.0,5.0,1.0,80.1,69.3,58.8,63.7,1.0,0.0,14.6,13.0,2.0,1.0,58.8,15.0,825.0,122.0,526.0,26.0,23.0,57.0,2.0,26.0,0.0,154.0,2010.0,67567.5,MISSING,sherrod martin
Panthers,00-0026207,148.0743747198802,Panthers,-0.21,12.50%,Charles Godfrey,SS/S,0.5557317073170731,2010.0,charles godfrey,charles godfrey,charles godfrey,91.0,Charles Godfrey,CAR,S,1103.0,4381.0,16.0,13.0,1.0,1.0,5.0,0.0,46.6,55.3,62.2,66.1,4.0,0.0,10.4,10.0,1.0,2.0,91.5,31.0,784.0,267.0,583.0,44.0,26.0,73.0,3.0,49.0,4.0,512.0,2010.0,60995.899999999994,MISSING,charles godfrey
Patriots,00-0027647,346.70511323877673,Patriots,0.22,82.40%,Devin McCourty,FS/S,1.056910569105691,2010.0,devin mccourty,devin mccourty,devin mccourty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patriots,00-0027010,275.3135310224176,Patriots,0.22,82.40%,Patrick Chung,SS/S,1.548780487804878,2010.0,patrick chung,patrick chung,patrick chung,107.0,Patrick Chung,NE,S,835.0,4957.0,15.0,9.0,0.0,0.0,19.0,0.0,60.7,68.2,65.8,80.6,3.0,1.0,8.0,7.0,5.0,2.0,92.1,39.0,326.0,165.0,537.0,334.0,18.0,71.0,4.0,58.0,4.0,453.0,2010.0,56947.0,MISSING,patrick chung
Patriots,00-0025411,272.60613988171224,Patriots,0.22,82.40%,Brandon Meriweather,SS/S,1.4065040650406504,2010.0,brandon meriweather,brandon meriweather,brandon meriweather,71.0,Brandon Meriweather,NE,S,930.0,3640.0,17.0,10.0,0.0,0.0,19.0,0.0,33.8,42.7,57.0,76.8,3.0,0.0,9.5,6.0,2.0,3.0,100.7,20.0,854.0,61.0,591.0,10.0,6.0,47.0,1.0,30.0,3.0,355.0,2010.0,39711.0,MISSING,brandon meriweather
Patriots,00-0027017,245.93180211566457,Patriots,0.22,82.40%,Darius Butler,FS,0.8841463414634145,2010.0,darius butler,darius butler,darius butler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patriots,00-0027232,0.0,Patriots,0.22,82.40%,Sergio Brown,FS/S,0.2680577235772358,2010.0,sergio brown,sergio brown,sergio brown,147.0,Sergio Brown,NE,S,91.0,5803.0,8.0,0.0,0.0,0.0,19.0,0.0,79.5,80.8,79.3,83.3,0.0,0.0,0.0,0.0,0.0,0.0,82.8,6.0,16.0,27.0,77.0,40.0,3.0,8.0,0.0,8.0,0.0,35.0,2010.0,7352.8,MISSING,sergio brown
Raiders,00-0027023,223.11170867187823,Raiders,0.02,50.00%,Mike Mitchell,FS/S,0.9943089430894309,2010.0,mike mitchell,mike mitchell,mike mitchell,109.0,Mike Mitchell,OAK,S,497.0,4970.0,15.0,4.0,0.0,1.0,23.0,2.0,59.9,57.7,89.7,81.5,1.0,0.0,8.0,4.0,3.0,1.0,105.4,29.0,38.0,403.0,288.0,40.0,18.0,42.0,4.0,40.0,3.0,272.0,2010.0,28676.9,MISSING,mike mitchell
Raiders,00-0026240,96.10694121980713,Raiders,0.02,50.00%,Tyvon Branch,SS/S,0.4869560975609756,2010.0,tyvon branch,tyvon branch,tyvon branch,95.0,Tyvon Branch,OAK,S,992.0,4414.0,16.0,7.0,0.0,1.0,23.0,2.0,35.2,57.8,60.8,84.5,1.0,0.0,6.5,6.0,2.0,3.0,136.0,26.0,398.0,500.0,501.0,73.0,31.0,79.0,6.0,35.0,7.0,372.0,2010.0,57337.6,MISSING,tyvon branch
Rams,00-0027256,0.0,Rams,-0.04,43.80%,Darian Stewart,FS/S,0.2652439024390244,2010.0,darian stewart,darian stewart,darian stewart,148.0,Darian Stewart,SL,S,188.0,5820.0,11.0,0.0,0.0,0.0,26.0,0.0,63.3,67.0,0.0,61.7,0.0,0.0,14.3,2.0,1.0,1.0,82.7,8.0,23.0,146.0,112.0,18.0,7.0,12.0,1.0,14.0,0.0,111.0,2010.0,12596.0,MISSING,darian stewart
Rams,00-0024796,0.0,Rams,-0.04,43.80%,Craig Dahl,SS/S,1.056910569105691,2010.0,craig dahl,craig dahl,craig dahl,85.0,Craig Dahl,SL,S,907.0,3920.0,15.0,4.0,0.0,2.0,26.0,1.0,41.1,46.8,85.1,60.0,2.0,0.0,14.9,14.0,3.0,1.0,81.9,28.0,619.0,244.0,528.0,44.0,24.0,76.0,8.0,44.0,1.0,403.0,2010.0,42447.6,MISSING,craig dahl
Saints,00-0026990,426.2560593340269,Saints,0.11,64.70%,Malcolm Jenkins,FS/S,4.152845528455284,2010.0,malcolm jenkins,malcolm jenkins,malcolm jenkins,105.0,Malcolm Jenkins,NO,S,821.0,4937.0,15.0,6.0,0.0,1.0,20.0,2.0,76.0,71.2,2.3,53.0,2.0,1.0,16.7,12.0,10.0,4.0,65.8,25.0,526.0,59.0,452.0,145.0,16.0,54.0,2.0,44.0,1.0,293.0,2010.0,58455.2,MISSING,malcolm jenkins
Saints,00-0024258,175.9788377699521,Saints,0.11,64.70%,Roman Harper,SS/S,2.0495934959349595,2010.0,roman harper,roman harper,roman harper,53.0,Roman Harper,NO,S,913.0,2988.0,16.0,10.0,0.0,6.0,20.0,0.0,48.1,66.4,59.1,81.8,1.0,0.0,9.2,9.0,2.0,6.0,95.0,28.0,248.0,530.0,463.0,94.0,41.0,79.0,3.0,45.0,3.0,304.0,2010.0,60623.2,MISSING,roman harper
Seahawks,00-0027866,471.0858004294942,Seahawks,-0.13,44.40%,Earl Thomas,FS/S,1.3008130081300813,2010.0,earl thomas,earl thomas,earl thomas,130.0,Earl Thomas III,SEA,S,1241.0,5539.0,18.0,9.0,0.0,1.0,29.0,0.0,47.9,61.3,84.2,69.5,5.0,0.0,13.8,13.0,3.0,3.0,57.5,31.0,1114.0,78.0,743.0,39.0,17.0,72.0,1.0,53.0,3.0,345.0,2010.0,76073.3,MISSING,earl thomas
Seahawks,00-0027711,102.00863208644208,Seahawks,-0.13,44.40%,Walter Thurmond,FS/S,0.3625,2010.0,walter thurmond,walter thurmond,walter thurmond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seahawks,00-0027733,79.18260594331696,Seahawks,-0.13,44.40%,Kam Chancellor,SS/S,0.3035788617886179,2010.0,kam chancellor,kam chancellor,kam chancellor,137.0,Kam Chancellor,SEA,S,159.0,5656.0,16.0,1.0,0.0,0.0,29.0,0.0,52.8,60.7,78.2,87.6,0.0,0.0,0.0,0.0,1.0,0.0,90.5,3.0,120.0,32.0,120.0,7.0,4.0,9.0,0.0,7.0,1.0,22.0,2010.0,9651.3,MISSING,kam chancellor
Steelers,00-0022900,37.52687856662358,Steelers,0.18,73.70%,Will Allen,SS/S,1.056910569105691,2010.0,will allen,will allen,will allen,25.0,Will Allen,PIT,S,43.0,1832.0,6.0,0.0,0.0,0.0,25.0,0.0,63.0,60.1,0.0,58.1,0.0,0.0,25.0,1.0,0.0,1.0,118.8,2.0,39.0,4.0,32.0,0.0,0.0,3.0,0.0,2.0,0.0,32.0,2010.0,2584.3,MISSING,will allen
Steelers,00-0026334,29.710125376369927,Steelers,0.18,73.70%,Ryan Mundy,SS/S,0.3211382113821138,2010.0,ryan mundy,ryan mundy,ryan mundy,100.0,Ryan Mundy,PIT,S,182.0,4508.0,9.0,0.0,0.0,0.0,25.0,0.0,70.7,77.0,78.2,77.5,0.0,0.0,6.3,1.0,4.0,0.0,60.9,4.0,144.0,27.0,121.0,11.0,6.0,15.0,0.0,8.0,0.0,33.0,2010.0,14014.0,MISSING,ryan mundy
Texans,00-0027081,91.44788453922074,Texans,-0.04,37.50%,Glover Quin,FS/S,0.4207821138211382,2010.0,glover quin,glover quin,glover quin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Titans,00-0025406,304.40198683285286,Titans,-0.03,37.50%,Michael Griffin,FS/S,1.6465463414634147,2010.0,michael griffin,michael griffin,michael griffin,69.0,Michael Griffin,TEN,S,1179.0,3635.0,16.0,15.0,0.0,2.0,31.0,2.0,48.3,61.0,86.0,52.4,4.0,0.0,14.3,17.0,5.0,4.0,64.2,35.0,834.0,284.0,683.0,49.0,24.0,87.0,3.0,58.0,1.0,485.0,2010.0,71919.0,MISSING,michael griffin
Vikings,00-0026952,16.886564853052036,Vikings,-0.07,37.50%,Jamarca Sanford,SS/S,0.3311528455284553,2010.0,jamarca sanford,jamarca sanford,jamarca sanford,121.0,Jamarca Sanford,MIN,S,209.0,5155.0,6.0,1.0,0.0,0.0,18.0,1.0,53.4,53.9,78.3,52.7,0.0,0.0,18.8,3.0,0.0,0.0,120.0,7.0,182.0,25.0,141.0,1.0,3.0,12.0,0.0,10.0,1.0,63.0,2010.0,11265.1,MISSING,jamarca sanford
Vikings,00-0025940,0.0,Vikings,-0.07,37.50%,Husain Abdullah,FS/S,0.3888894308943089,2010.0,husain abdullah,husain abdullah,husain abdullah,104.0,Husain Abdullah,MIN,S,874.0,4652.0,15.0,13.0,0.0,0.0,18.0,0.0,48.2,63.0,83.8,77.5,3.0,0.0,9.3,7.0,4.0,0.0,82.2,24.0,704.0,153.0,510.0,9.0,14.0,55.0,3.0,38.0,3.0,311.0,2010.0,55062.0,MISSING,husain abdullah
49ers,00-0024223,288.4105217092819,49ers,0.12,77.80%,Donte Whitner,SS/S,2.146071028037383,2011.0,donte whitner,donte whitner,donte whitner,198.0,Donte Whitner,SF,S,1048.0,2953.0,17.0,11.0,0.0,2.0,28.0,3.0,61.0,71.4,85.3,76.0,2.0,0.0,8.6,7.0,5.0,1.0,84.6,32.0,751.0,245.0,680.0,21.0,23.0,63.0,2.0,49.0,2.0,370.0,2011.0,74827.20000000001,MISSING,donte whitner
49ers,00-0025513,57.21401440456056,49ers,0.12,77.80%,Dashon Goldson,FS/S,1.6614745586708204,2011.0,dashon goldson,dashon goldson,dashon goldson,220.0,Dashon Goldson,SF,S,1016.0,3742.0,16.0,10.0,0.0,1.0,28.0,1.0,49.4,52.8,1.2,77.3,7.0,0.0,9.9,9.0,4.0,4.0,90.9,38.0,931.0,72.0,688.0,11.0,11.0,72.0,1.0,57.0,5.0,596.0,2011.0,53644.8,MISSING,dashon goldson
49ers,00-0028128,38.276698123297095,49ers,0.12,77.80%,Colin Jones,FS/S,0.3115264797507788,2011.0,colin jones,colin jones,colin jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
