team,player_id,adjusted_value,Team,Net EPA,Win %,Player,Position,Cap_Space,year,merge_player_x,fuzzy_matched_player,final_player_name,Unnamed: 0,player,team_name,position,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,targeted_qb_rating,targets,touchdowns,wide_rate,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,inline_snaps,slot_snaps,wide_snaps,total_snaps,Year,weighted_grade,weighted_average_grade,merge_player_y
Ravens,00-0026246,88.92539996728728,Ravens,0.06,72.20%,Marcus Smith,WR,0.4821471544715447,2010.0,marcus smith,marcus kemp,marcus kemp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saints,00-0023503,88.49581699735438,Saints,0.11,64.70%,Courtney Roby,WR,0.9560975609756096,2010.0,courtney roby,courtney roby,courtney roby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saints,00-0026377,14.24219053986667,Saints,0.11,64.70%,Adrian Arrington,WR,0.4725609756097561,2010.0,adrian arrington,adrian arrington,adrian arrington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vikings,00-0011754,23.786557857521032,Vikings,-0.07,37.50%,Randy Moss,WR,3.9789569105691056,2010.0,randy moss,randy moss,randy moss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bears,00-0027352,0.0,Bears,-0.07,50.00%,Max Komar,WR,0.3376947040498442,2011.0,max komar,max komar,max komar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bears,00-0027352,0.0,Bears,-0.07,50.00%,Max Komar,WR,0.3239875389408099,2011.0,max komar,max komar,max komar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bengals,00-0028400,0.0,Bengals,0.0,52.90%,Armon Binns,WR,0.0804984423676012,2011.0,armon binns,armon binns,armon binns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bengals,00-0028400,0.0,Bengals,0.0,52.90%,Armon Binns,WR,0.0366496365524402,2011.0,armon binns,armon binns,armon binns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bills,00-0027708,96.88691837887748,Bills,-0.06,37.50%,Marcus Easley,WR,0.4443406022845275,2011.0,marcus easley,marcus easley,marcus easley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bills,00-0028497,0.0,Bills,-0.06,37.50%,Kamar Aiken,WR,0.3115264797507788,2011.0,kamar aiken,kamar aiken,kamar aiken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broncos,00-0028221,0.0,Broncos,-0.09,50.00%,D'Andre Goodwin,WR,0.3115264797507788,2011.0,dandre goodwin,marquise goodwin,marquise goodwin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardinals,00-0026333,27.176353799255914,Cardinals,-0.05,50.00%,Jaymar Johnson,WR,0.1356053997923156,2011.0,jaymar johnson,damaris johnson,damaris johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardinals,00-0027349,0.0,Cardinals,-0.05,50.00%,Stephen Williams,WR,0.378816199376947,2011.0,stephen williams,stephen williams,stephen williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colts,00-0027477,0.0,Colts,-0.19,12.50%,Blair White,WR,0.3738317757009346,2011.0,blair white,blair white,blair white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colts,00-0026716,0.0,Colts,-0.19,12.50%,Quan Cosby,WR,0.4361370716510903,2011.0,quan cosby,quan cosby,quan cosby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commanders,00-0028116,45.60137429655471,Commanders,-0.1,31.30%,Aldrick Robinson,WR,0.3115264797507788,2011.0,aldrick robinson,aldrick robinson,aldrick robinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cowboys,00-0028114,47.0564985527913,Cowboys,0.07,50.00%,Dwayne Harris,WR,0.3115264797507788,2011.0,dwayne harris,dwayne harris,dwayne harris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cowboys,00-0028263,0.0,Cowboys,0.07,50.00%,Andre Holmes,WR,0.3115264797507788,2011.0,andre holmes,andre holmes,andre holmes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolphins,00-0028049,102.00863208644208,Dolphins,-0.01,37.50%,Edmond Gates,WR,0.4056382139148494,2011.0,edmond gates,,edmond gates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolphins,00-0027358,0.0,Dolphins,-0.01,37.50%,Roberto Wallace,WR,0.3364485981308411,2011.0,roberto wallace,roberto wallace,roberto wallace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolphins,00-0027356,0.0,Dolphins,-0.01,37.50%,Marlon Moore,WR,0.2281752855659397,2011.0,marlon moore,marlon moore,marlon moore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolphins,00-0027173,0.0,Dolphins,-0.01,37.50%,Julius Pruitt,WR,0.2741433021806854,2011.0,julius pruitt,,julius pruitt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eagles,00-0026721,0.0,Eagles,0.11,50.00%,Tom Nelson,WR,0.4361370716510903,2011.0,tom nelson,jj nelson,jj nelson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eagles,00-0028120,43.41049379949581,Eagles,0.11,50.00%,Ronald Johnson,WR,0.3115264797507788,2011.0,ronald johnson,chad johnson,chad johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falcons,00-0028792,0.0,Falcons,0.08,58.80%,Kevin Cone,WR,0.3115264797507788,2011.0,kevin cone,kevin cone,kevin cone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jets,00-0024595,0.0,Jets,0.01,50.00%,Logan Payne,WR,0.3115264797507788,2011.0,logan payne,,logan payne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jets,00-0026860,0.0,Jets,0.01,50.00%,Eron Riley,WR,0.2015759086188993,2011.0,eron riley,byron pringle,byron pringle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lions,00-0026491,0.0,Lions,0.15,58.80%,Stefan Logan,WR,0.6438213914849429,2011.0,stefan logan,stefan logan,stefan logan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panthers,00-0027692,122.04399940591166,Panthers,0.02,37.50%,Armanti Edwards,WR,0.5220851505711319,2011.0,armanti edwards,armanti edwards,armanti edwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panthers,00-0028070,79.87969551747261,Panthers,0.02,37.50%,Kealoha Pilares,WR,0.356284942886812,2011.0,kealoha pilares,kealoha pilares,kealoha pilares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panthers,00-0028746,0.0,Panthers,0.02,37.50%,Darvin Adams,WR,0.3115264797507788,2011.0,darvin adams,davante adams,davante adams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raiders,00-0028825,147.8496699006052,Raiders,-0.05,50.00%,Terrelle Pryor,WR,0.341617445482866,2011.0,terrelle pryor,terrelle pryor,terrelle pryor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raiders,00-0026536,0.0,Raiders,-0.05,50.00%,Nick Miller,WR,0.3987538940809969,2011.0,nick miller,nick miller,nick miller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rams,00-0027520,0.0,Rams,-0.23,12.50%,Dominique Curry,WR,0.3738317757009346,2011.0,dominique curry,,dominique curry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steelers,00-0028270,0.0,Steelers,0.13,70.60%,Weslye Saunders,WR,0.3126338525441329,2011.0,weslye saunders,jalen saunders,jalen saunders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bears,00-0029494,0.0,Bears,0.09,62.50%,Joseph Anderson,WR,0.3233830845771144,2012.0,joseph anderson,,joseph anderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bills,00-0027708,87.66690906740426,Bills,-0.09,37.50%,Marcus Easley,WR,0.3233830845771144,2012.0,marcus easley,marcus easley,marcus easley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bills,00-0028237,0.0,Bills,-0.09,37.50%,Chris Hogan,WR,0.3233830845771144,2012.0,chris hogan,chris hogan,chris hogan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buccaneers,00-0023490,59.26755837793681,Buccaneers,0.01,43.80%,Roscoe Parrish,WR,0.4477611940298507,2012.0,roscoe parrish,roscoe parrish,roscoe parrish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buccaneers,00-0029361,0.0,Buccaneers,0.01,43.80%,David Douglas,WR,0.0808457711442786,2012.0,david douglas,demario douglas,demario douglas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buccaneers,00-0028646,0.0,Buccaneers,0.01,43.80%,David Gilreath,WR,0.1212686567164179,2012.0,david gilreath,david gilreath,david gilreath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardinals,00-0028606,0.0,Cardinals,-0.15,31.30%,Kerry Taylor,WR,0.0190223880597014,2012.0,kerry taylor,kerry taylor,kerry taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiefs,00-0029311,17.011239353891337,Chiefs,-0.26,12.50%,Junior Hemingway,WR,0.3233830845771144,2012.0,junior hemingway,junior hemingway,junior hemingway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiefs,00-0029319,0.0,Chiefs,-0.26,12.50%,Josh Bellamy,WR,0.0606343283582089,2012.0,josh bellamy,josh bellamy,josh bellamy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colts,00-0028270,0.0,Colts,-0.08,64.70%,Weslye Saunders,WR,0.3855721393034826,2012.0,weslye saunders,jalen saunders,jalen saunders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolphins,00-0029463,0.0,Dolphins,-0.08,43.80%,De'Andre Presley,WR,0.1140182421227197,2012.0,deandre presley,deandre presley,deandre presley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolphins,00-0026577,0.0,Dolphins,-0.08,43.80%,Marcus Thigpen,WR,0.3254560530679933,2012.0,marcus thigpen,,marcus thigpen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eagles,00-0028050,91.44788453922074,Eagles,-0.16,25.00%,Greg Salas,WR,0.3855721393034826,2012.0,greg salas,greg salas,greg salas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaguars,00-0024305,48.93373694866534,Jaguars,-0.19,12.50%,Maurice Stovall,WR,0.4477611940298507,2012.0,maurice stovall,maurice stovall,maurice stovall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaguars,00-0029511,0.0,Jaguars,-0.19,12.50%,Jerrell Jackson,WR,0.3233830845771144,2012.0,jerrell jackson,,jerrell jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaguars,00-0029055,0.0,Jaguars,-0.19,12.50%,Kevin Elliott,WR,0.2829601990049751,2012.0,kevin elliott,kevin elliott,kevin elliott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaguars,00-0026716,0.0,Jaguars,-0.19,12.50%,Quan Cosby,WR,0.8642902155887231,2012.0,quan cosby,quan cosby,quan cosby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaguars,00-0026465,0.0,Jaguars,-0.19,12.50%,Anthony Armstrong,WR,0.2798507462686567,2012.0,anthony armstrong,anthony armstrong,anthony armstrong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lions,00-0026491,0.0,Lions,-0.03,25.00%,Stefan Logan,WR,0.7172470978441128,2012.0,stefan logan,stefan logan,stefan logan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lions,00-0021570,0.0,Lions,-0.03,25.00%,Kassim Osgood,WR,0.5140961857379768,2012.0,kassim osgood,kassim osgood,kassim osgood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lions,00-0025934,0.0,Lions,-0.03,25.00%,Lance Long,WR,0.3855721393034826,2012.0,lance long,,lance long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packers,00-0028249,0.0,Packers,0.1,66.70%,Jeremy Ross,WR,0.3233830845771144,2012.0,jeremy ross,jeremy ross,jeremy ross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panthers,00-0027795,27.41474670043702,Panthers,0.05,43.80%,David Gettis,WR,0.4257976782752902,2012.0,david gettis,david gettis,david gettis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patriots,00-0026293,42.40554665855379,Patriots,0.22,72.20%,Matthew Slater,WR,1.2161409618573795,2012.0,matthew slater,matthew slater,matthew slater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patriots,00-0028497,0.0,Patriots,0.22,72.20%,Kamar Aiken,WR,0.3855721393034826,2012.0,kamar aiken,kamar aiken,kamar aiken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raiders,00-0028825,133.77991357033252,Raiders,-0.12,25.00%,Terrelle Pryor,WR,0.5070621890547263,2012.0,terrelle pryor,terrelle pryor,terrelle pryor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raiders,00-0027709,86.88494786109887,Raiders,-0.12,25.00%,Jacoby Ford,WR,0.5131600331674958,2012.0,jacoby ford,jacoby ford,jacoby ford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravens,00-0028288,0.0,Ravens,0.02,70.00%,LaQuan Williams,WR,0.3857097844112769,2012.0,laquan williams,laquan williams,laquan williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saints,00-0028532,0.0,Saints,-0.02,43.80%,Joseph Morgan,WR,0.3866774461028192,2012.0,joseph morgan,josh morgan,josh morgan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saints,00-0029006,0.0,Saints,-0.02,43.80%,Saalim Hakim,WR,0.3233830845771144,2012.0,saalim hakim,saalim hakim,saalim hakim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seahawks,00-0023438,206.51996360465236,Seahawks,0.18,66.70%,Braylon Edwards,WR,0.4477611940298507,2012.0,braylon edwards,braylon edwards,braylon edwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seahawks,00-0027063,97.6896726521068,Seahawks,0.18,66.70%,Deon Butler,WR,0.0899917081260364,2012.0,deon butler,deon butler,deon butler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bears,00-0024272,57.48297007811546,Bears,0.0,50.00%,Devin Hester,WR,2.3793333333333333,2013.0,devin hester,devin hester,devin hester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bears,00-0026691,0.0,Bears,0.0,50.00%,Chris Williams,WR,0.1001812297734627,2013.0,chris williams,chad williams,chad williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bengals,00-0028105,43.376396619258934,Bengals,0.14,64.70%,Ryan Whalen,WR,0.4743349514563106,2013.0,ryan whalen,ryan whalen,ryan whalen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bills,00-0029843,0.0,Bills,0.02,37.50%,Cordell Roberson,WR,0.0192742718446601,2013.0,cordell roberson,cordarrelle patterson,cordarrelle patterson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Browns,00-0030113,24.854614499248807,Browns,-0.06,25.00%,Charles Johnson,WR,0.0578244336569579,2013.0,charles johnson,charles johnson,charles johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buccaneers,00-0030147,0.0,Buccaneers,-0.1,25.00%,Russell Shepard,WR,0.3165331715210356,2013.0,russell shepard,russell shepard,russell shepard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chargers,00-0026266,42.38518434924473,Chargers,0.05,55.60%,Lavelle Hawkins,WR,0.4423665048543689,2013.0,lavelle hawkins,lavelle hawkins,lavelle hawkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colts,00-0028270,0.0,Colts,0.02,66.70%,Weslye Saunders,WR,0.2377208737864077,2013.0,weslye saunders,jalen saunders,jalen saunders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colts,00-0030135,0.0,Colts,0.02,66.70%,Josh Lenz,WR,0.3276699029126214,2013.0,josh lenz,josh ali,josh ali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commanders,00-0029319,0.0,Commanders,-0.09,18.80%,Josh Bellamy,WR,0.1142200647249191,2013.0,josh bellamy,josh bellamy,josh bellamy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolphins,00-0026577,0.0,Dolphins,-0.06,50.00%,Marcus Thigpen,WR,0.3903721682847896,2013.0,marcus thigpen,,marcus thigpen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lions,00-0023968,0.0,Lions,0.03,43.80%,Micheal Spurlock,WR,0.0264134304207119,2013.0,micheal spurlock,micheal spurlock,micheal spurlock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panthers,00-0030091,57.001600010185626,Panthers,0.15,70.60%,Tavarres King,WR,0.3276699029126214,2013.0,tavarres king,tavarres king,tavarres king,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raiders,00-0028825,121.0490715800535,Raiders,-0.13,25.00%,Terrelle Pryor,WR,0.5999328478964401,2013.0,terrelle pryor,terrelle pryor,terrelle pryor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rams,00-0030467,0.0,Rams,-0.05,43.80%,Justin Veltung,WR,0.0679611650485436,2013.0,justin veltung,,justin veltung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rams,00-0030467,0.0,Rams,-0.05,43.80%,Justin Veltung,WR,0.0578236245954692,2013.0,justin veltung,,justin veltung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravens,00-0029896,17.011239353891337,Ravens,-0.09,50.00%,Aaron Mellette,WR,0.2478616504854369,2013.0,aaron mellette,,aaron mellette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seahawks,00-0027595,0.0,Seahawks,0.22,84.20%,Bryan Walters,WR,0.0456885113268608,2013.0,bryan walters,bryan walters,bryan walters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vikings,00-0029934,0.0,Vikings,-0.11,33.30%,Rodney Smith,WR,0.2120218446601941,2013.0,rodney smith,rodney smith,rodney smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vikings,00-0029934,0.0,Vikings,-0.11,33.30%,Rodney Smith,WR,0.029126213592233,2013.0,rodney smith,rodney smith,rodney smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bears,00-0027816,14.76932520424394,Bears,-0.15,31.30%,Marc Mariani,WR,0.1512601503759398,2014.0,marc mariani,marc mariani,marc mariani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bengals,00-0029864,0.0,Bengals,0.01,62.50%,Onterio McCalebb,WR,0.0757894736842105,2014.0,onterio mccalebb,,onterio mccalebb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bengals,00-0029293,43.715524274716685,Bengals,0.01,62.50%,Marvin Jones,WR,0.459172932330827,2014.0,marvin jones,marvin jones,marvin jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bills,00-0027708,71.77559448077486,Bills,0.05,56.30%,Marcus Easley,WR,0.5488721804511278,2014.0,marcus easley,marcus easley,marcus easley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bills,00-0026577,0.0,Bills,0.05,56.30%,Marcus Thigpen,WR,0.1260503759398496,2014.0,marcus thigpen,,marcus thigpen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bills,00-0029388,0.0,Bills,0.05,56.30%,Deonte Thompson,WR,0.0756300751879699,2014.0,deonte thompson,deonte thompson,deonte thompson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broncos,00-0028906,0.0,Broncos,0.18,70.60%,Nathan Palmer,WR,0.0805263157894736,2014.0,nathan palmer,nathan palmer,nathan palmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Browns,00-0027356,0.0,Browns,-0.02,43.80%,Marlon Moore,WR,0.3277308270676691,2014.0,marlon moore,marlon moore,marlon moore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
