player_id,Year,Team,Cap_Space,age,adjusted_value,Net EPA,Win %,player,position,snap_counts_defense,player_game_count,assists,batted_passes,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,missed_tackle_rate,missed_tackles,penalties,sacks,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_dl,snap_counts_dl_outside_t,snap_counts_dl_over_t,stops,tackles,tackles_for_loss,total_pressures,weighted_grade,weighted_average_grade
00-0026618,2019,Cowboys,1.684886291179596,33.0,0.0,0.137,50.00%,Michael Bennett,ED,559.0,15.0,4.0,0.0,1.0,0.0,9.0,0.0,65.7,3.4,62.0,78.4,41.1,9.0,26.0,17.9,5.0,8.0,7.0,386.0,167.0,559.0,263.0,199.0,22.0,19.0,8.0,42.0,36726.3,65.29835616438356
00-0033880,2019,Dolphins,1.5714043570669505,24.0,313.60934853339984,-0.201,31.30%,Charles Harris,ED,429.0,14.0,6.0,0.0,0.0,0.0,17.0,0.0,62.3,72.3,61.4,57.0,66.6,6.0,7.0,8.7,2.0,1.0,0.0,231.0,189.0,420.0,325.0,46.0,8.0,15.0,2.0,13.0,26726.7,MISSING
00-0033541,2019,Dolphins,0.6454357066950053,24.0,278.5316718599112,-0.201,31.30%,Taco Charlton,ED,396.0,10.0,5.0,0.0,0.0,2.0,17.0,0.0,51.6,71.4,58.3,45.7,73.1,2.0,12.0,5.6,1.0,1.0,5.0,227.0,152.0,391.0,338.0,25.0,12.0,12.0,1.0,19.0,20433.6,MISSING
00-0027958,2019,Falcons,1.0520722635494155,31.0,81.09823416054626,-0.03,43.80%,Adrian Clayborn,ED,439.0,15.0,3.0,0.0,0.0,2.0,2.0,0.0,71.7,59.3,76.6,57.2,53.3,5.0,39.0,12.5,2.0,2.0,4.0,322.0,108.0,437.0,335.0,78.0,12.0,11.0,1.0,48.0,31476.300000000003,MISSING
00-0033574,2019,Dolphins,0.3028692879914984,24.0,43.37639661925893,-0.201,31.30%,Avery Moss,ED,348.0,11.0,9.0,0.0,0.0,0.0,17.0,0.0,49.8,86.8,48.6,55.0,63.5,0.0,3.0,12.0,3.0,1.0,0.0,155.0,189.0,344.0,198.0,59.0,11.0,13.0,0.0,3.0,17330.399999999998,MISSING
00-0033939,2019,Dolphins,0.3427205100956429,26.0,86.88494786109887,-0.201,31.30%,Vince Biegel,ED,627.0,15.0,21.0,0.0,0.0,0.0,17.0,0.0,69.8,74.5,59.7,69.5,55.0,11.0,19.0,13.6,8.0,1.0,4.0,317.0,239.0,576.0,558.0,15.0,22.0,30.0,2.0,34.0,43764.6,MISSING
00-0035449,2019,Dolphins,0.0464144527098831,24.0,0.0,-0.201,31.30%,Jamal Davis II,ED,12.0,2.0,0.0,0.0,0.0,0.0,17.0,0.0,42.3,0.0,55.4,60.2,MISSING,0.0,0.0,MISSING,0.0,1.0,0.0,3.0,6.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,507.6,MISSING
00-0034588,2019,Dolphins,0.2630180658873539,23.0,0.0,-0.201,31.30%,Trent Harris,ED,253.0,11.0,4.0,0.0,0.0,1.0,17.0,0.0,50.1,85.0,57.6,53.9,56.7,1.0,5.0,13.0,3.0,0.0,2.0,101.0,122.0,235.0,219.0,7.0,12.0,16.0,0.0,8.0,12675.3,MISSING
00-0033876,2019,Eagles,1.862250797024442,23.0,385.6924321499836,0.035,52.90%,Derek Barnett,ED,694.0,14.0,1.0,0.0,0.0,2.0,24.0,0.0,59.2,17.9,62.2,66.4,62.6,14.0,26.0,19.2,5.0,8.0,7.0,455.0,225.0,690.0,657.0,31.0,21.0,20.0,5.0,47.0,41084.8,MISSING
00-0034381,2019,Eagles,0.3822513283740701,22.0,73.86985889554606,0.035,52.90%,Josh Sweat,ED,352.0,16.0,1.0,0.0,1.0,0.0,24.0,0.0,63.7,72.2,63.7,66.8,79.7,5.0,17.0,0.0,0.0,1.0,5.0,260.0,86.0,350.0,322.0,24.0,15.0,13.0,4.0,27.0,22422.4,MISSING
00-0027865,2019,Eagles,1.8597236981934115,31.0,72.61848664224573,0.035,52.90%,Brandon Graham,ED,775.0,16.0,7.0,0.0,0.0,1.0,24.0,2.0,84.8,74.2,73.6,76.5,43.2,11.0,47.0,16.0,8.0,2.0,9.0,512.0,250.0,773.0,604.0,133.0,38.0,35.0,10.0,67.0,65720.0,66.78249433106576
00-0029412,2019,Eagles,1.1955366631243358,31.0,55.57318938939078,0.035,52.90%,Vinny Curry,ED,393.0,16.0,5.0,0.0,2.0,0.0,24.0,0.0,77.9,57.6,79.8,62.6,72.8,7.0,29.0,4.3,1.0,2.0,5.0,257.0,131.0,393.0,283.0,48.0,18.0,17.0,0.0,41.0,30614.7,MISSING
00-0033285,2019,Eagles,0.3427205100956429,24.0,0.0,0.035,52.90%,Daeshon Hall,ED,50.0,7.0,0.0,0.0,0.0,0.0,24.0,0.0,60.1,79.9,62.5,54.6,74.0,1.0,0.0,0.0,0.0,0.0,1.0,33.0,16.0,50.0,37.0,8.0,4.0,3.0,0.0,2.0,3005.0,MISSING
00-0035343,2019,Dolphins,0.207163655685441,21.0,0.0,-0.201,31.30%,Jonathan Ledbetter,ED,51.0,1.0,0.0,0.0,0.0,0.0,17.0,0.0,74.8,78.7,68.7,69.8,71.8,0.0,1.0,0.0,0.0,0.0,1.0,13.0,38.0,51.0,21.0,20.0,4.0,3.0,1.0,2.0,3814.8,MISSING
00-0032955,2019,Packers,1.1681785334750263,27.0,101.30635072680283,0.089,77.80%,Kyler Fackrell,ED,415.0,16.0,3.0,0.0,0.0,0.0,12.0,0.0,62.5,67.7,59.9,53.5,28.8,7.0,17.0,29.2,7.0,1.0,1.0,211.0,122.0,378.0,378.0,0.0,8.0,14.0,2.0,25.0,25937.5,MISSING
00-0031576,2019,Packers,3.852284803400638,26.0,59.77002962465531,0.089,77.80%,Za'Darius Smith,ED,872.0,16.0,5.0,0.0,1.0,1.0,12.0,0.0,90.2,33.8,89.8,78.0,52.1,22.0,55.0,16.3,7.0,6.0,16.0,543.0,318.0,804.0,688.0,82.0,36.0,31.0,4.0,93.0,78654.40000000001,MISSING
00-0034382,2019,Panthers,0.3629590860786397,25.0,69.07761291576324,-0.146,31.30%,Marquis Haynes Sr.,ED,210.0,11.0,3.0,0.0,0.0,0.0,5.0,1.0,58.9,58.5,58.2,55.9,58.1,2.0,6.0,11.1,1.0,1.0,2.0,139.0,65.0,207.0,200.0,5.0,3.0,5.0,0.0,10.0,12369.0,MISSING
00-0032952,2019,Saints,0.0675122210414452,25.0,208.07604701878915,0.12,76.50%,Noah Spence,ED,85.0,7.0,3.0,0.0,0.0,0.0,20.0,0.0,61.8,80.1,68.1,51.5,52.7,1.0,0.0,33.3,2.0,0.0,1.0,39.0,44.0,84.0,83.0,1.0,1.0,1.0,0.0,2.0,5253.0,MISSING
00-0032265,2019,Saints,0.7757704569606801,25.0,201.01981606008124,0.12,76.50%,Mario Edwards Jr.,ED,293.0,14.0,2.0,0.0,0.0,1.0,20.0,0.0,67.0,87.4,72.1,52.7,76.3,0.0,12.0,0.0,0.0,0.0,3.0,175.0,118.0,293.0,198.0,30.0,6.0,5.0,0.0,15.0,19631.0,MISSING
00-0033935,2019,Saints,0.4487630180658873,24.0,92.3849873246454,0.12,76.50%,Trey Hendrickson,ED,404.0,13.0,4.0,0.0,1.0,1.0,20.0,0.0,63.3,44.1,62.8,69.5,53.9,5.0,18.0,20.0,3.0,4.0,6.0,286.0,111.0,399.0,371.0,10.0,13.0,8.0,0.0,29.0,25573.2,MISSING
00-0027962,2019,Saints,5.072794899043571,30.0,74.2938400940439,0.12,76.50%,Cameron Jordan,ED,877.0,16.0,8.0,2.0,1.0,0.0,20.0,1.0,87.6,48.9,81.8,83.6,46.5,8.0,59.0,23.3,10.0,5.0,16.0,593.0,271.0,872.0,822.0,31.0,31.0,25.0,1.0,83.0,76825.2,MISSING
00-0035402,2019,Saints,0.2656748140276302,22.0,0.0,0.12,76.50%,Carl Granderson,ED,115.0,6.0,3.0,0.0,1.0,0.0,20.0,0.0,51.7,38.0,53.9,68.1,77.2,2.0,2.0,0.0,0.0,1.0,1.0,86.0,26.0,114.0,111.0,1.0,5.0,5.0,1.0,5.0,5945.5,MISSING
00-0034344,2019,Saints,1.6594888416578106,22.0,0.0,0.12,76.50%,Marcus Davenport,ED,533.0,13.0,10.0,0.0,1.0,3.0,20.0,0.0,84.1,60.3,73.6,82.4,59.4,10.0,35.0,14.8,4.0,2.0,6.0,355.0,149.0,502.0,470.0,25.0,17.0,13.0,2.0,51.0,44825.3,MISSING
00-0031364,2019,Seahawks,4.250797024442083,26.0,496.5853037914096,-0.001,66.70%,Jadeveon Clowney,ED,605.0,13.0,4.0,2.0,0.0,3.0,29.0,2.0,87.3,9.5,79.1,80.8,44.3,10.0,35.0,18.8,6.0,8.0,3.0,421.0,165.0,592.0,554.0,29.0,21.0,22.0,5.0,48.0,52816.5,MISSING
00-0035636,2019,Seahawks,1.0468629117959618,23.0,333.8002579172078,-0.001,66.70%,L.J. Collier,ED,152.0,11.0,2.0,0.0,0.0,0.0,29.0,0.0,48.6,83.7,50.2,50.6,29.0,0.0,1.0,33.3,2.0,0.0,0.0,86.0,66.0,152.0,86.0,54.0,2.0,2.0,0.0,1.0,7387.2,MISSING
00-0028103,2019,Ravens,0.4117959617428267,30.0,0.0,0.292,82.40%,Pernell McPhee,ED,260.0,7.0,2.0,1.0,0.0,0.0,3.0,0.0,64.5,0.0,64.6,80.3,69.3,3.0,8.0,5.3,1.0,4.0,3.0,175.0,76.0,227.0,187.0,23.0,14.0,16.0,5.0,14.0,16770.0,MISSING
00-0030059,2019,Seahawks,4.284006376195537,30.0,244.805366183716,-0.001,66.70%,Ezekiel Ansah,ED,338.0,11.0,2.0,2.0,1.0,2.0,29.0,2.0,59.0,35.4,56.9,53.5,34.1,5.0,11.0,25.0,5.0,3.0,3.0,247.0,69.0,336.0,309.0,26.0,10.0,13.0,2.0,19.0,19942.0,MISSING
00-0033024,2019,Seahawks,0.3825717321997874,26.0,0.0,-0.001,66.70%,Branden Jackson,ED,418.0,15.0,2.0,1.0,0.0,0.0,29.0,0.0,55.3,55.1,45.4,65.7,67.4,1.0,7.0,10.0,2.0,2.0,2.0,238.0,174.0,414.0,162.0,153.0,15.0,16.0,1.0,10.0,23115.4,MISSING
00-0034755,2019,Seahawks,0.3450605738575983,24.0,65.49867501399874,-0.001,66.70%,Shaquem Griffin,ED,96.0,6.0,0.0,0.0,0.0,0.0,29.0,0.0,63.9,80.9,64.1,61.7,74.9,3.0,6.0,0.0,0.0,0.0,0.0,80.0,9.0,92.0,92.0,0.0,0.0,1.0,0.0,9.0,6134.4,MISSING
00-0033886,2019,Steelers,1.341691817215728,24.0,267.757165420232,-0.014,50.00%,T.J. Watt,ED,935.0,16.0,9.0,6.0,1.0,8.0,25.0,4.0,91.3,20.0,91.7,80.1,37.2,19.0,44.0,20.4,10.0,9.0,18.0,511.0,372.0,862.0,861.0,1.0,37.0,30.0,7.0,81.0,85365.5,MISSING
00-0032146,2019,Steelers,4.905419766206164,26.0,256.7616180970457,-0.014,50.00%,Bud Dupree,ED,980.0,16.0,12.0,1.0,0.0,4.0,25.0,2.0,77.7,53.5,76.3,75.0,44.0,8.0,30.0,18.8,12.0,5.0,13.0,542.0,390.0,937.0,937.0,0.0,43.0,40.0,11.0,51.0,76146.0,MISSING
00-0031956,2019,Steelers,1.0108926673751328,26.0,17.73590467895352,-0.014,50.00%,Anthony Chickillo,ED,146.0,11.0,1.0,0.0,0.0,0.0,25.0,0.0,62.1,83.1,55.6,64.3,58.5,1.0,2.0,9.1,1.0,0.0,1.0,59.0,79.0,140.0,140.0,0.0,7.0,9.0,0.0,4.0,9066.6,MISSING
00-0035579,2019,Steelers,0.0928294367693942,24.0,0.0,-0.014,50.00%,Tuzar Skipper,ED,40.0,6.0,1.0,0.0,0.0,0.0,25.0,1.0,68.2,79.2,52.8,79.5,72.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,14.0,40.0,40.0,0.0,1.0,0.0,0.0,1.0,2728.0,MISSING
00-0027949,2019,Texans,7.970244420828905,30.0,104.8114128988005,-0.002,61.10%,J.J. Watt,ED,469.0,8.0,3.0,3.0,0.0,1.0,13.0,2.0,89.6,13.4,90.3,73.1,64.0,16.0,31.0,14.3,3.0,6.0,5.0,322.0,146.0,468.0,313.0,146.0,14.0,15.0,3.0,52.0,42022.4,MISSING
00-0030558,2019,Texans,2.2316684378320937,28.0,233.73195201848125,-0.002,61.10%,Barkevious Mingo,ED,75.0,8.0,0.0,0.0,0.0,0.0,13.0,0.0,50.7,0.0,59.4,55.8,69.9,2.0,2.0,0.0,0.0,2.0,0.0,29.0,39.0,61.0,61.0,0.0,0.0,1.0,0.0,4.0,3802.5,MISSING
00-0034831,2019,Seahawks,0.4607539851222104,22.0,139.39997550640575,-0.001,66.70%,Rasheem Green,ED,545.0,16.0,5.0,2.0,0.0,3.0,29.0,1.0,57.3,78.3,57.9,54.1,37.3,2.0,19.0,17.4,4.0,1.0,4.0,343.0,191.0,545.0,403.0,112.0,14.0,14.0,1.0,25.0,31228.5,MISSING
00-0032415,2019,Ravens,1.1099543039319872,27.0,50.85428474430284,0.292,82.40%,Matthew Judon,ED,791.0,16.0,5.0,0.0,0.0,4.0,3.0,0.0,70.5,58.1,78.3,58.7,46.4,25.0,27.0,15.7,8.0,3.0,10.0,439.0,243.0,711.0,707.0,3.0,36.0,38.0,8.0,62.0,55765.5,MISSING
00-0035651,2019,Ravens,0.3830111583421892,23.0,142.15703078607626,0.292,82.40%,Jaylon Ferguson,ED,498.0,14.0,4.0,0.0,0.0,0.0,3.0,1.0,58.0,58.2,52.1,62.2,53.2,6.0,22.0,17.1,6.0,2.0,2.0,287.0,193.0,495.0,420.0,38.0,21.0,25.0,5.0,30.0,28884.0,MISSING
00-0033283,2019,Ravens,0.8079814027630181,24.0,201.87982240825352,0.292,82.40%,Tyus Bowser,ED,389.0,16.0,2.0,0.0,0.0,1.0,3.0,1.0,70.8,66.9,70.6,62.8,82.0,5.0,15.0,0.0,0.0,1.0,5.0,222.0,87.0,354.0,354.0,0.0,12.0,12.0,0.0,25.0,27541.2,MISSING
00-0031500,2019,Panthers,0.3028692879914984,27.0,0.0,-0.146,31.30%,Efe Obada,ED,306.0,16.0,9.0,1.0,0.0,0.0,5.0,0.0,62.6,67.1,64.3,56.1,65.2,4.0,6.0,4.0,1.0,1.0,0.0,170.0,136.0,306.0,168.0,45.0,8.0,15.0,1.0,10.0,19155.6,MISSING
00-0028339,2019,Panthers,5.651125398512221,31.0,0.0,-0.146,31.30%,Mario Addison,ED,729.0,15.0,5.0,0.0,1.0,1.0,5.0,0.0,63.4,51.7,67.7,57.7,71.7,6.0,32.0,8.3,2.0,4.0,11.0,430.0,276.0,687.0,663.0,16.0,16.0,17.0,0.0,49.0,46218.6,MISSING
00-0035713,2019,Panthers,1.3081036131774708,21.0,444.4027540763752,-0.146,31.30%,Brian Burns,ED,478.0,16.0,2.0,0.0,1.0,1.0,5.0,1.0,63.7,23.4,68.7,55.2,42.1,8.0,14.0,22.2,4.0,5.0,8.0,289.0,170.0,464.0,453.0,6.0,16.0,12.0,1.0,30.0,30448.6,MISSING
00-0029193,2019,Panthers,2.02577045696068,31.0,124.68168718278754,-0.146,31.30%,Bruce Irvin,ED,608.0,13.0,5.0,0.0,1.0,1.0,5.0,1.0,62.9,66.8,62.6,57.2,46.4,8.0,20.0,12.9,4.0,2.0,8.0,345.0,229.0,593.0,575.0,2.0,24.0,22.0,2.0,36.0,38243.2,MISSING
00-0035257,2019,Panthers,0.3609213602550478,23.0,96.98665963857978,-0.146,31.30%,Christian Miller,ED,91.0,7.0,2.0,0.0,0.0,0.0,5.0,0.0,51.5,82.0,54.7,48.5,75.0,0.0,5.0,0.0,0.0,0.0,2.0,52.0,35.0,91.0,84.0,6.0,3.0,1.0,1.0,7.0,4686.5,MISSING
00-0035654,2019,Patriots,0.3954984059511158,24.0,157.81210231468515,0.227,70.60%,Chase Winovich,ED,291.0,16.0,3.0,0.0,0.0,0.0,19.0,0.0,72.5,84.2,66.1,65.6,66.4,3.0,13.0,14.3,2.0,0.0,7.0,232.0,53.0,275.0,274.0,0.0,11.0,9.0,0.0,23.0,21097.5,MISSING
00-0033947,2019,Patriots,0.4198405951115834,25.0,66.35589648472298,0.227,70.60%,Deatrich Wise Jr.,ED,229.0,14.0,4.0,0.0,1.0,1.0,19.0,0.0,68.8,0.0,85.2,64.4,62.0,8.0,16.0,10.0,3.0,7.0,2.0,121.0,106.0,229.0,42.0,108.0,14.0,23.0,2.0,26.0,15755.2,MISSING
00-0030442,2019,Patriots,0.9431455897980872,28.0,30.46424339665028,0.227,70.60%,John Simon,ED,481.0,16.0,10.0,2.0,0.0,1.0,19.0,0.0,73.3,70.6,61.1,69.8,65.6,3.0,15.0,9.8,4.0,1.0,4.0,236.0,213.0,465.0,465.0,0.0,19.0,27.0,0.0,22.0,35257.3,MISSING
