Unnamed: 0.1,Unnamed: 0_x,season,team,position_x,player_name,player_id_x,years_exp,entry_year,rookie_year,draft_club,age,pick,pff,stuart,johnson,hill,otc,adjusted_value,Year_x,Team,Net EPA,Win %,merge_player_x,fuzzy_matched_player,final_player_name,Unnamed: 0_y,player,team_name,position_y,snap_counts_defense,player_id_y,player_game_count,assists,batted_passes,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,missed_tackle_rate,missed_tackles,penalties,sacks,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_dl,snap_counts_dl_outside_t,snap_counts_dl_over_t,stops,tackles,tackles_for_loss,total_pressures,Year_y,weighted_grade,weighted_average_grade,merge_player_y
1180.0,1180.0,2010.0,Jets,LB,Bryan Thomas,00-0021081,8.0,2002.0,2002.0,Jets,31.0,22.0,0.584,14.9,780.0,252.71,1372.0,77.3351132120415,2010.0,Jets,0.08,68.40%,bryan thomas,bryan thomas,bryan thomas,14,Bryan Thomas,NYJ,ED,703,1029,19,4,0,0,1,22,1,69.9,59.6,65.1,65.0,76.7,0,15,3.1,1,1,8,244,348,521,227,257,30,27,4,23,2010,49139.7,MISSING,bryan thomas
1860.0,1860.0,2010.0,Texans,DL,Ryan Denney,00-0021189,8.0,2002.0,2002.0,Bills,33.0,61.0,0.322,8.4,292.0,86.21,835.0,39.908952293603896,2010.0,Texans,-0.04,37.50%,ryan denney,ryan denney,ryan denney,15,Ryan Denney,HST,ED,9,1068,2,0,0,0,0,13,0,65.8,70.8,64.1,60.8,MISSING,0,1,MISSING,0,0,0,6,3,9,0,9,0,0,0,1,2010,592.1999999999999,MISSING,ryan denney
1668.0,1668.0,2010.0,Saints,DL,Alex Brown,00-0021228,8.0,2002.0,2002.0,Bears,31.0,104.0,0.187,5.0,86.0,32.98,554.0,22.43392190886034,2010.0,Saints,0.11,64.70%,alex brown,alex brown,alex brown,16,Alex Brown,NO,ED,701,1105,17,1,3,0,1,20,1,64.0,64.7,56.5,67.4,72.0,5,26,5.1,2,3,2,438,260,696,1,693,28,36,6,33,2010,44864.0,MISSING,alex brown
338.0,338.0,2010.0,Browns,LB,Scott Fujita,00-0021259,8.0,2002.0,2002.0,Chiefs,31.0,143.0,0.128,3.0,35.0,13.84,387.0,14.293756593709826,2010.0,Browns,-0.12,31.30%,scott fujita,scott fujita,scott fujita,17,Scott Fujita,CLV,ED,542,1137,9,7,0,0,2,8,0,72.9,88.4,82.9,65.4,81.6,5,5,4.9,2,1,4,120,229,313,313,0,25,32,2,14,2010,39511.8,MISSING,scott fujita
1110.0,1110.0,2010.0,Jaguars,DL,Aaron Kampman,00-0021269,8.0,2002.0,2002.0,Packers,30.0,156.0,0.113,2.4,29.0,10.36,341.0,12.219462366456847,2010.0,Jaguars,-0.1,50.00%,aaron kampman,aaron kampman,aaron kampman,18,Aaron Kampman,JAX,ED,498,1148,8,3,1,0,0,15,0,67.0,67.9,69.4,58.5,77.6,14,13,0.0,0,1,5,278,205,498,1,497,15,16,2,32,2010,33366.0,MISSING,aaron kampman
405.0,405.0,2010.0,Buccaneers,DL,Stylez G White,00-0021332,8.0,2002.0,2002.0,Texans,31.0,229.0,0.054,0.0,0.0,2.04,139.0,3.874411375615593,2010.0,Buccaneers,0.05,62.50%,stylez g white,stylez white,stylez white,19,Stylez White,TB,ED,714,1196,16,6,0,0,2,30,0,67.5,73.2,72.3,55.2,59.7,13,24,9.1,3,1,5,400,273,712,19,690,23,24,6,42,2010,48195.0,MISSING,stylez white
1735.0,1735.0,2010.0,Seahawks,DL,Raheem Brock,00-0021340,8.0,2002.0,2002.0,Eagles,32.0,238.0,0.05,0.0,0.0,1.67,118.0,3.4345099923243136,2010.0,Seahawks,-0.13,44.40%,raheem brock,raheem brock,raheem brock,20,Raheem Brock,SEA,ED,676,1200,18,2,3,0,4,29,1,74.8,61.6,81.8,47.4,73.5,11,45,6.9,2,3,11,473,182,673,10,588,29,25,4,67,2010,50564.8,MISSING,raheem brock
1807.0,1807.0,2010.0,Steelers,LB,James Farrior,00-0005082,13.0,1997.0,1997.0,Jets,35.0,8.0,0.883,21.4,1400.0,405.8,1905.0,26.164012236597728,2010.0,Steelers,0.18,73.70%,james farrior,james harrison,james harrison,21,James Harrison,PIT,ED,1175,1251,19,14,1,2,4,25,1,89.4,29.2,87.6,83.8,88.4,18,35,5.4,5,10,15,468,378,974,964,10,63,73,6,68,2010,105045.0,MISSING,james harrison
1809.0,1809.0,2010.0,Steelers,LB,James Harrison,00-0020712,8.0,2002.0,2002.0,MISSING,32.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2010.0,Steelers,0.18,73.70%,james harrison,james harrison,james harrison,21,James Harrison,PIT,ED,1175,1251,19,14,1,2,4,25,1,89.4,29.2,87.6,83.8,88.4,18,35,5.4,5,10,15,468,378,974,964,10,63,73,6,68,2010,105045.0,MISSING,james harrison
1616.0,1616.0,2010.0,Ravens,LB,Terrell Suggs,00-0022161,7.0,2003.0,2003.0,Ravens,27.0,10.0,0.811,19.9,1300.0,369.09,1787.0,146.50066195646988,2010.0,Ravens,0.06,72.20%,terrell suggs,terrell suggs,terrell suggs,22,Terrell Suggs,BLT,ED,1136,1326,18,10,1,2,2,3,0,77.8,40.9,76.1,71.9,69.5,22,44,6.9,4,6,17,656,415,1063,194,868,50,44,9,83,2010,88380.8,MISSING,terrell suggs
1179.0,1179.0,2010.0,Jets,LB,Calvin Pace,00-0022120,7.0,2003.0,2003.0,Cardinals,29.0,18.0,0.633,16.2,900.0,286.72,1478.0,114.75245535921876,2010.0,Jets,0.08,68.40%,calvin pace,calvin pace,calvin pace,23,Calvin Pace,NYJ,ED,791,1334,15,6,2,0,2,22,0,61.0,74.6,52.5,69.5,58.1,3,6,10.7,6,2,8,393,308,589,189,392,36,44,3,17,2010,48251.0,MISSING,calvin pace
1363.0,1363.0,2010.0,Panthers,DL,Tyler Brayton,00-0022047,7.0,2003.0,2003.0,Raiders,30.0,32.0,0.502,12.5,590.0,184.3,1175.0,85.91269124909844,2010.0,Panthers,-0.21,12.50%,tyler brayton,tyler brayton,tyler brayton,24,Tyler Brayton,CAR,ED,616,1348,15,4,1,1,0,5,2,53.3,58.4,54.0,57.3,52.0,6,12,12.5,3,2,0,333,261,609,2,467,13,17,3,18,2010,32832.799999999996,MISSING,tyler brayton
202.0,202.0,2010.0,Bills,LB,Chris Kelsay,00-0021995,7.0,2003.0,2003.0,Bills,30.0,48.0,0.39,9.9,420.0,121.19,961.0,66.021526493308,2010.0,Bills,-0.19,25.00%,chris kelsay,chris kelsay,chris kelsay,25,Chris Kelsay,BUF,ED,1063,1364,16,13,1,0,1,4,0,53.5,87.5,61.1,50.8,57.3,7,26,14.5,9,1,4,418,533,906,255,651,32,40,4,37,2010,56870.5,MISSING,chris kelsay
1044.0,1044.0,2010.0,Giants,DL,Osi Umenyiora,00-0021977,7.0,2003.0,2003.0,Giants,28.0,56.0,0.347,9.0,340.0,98.27,880.0,58.36427211237375,2010.0,Giants,0.09,62.50%,osi umenyiora,osi umenyiora,osi umenyiora,26,Osi Umenyiora,NYG,ED,805,1371,16,5,1,0,9,21,1,81.8,45.5,82.1,65.7,81.0,11,26,6.7,2,4,12,529,253,788,3,784,30,23,3,49,2010,65849.0,MISSING,osi umenyiora
1619.0,1619.0,2010.0,Ravens,LB,Jarret Johnson,00-0022139,7.0,2003.0,2003.0,Ravens,29.0,109.0,0.177,4.7,76.0,29.51,530.0,28.522920562453436,2010.0,Ravens,0.06,72.20%,jarret johnson,jarret johnson,jarret johnson,27,Jarret Johnson,BLT,ED,1143,1421,18,10,0,0,1,3,0,71.5,75.5,58.6,74.4,64.5,3,21,10.1,7,1,2,470,418,628,199,425,33,52,5,26,2010,81724.5,MISSING,jarret johnson
659.0,659.0,2010.0,Colts,DL,Robert Mathis,00-0022059,7.0,2003.0,2003.0,Colts,29.0,138.0,0.134,3.2,37.0,15.47,405.0,20.34997931728064,2010.0,Colts,0.06,58.80%,robert mathis,robert mathis,robert mathis,28,Robert Mathis,IND,ED,868,1447,17,12,0,0,1,14,1,69.0,87.6,77.6,45.0,66.8,7,51,8.2,4,0,10,519,345,848,4,843,30,33,3,68,2010,59892.0,MISSING,robert mathis
1669.0,1669.0,2010.0,Saints,DL,Jimmy Wilkerson,00-0021960,7.0,2003.0,2003.0,Chiefs,29.0,189.0,0.078,1.2,16.0,4.97,240.0,10.558311238661716,2010.0,Saints,0.11,64.70%,jimmy wilkerson,jimmy wilkerson,jimmy wilkerson,29,Jimmy Wilkerson,NO,ED,340,1492,17,2,0,0,0,20,0,56.2,84.5,57.2,52.3,55.3,2,9,5.9,1,0,2,171,169,340,0,235,12,14,0,13,2010,19108.0,MISSING,jimmy wilkerson
1442.0,1442.0,2010.0,Patriots,LB,Tully Banta-Cain,00-0022038,7.0,2003.0,2003.0,Patriots,30.0,239.0,0.05,0.0,0.0,1.63,116.0,4.597585736097958,2010.0,Patriots,0.22,82.40%,tully bantacain,tully bantacain,tully bantacain,30,Tully Banta-Cain,NE,ED,764,1534,16,6,0,0,1,19,0,62.1,34.1,64.0,70.8,64.1,7,38,11.6,5,4,6,478,220,512,251,256,23,32,2,51,2010,47444.4,MISSING,tully bantacain
1737.0,1737.0,2010.0,Seahawks,DL,Chris Clemons,00-0021577,7.0,2003.0,2003.0,MISSING,28.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2010.0,Seahawks,-0.13,44.40%,chris clemons,chris clemons,chris clemons,31,Chris Clemons,SEA,ED,986,1585,18,5,4,0,1,29,1,79.7,17.8,86.2,62.9,58.4,11,62,11.4,4,9,13,566,365,960,91,869,26,26,4,86,2010,78584.2,MISSING,chris clemons
80.0,80.0,2010.0,Bears,DL,Israel Idonije,00-0021604,7.0,2003.0,2003.0,MISSING,29.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2010.0,Bears,0.02,66.70%,israel idonije,israel idonije,israel idonije,32,Israel Idonije,CHI,ED,957,1632,18,12,3,0,4,6,0,65.2,44.6,64.9,62.6,80.1,9,30,0.0,0,4,11,609,333,956,1,954,29,22,4,50,2010,62396.4,MISSING,israel idonije
1666.0,1666.0,2010.0,Saints,DL,Will Smith,00-0022911,6.0,2004.0,2004.0,Saints,29.0,18.0,0.633,16.2,900.0,286.72,1478.0,154.89961255761355,2010.0,Saints,0.11,64.70%,will smith,will smith,will smith,33,Will Smith,NO,ED,844,1739,16,7,5,1,1,20,0,63.6,47.0,68.3,57.3,50.7,5,34,12.2,5,3,6,501,340,840,4,833,25,29,4,45,2010,53678.4,MISSING,will smith
1919.0,1919.0,2010.0,Titans,DL,Jason Babin,00-0022695,6.0,2004.0,2004.0,Texans,30.0,27.0,0.541,13.6,680.0,215.81,1264.0,127.5456833095628,2010.0,Titans,-0.03,37.50%,jason babin,jason babin,jason babin,34,Jason Babin,TEN,ED,713,1748,16,7,0,2,2,31,0,78.6,0.0,87.0,68.4,67.3,20,30,4.5,2,11,14,438,268,710,2,682,36,35,8,64,2010,56041.8,MISSING,jason babin
23.0,23.0,2010.0,49ers,LB,Travis LaBoy,00-0022894,6.0,2004.0,2004.0,Titans,29.0,42.0,0.429,10.8,480.0,141.82,1032.0,98.29240534363272,2010.0,49ers,-0.03,37.50%,travis laboy,travis laboy,travis laboy,35,Travis LaBoy,SF,ED,342,1763,14,3,1,0,1,28,1,71.8,0.0,82.9,66.0,69.1,5,20,15.0,3,4,5,170,122,317,179,137,13,14,2,30,2010,24555.6,MISSING,travis laboy
193.0,193.0,2010.0,Bills,DL,Dwan Edwards,00-0022750,6.0,2004.0,2004.0,Ravens,29.0,51.0,0.373,9.6,390.0,112.03,929.0,85.1852565968352,2010.0,Bills,-0.19,25.00%,dwan edwards,dwan edwards,dwan edwards,36,Dwan Edwards,BUF,ED,558,1772,11,11,1,0,1,4,0,60.2,85.2,64.3,49.2,80.8,3,14,2.2,1,0,1,257,300,558,1,360,20,33,1,18,2010,33591.6,MISSING,dwan edwards
135.0,135.0,2010.0,Bengals,DL,Antwan Odom,00-0022918,6.0,2004.0,2004.0,Titans,28.0,57.0,0.342,8.9,330.0,95.73,871.0,77.59389344557198,2010.0,Bengals,-0.06,25.00%,antwan odom,antwan odom,antwan odom,37,Antwan Odom,CIN,ED,158,1778,4,2,1,0,0,7,0,61.8,80.2,55.9,66.3,45.4,0,7,28.6,2,0,0,109,47,158,0,111,2,3,0,7,2010,9764.4,MISSING,antwan odom
534.0,534.0,2010.0,Chargers,LB,Shaun Phillips,00-0022723,6.0,2004.0,2004.0,Chargers,29.0,98.0,0.201,5.4,108.0,37.68,586.0,44.305575838673306,2010.0,Chargers,0.24,56.30%,shaun phillips,shaun phillips,shaun phillips,38,Shaun Phillips,SD,ED,909,1819,16,8,5,0,0,27,1,70.9,79.3,65.2,67.1,63.5,2,26,10.0,5,1,11,419,373,830,464,366,39,37,6,39,2010,64448.100000000006,MISSING,shaun phillips
600.0,600.0,2010.0,Chiefs,LB,Demorrio Williams,00-0022707,6.0,2004.0,2004.0,Falcons,30.0,101.0,0.194,5.2,96.0,35.26,570.0,42.56174774939563,2010.0,Chiefs,0.05,58.80%,demorrio williams,demorrio williams,demorrio williams,39,Demorrio Williams,KC,ED,142,1822,13,0,0,0,0,16,0,67.4,0.0,63.6,73.9,61.8,1,8,12.5,1,2,1,93,28,92,2,89,5,7,0,10,2010,9570.8,MISSING,demorrio williams
138.0,138.0,2010.0,Bengals,DL,Robert Geathers,00-0022867,6.0,2004.0,2004.0,Bengals,27.0,117.0,0.16,4.3,60.0,24.7,492.0,34.87104351587171,2010.0,Bengals,-0.06,25.00%,robert geathers,robert geathers,robert geathers,40,Robert Geathers,CIN,ED,796,1838,16,7,2,0,1,7,1,53.1,48.4,55.8,57.5,77.8,4,21,9.4,3,3,1,450,337,787,1,633,16,22,0,26,2010,42267.6,MISSING,robert geathers
1983.0,1983.0,2010.0,Vikings,DL,Jared Allen,00-0022740,6.0,2004.0,2004.0,Chiefs,28.0,126.0,0.148,3.8,46.0,20.21,453.0,31.39971685287407,2010.0,Vikings,-0.07,37.50%,jared allen,jared allen,jared allen,41,Jared Allen,MIN,ED,934,1847,16,7,3,0,1,18,1,72.7,85.4,72.6,48.3,74.0,14,41,4.5,2,0,11,549,365,934,1,931,34,35,7,66,2010,67901.8,MISSING,jared allen
1922.0,1922.0,2010.0,Titans,DL,Dave Ball,00-0022814,6.0,2004.0,2004.0,Chargers,29.0,133.0,0.139,3.5,40.0,17.29,425.0,29.12965282492597,2010.0,Titans,-0.03,37.50%,dave ball,dave ball,dave ball,42,Dave Ball,TEN,ED,432,1854,11,3,3,0,0,31,1,58.7,6.0,70.4,50.3,77.8,4,15,0.0,0,4,7,256,169,429,3,416,16,12,0,26,2010,25358.4,MISSING,dave ball
932.0,932.0,2010.0,Eagles,DL,Bobby McCray,00-0022888,6.0,2004.0,2004.0,Jaguars,29.0,249.0,0.048,0.0,0.0,1.31,94.0,5.513341659241477,2010.0,Eagles,0.01,58.80%,bobby mccray,bobby mccray,bobby mccray,43,Bobby McCray,PHI,ED,22,1963,1,0,0,0,0,24,0,66.4,73.0,64.3,60.0,MISSING,0,1,MISSING,0,0,0,17,2,22,0,22,0,0,0,1,2010,1460.8000000000002,MISSING,bobby mccray
341.0,341.0,2010.0,Browns,LB,Eric Alexander,00-0022342,6.0,2004.0,2004.0,MISSING,28.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2010.0,Browns,-0.12,31.30%,eric alexander,eric alexander,eric alexander,44,Eric Alexander,CLV,ED,3,1973,3,0,0,0,0,8,0,61.0,68.7,MISSING,60.0,MISSING,0,0,MISSING,0,0,0,0,2,3,3,0,0,0,0,0,2010,183.0,MISSING,eric alexander
197.0,197.0,2010.0,Bills,DL,Spencer Johnson,00-0022610,6.0,2004.0,2004.0,MISSING,28.0,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2010.0,Bills,-0.19,25.00%,spencer johnson,spencer johnson,spencer johnson,45,Spencer Johnson,BUF,ED,491,2084,14,9,3,0,1,4,0,64.1,84.5,70.2,57.6,75.1,1,8,2.0,1,0,2,199,291,490,1,361,29,40,3,11,2010,31473.1,MISSING,spencer johnson
794.0,794.0,2010.0,Cowboys,LB,DeMarcus Ware,00-0023445,5.0,2005.0,2005.0,Cowboys,28.0,11.0,0.777,19.3,1250.0,357.62,1737.0,257.79447725064534,2010.0,Cowboys,0.0,37.50%,demarcus ware,demarcus ware,demarcus ware,46,DeMarcus Ware,DAL,ED,926,2228,16,4,0,3,2,9,3,88.0,32.2,90.8,62.9,75.2,8,55,6.1,3,6,15,509,354,786,542,244,50,42,9,78,2010,81488.0,MISSING,demarcus ware
199.0,199.0,2010.0,Bills,LB,Shawne Merriman,00-0023446,5.0,2005.0,2005.0,Chargers,26.0,12.0,0.742,18.8,1200.0,346.51,1691.0,249.01506048021696,2010.0,Bills,-0.19,25.00%,shawne merriman,shawne merriman,shawne merriman,47,Shawne Merriman,BUF,ED,43,2229,3,0,0,0,0,4,0,73.6,74.6,63.5,56.3,76.5,0,2,0.0,0,0,0,20,17,31,16,15,3,5,0,2,2010,3164.7999999999997,MISSING,shawne merriman
335.0,335.0,2010.0,Browns,LB,Matt Roth,00-0023481,5.0,2005.0,2005.0,Dolphins,27.0,46.0,0.402,10.2,440.0,127.71,984.0,124.28133523169616,2010.0,Browns,-0.12,31.30%,matt roth,matt roth,matt roth,48,Matt Roth,CLV,ED,1014,2263,16,16,1,0,0,8,0,63.5,38.2,69.6,65.9,72.9,11,40,8.1,6,6,3,397,483,840,724,107,30,52,4,54,2010,64389.0,MISSING,matt roth
1042.0,1042.0,2010.0,Giants,DL,Justin Tuck,00-0023509,5.0,2005.0,2005.0,Giants,27.0,74.0,0.264,7.2,220.0,63.93,733.0,81.66725418747438,2010.0,Giants,0.09,62.50%,justin tuck,justin tuck,justin tuck,49,Justin Tuck,NYG,ED,830,2291,16,13,2,0,4,21,5,81.3,77.7,79.8,63.4,56.2,9,33,10.9,6,1,13,499,294,762,0,694,43,36,9,55,2010,67479.0,MISSING,justin tuck
1309.0,1309.0,2010.0,Packers,LB,Brady Poppinga,00-0023559,5.0,2005.0,2005.0,Packers,30.0,125.0,0.149,3.9,47.0,20.67,457.0,42.97094617828304,2010.0,Packers,0.18,70.00%,brady poppinga,brady poppinga,brady poppinga,50,Brady Poppinga,GB,ED,106,2342,5,5,0,0,0,12,0,73.1,81.7,65.4,75.6,63.7,0,2,7.7,1,1,1,41,34,82,82,0,7,7,0,3,2010,7748.599999999999,MISSING,brady poppinga
990.0,990.0,2010.0,Falcons,DL,Chauncey Davis,00-0023562,5.0,2005.0,2005.0,Falcons,27.0,128.0,0.145,3.7,44.0,19.33,445.0,41.41717288351233,2010.0,Falcons,0.1,76.50%,chauncey davis,chauncey davis,chauncey davis,51,Chauncey Davis,ATL,ED,423,2345,17,2,1,0,0,2,1,63.2,83.0,56.7,60.3,77.2,1,14,0.0,0,0,1,210,194,421,0,421,12,18,4,16,2010,26733.6,MISSING,chauncey davis
930.0,930.0,2010.0,Eagles,DL,Trent Cole,00-0023579,5.0,2005.0,2005.0,Eagles,27.0,146.0,0.125,2.9,33.0,12.95,376.0,34.08864649091059,2010.0,Eagles,0.01,58.80%,trent cole,trent cole,trent cole,52,Trent Cole,PHI,ED,937,2363,16,10,1,1,2,24,0,81.7,5.8,83.9,77.1,68.8,15,56,9.2,6,10,10,530,365,922,2,913,44,49,10,81,2010,76552.90000000001,MISSING,trent cole
1301.0,1301.0,2010.0,Packers,DL,Mike Montgomery,00-0023613,5.0,2005.0,2005.0,Packers,27.0,180.0,0.087,1.5,19.0,6.07,265.0,21.923372158130483,2010.0,Packers,0.18,70.00%,mike montgomery,mike montgomery,mike montgomery,53,Mike Montgomery,GB,ED,3,2397,1,0,0,0,0,12,0,59.1,67.9,58.5,60.0,MISSING,0,0,MISSING,0,0,0,2,1,3,0,1,0,0,0,0,2010,177.3,MISSING,mike montgomery
