team,player_id_x,adjusted_value,Team,Net EPA,Win %,Player,Position,Cap_Space,year,merge_player_x,fuzzy_matched_player,final_player_name,Unnamed: 0,player,team_name,position,snap_counts_defense,player_id_y,player_game_count,assists,batted_passes,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,missed_tackle_rate,missed_tackles,penalties,sacks,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_dl,snap_counts_dl_outside_t,snap_counts_dl_over_t,stops,tackles,tackles_for_loss,total_pressures,Year,weighted_grade,weighted_average_grade,merge_player_y
Chiefs,00-0026093,0.0,Chiefs,0.05,58.80%,Anthony Toribio,DE,0.2601626016260162,2010.0,anthony toribio,,anthony toribio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colts,00-0027032,193.7762075234928,Colts,0.06,58.80%,Fili Moala,DE,0.5308943089430894,2010.0,fili moala,,fili moala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commanders,00-0025400,359.6817189495466,Commanders,-0.12,37.50%,Adam Carriker,DE,0.8699186991869919,2010.0,adam carriker,,adam carriker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cowboys,00-0023455,199.46946905061432,Cowboys,0.0,37.50%,Marcus Spears,DE,1.5609756097560976,2010.0,marcus spears,marcus benard,marcus benard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cowboys,00-0023455,199.46946905061432,Cowboys,0.0,37.50%,Marcus Spears,DE,0.9967479674796748,2010.0,marcus spears,marcus benard,marcus benard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cowboys,00-0022915,110.32201413925344,Cowboys,0.0,37.50%,Igor Olshansky,DE,2.8983739837398375,2010.0,igor olshansky,,igor olshansky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cowboys,00-0024307,87.07720788781249,Cowboys,0.0,37.50%,Jason Hatcher,DE,1.430081300813008,2010.0,jason hatcher,jason hunter,jason hunter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cowboys,00-0023954,0.0,Cowboys,0.0,37.50%,Stephen Bowen,DE,1.430081300813008,2010.0,stephen bowen,,stephen bowen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cowboys,00-0027087,82.54608326818396,Cowboys,0.0,37.50%,Brandon Williams,DE,0.3544715447154471,2010.0,brandon williams,trevardo williams,trevardo williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolphins,00-0027878,340.19935224465894,Dolphins,-0.07,43.80%,Jared Odrick,DE,1.0421170731707317,2010.0,jared odrick,,jared odrick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolphins,00-0026172,258.09598807634154,Dolphins,-0.07,43.80%,Phillip Merling,DE,1.8008130081300815,2010.0,phillip merling,,phillip merling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolphins,00-0026206,150.10609369803575,Dolphins,-0.07,43.80%,Kendall Langford,DE,0.556910569105691,2010.0,kendall langford,,kendall langford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolphins,00-0022805,63.08056403151153,Dolphins,-0.07,43.80%,Randy Starks,DE,3.4756097560975614,2010.0,randy starks,,randy starks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolphins,00-0027784,40.516245287022656,Dolphins,-0.07,43.80%,Clifton Geathers,DE,0.1437398373983739,2010.0,clifton geathers,,clifton geathers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolphins,00-0026385,12.925325241550336,Dolphins,-0.07,43.80%,Lionel Dotson,DE,0.2073170731707317,2010.0,lionel dotson,,lionel dotson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falcons,00-0026942,24.948575512865315,Falcons,0.1,76.50%,Vance Walker,DE,0.3211382113821138,2010.0,vance walker,dandre walker,dandre walker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giants,00-0023566,39.66708286530943,Giants,0.09,62.50%,Chris Canty,DE,5.2439024390243905,2010.0,chris canty,chris carter,chris carter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaguars,00-0027862,537.5543907208883,Jaguars,-0.1,50.00%,Tyson Alualu,DE,1.5731707317073171,2010.0,tyson alualu,,tyson alualu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jets,00-0026900,161.24989190679736,Jets,0.08,68.40%,Jarron Gilbert,DE,0.0718699186991869,2010.0,jarron gilbert,,jarron gilbert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jets,00-0026900,161.24989190679736,Jets,0.08,68.40%,Jarron Gilbert,DE,0.0566715447154471,2010.0,jarron gilbert,,jarron gilbert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jets,00-0019545,55.562770324321754,Jets,0.08,68.40%,Shaun Ellis,DE,2.7235772357723578,2010.0,shaun ellis,shaun phillips,shaun phillips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jets,00-0026043,0.0,Jets,0.08,68.40%,Marcus Dixon,DE,0.2601626016260162,2010.0,marcus dixon,marcus dowtin,marcus dowtin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jets,00-0025689,0.0,Jets,0.08,68.40%,Mike DeVito,DE,1.1300813008130082,2010.0,mike devito,,mike devito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packers,00-0021706,0.0,Packers,0.18,70.00%,Cullen Jenkins,DE,3.7154471544715446,2010.0,cullen jenkins,,cullen jenkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raiders,00-0026533,0.0,Raiders,0.02,50.00%,Desmond Bryant,DE,0.3252032520325203,2010.0,desmond bryant,desmond bryant,desmond bryant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravens,00-0021998,49.965978078950634,Ravens,0.06,72.20%,Cory Redding,DE,2.032520325203252,2010.0,cory redding,,cory redding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saints,00-0022753,48.511255771229806,Saints,0.11,64.70%,Anthony Hargrove,DE,0.9967479674796748,2010.0,anthony hargrove,,anthony hargrove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seahawks,00-0026261,74.08475097240371,Seahawks,-0.13,44.40%,Red Bryant,DE,0.471849593495935,2010.0,red bryant,desmond bryant,desmond bryant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seahawks,00-0027784,40.516245287022656,Seahawks,-0.13,44.40%,Clifton Geathers,DE,0.2601626016260162,2010.0,clifton geathers,,clifton geathers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seahawks,00-0022878,20.969716757625168,Seahawks,-0.13,44.40%,Amon Gordon,DE,0.1348634146341463,2010.0,amon gordon,cameron jordan,cameron jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steelers,00-0022010,26.734813113415825,Steelers,0.18,73.70%,Nick Eason,DE,0.5121951219512195,2010.0,nick eason,nick hampton,nick hampton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steelers,00-0015080,8.590938580242506,Steelers,0.18,73.70%,Aaron Smith,DE,5.365853658536586,2010.0,aaron smith,aldon smith,aldon smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steelers,00-0021344,3.32117874688998,Steelers,0.18,73.70%,Brett Keisel,DE,3.191056910569106,2010.0,brett keisel,,brett keisel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texans,00-0022793,28.51144702596268,Texans,-0.04,37.50%,Antonio Smith,DE,5.203252032520325,2010.0,antonio smith,aldon smith,aldon smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Titans,00-0026194,180.72008729049935,Titans,-0.03,37.50%,Jason Jones,DE,0.6056910569105691,2010.0,jason jones,jason jones,jason jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vikings,00-0026292,52.19778612474725,Vikings,-0.07,37.50%,Letroy Guion,DE,0.4180284552845528,2010.0,letroy guion,,letroy guion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49ers,00-0020535,77.51117982811535,49ers,0.12,77.80%,Justin Smith,DE,7.019730010384216,2011.0,justin smith,preston smith,preston smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49ers,00-0028479,0.0,49ers,0.12,77.80%,Demarcus Dobbs,DE,0.3149873312564901,2011.0,demarcus dobbs,,demarcus dobbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bears,00-0027716,86.45015941549606,Bears,-0.07,50.00%,Thaddeus Gibson,DE,0.3115264797507788,2011.0,thaddeus gibson,,thaddeus gibson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bengals,00-0024237,190.2136850580122,Bengals,0.0,52.90%,Manny Lawson,OLB/DE,2.907580477673936,2011.0,manny lawson,manny lawson,manny lawson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bengals,00-0028004,183.33999685942976,Bengals,0.0,52.90%,Dontay Moch,DE,0.4564020768431983,2011.0,dontay moch,dontay moch,dontay moch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bills,00-0026385,11.695317918839422,Bills,-0.06,37.50%,Lionel Dotson,DE,0.4610591900311526,2011.0,lionel dotson,,lionel dotson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bills,00-0027431,0.0,Bills,-0.06,37.50%,Kellen Heard,DE,0.3766014537902388,2011.0,kellen heard,,kellen heard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broncos,00-0025519,53.54496117658509,Broncos,-0.09,50.00%,Ryan McBean,DE,0.4984423676012461,2011.0,ryan mcbean,bryan braman,bryan braman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broncos,00-0027573,0.0,Broncos,-0.09,50.00%,Mitch Unrein,DE,0.3115264797507788,2011.0,mitch unrein,,mitch unrein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buccaneers,00-0027495,0.0,Buccaneers,-0.24,25.00%,George Johnson,DE,0.3115264797507788,2011.0,george johnson,george johnson,george johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardinals,00-0026190,174.10015454328868,Cardinals,-0.05,50.00%,Calais Campbell,DE,0.7725856697819315,2011.0,calais campbell,calais campbell,calais campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardinals,00-0022930,51.25764720910448,Cardinals,-0.05,50.00%,Darnell Dockett,DE,4.652128764278297,2011.0,darnell dockett,,darnell dockett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardinals,00-0022010,19.805636680938967,Cardinals,-0.05,50.00%,Nick Eason,DE,0.7975077881619937,2011.0,nick eason,nick hampton,nick hampton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardinals,00-0026791,0.0,Cardinals,-0.05,50.00%,Ronald Talley,DE,0.3364485981308411,2011.0,ronald talley,ronald talley,ronald talley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chargers,00-0023463,125.1523475906518,Chargers,0.04,50.00%,Luis Castillo,DE,4.652128764278297,2011.0,luis castillo,,luis castillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chargers,00-0027082,81.5579334967028,Chargers,0.04,50.00%,Vaughn Martin,DE,0.5371231568016614,2011.0,vaughn martin,,vaughn martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chargers,00-0022169,7.116270045778093,Chargers,0.04,50.00%,Antonio Garay,DE,0.7393561786085151,2011.0,antonio garay,,antonio garay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chargers,00-0021542,0.0,Chargers,0.04,50.00%,Jacques Cesaire,DE,0.8805815160955348,2011.0,jacques cesaire,,jacques cesaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiefs,00-0026980,620.4202579277504,Chiefs,-0.1,43.80%,Tyson Jackson,DE,9.420560747663552,2011.0,tyson jackson,tarron jackson,tarron jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiefs,00-0026145,492.9774689557595,Chiefs,-0.1,43.80%,Glenn Dorsey,DE,5.332710280373832,2011.0,glenn dorsey,,glenn dorsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiefs,00-0028024,140.273239863173,Chiefs,-0.1,43.80%,Allen Bailey,DE,0.4269873312564901,2011.0,allen bailey,,allen bailey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiefs,00-0028311,0.0,Chiefs,-0.1,43.80%,Brandon Bair,DE,0.3134645898234683,2011.0,brandon bair,brandon bair,brandon bair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiefs,00-0026105,0.0,Chiefs,-0.1,43.80%,Wallace Gilberry,DE,1.5244029075804777,2011.0,wallace gilberry,wallace gilberry,wallace gilberry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colts,00-0027032,175.3359632923575,Colts,-0.19,12.50%,Fili Moala,DE,0.6504672897196261,2011.0,fili moala,,fili moala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colts,00-0028025,138.79727216860618,Colts,-0.19,12.50%,Drake Nevis,DE,0.4255684319833852,2011.0,drake nevis,,drake nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commanders,00-0025400,325.4534778890434,Commanders,-0.1,31.30%,Adam Carriker,DE,1.1796469366562825,2011.0,adam carriker,,adam carriker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commanders,00-0027833,14.884490490575889,Commanders,-0.1,31.30%,Doug Worthington,DE,0.0804984423676012,2011.0,doug worthington,doug worthington,doug worthington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commanders,00-0023954,0.0,Commanders,-0.1,31.30%,Stephen Bowen,DE,3.7383177570093458,2011.0,stephen bowen,,stephen bowen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commanders,00-0028162,21.035209425105887,Commanders,-0.1,31.30%,Markus White,DE,0.3220942886812046,2011.0,markus white,markus white,markus white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cowboys,00-0023455,147.7706171424031,Cowboys,0.07,50.00%,Marcus Spears,DE,1.2045690550363446,2011.0,marcus spears,marcus benard,marcus benard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cowboys,00-0024307,64.5083822093813,Cowboys,0.07,50.00%,Jason Hatcher,DE,1.0799584631360333,2011.0,jason hatcher,jason hunter,jason hunter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cowboys,00-0027784,36.66061477402119,Cowboys,0.07,50.00%,Clifton Geathers,DE,0.3364485981308411,2011.0,clifton geathers,,clifton geathers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cowboys,00-0021262,10.105931516853104,Cowboys,0.07,50.00%,Kenyon Coleman,DE,0.9595015576323986,2011.0,kenyon coleman,antonio coleman,antonio coleman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolphins,00-0027878,307.8251035025631,Dolphins,-0.01,37.50%,Jared Odrick,DE,1.36618733125649,2011.0,jared odrick,,jared odrick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolphins,00-0026172,233.53490745643668,Dolphins,-0.01,37.50%,Phillip Merling,DE,1.9231568016614744,2011.0,phillip merling,,phillip merling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolphins,00-0026206,135.8216102531945,Dolphins,-0.01,37.50%,Kendall Langford,DE,1.3416407061266873,2011.0,kendall langford,,kendall langford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolphins,00-0022915,81.72855821666506,Dolphins,-0.01,37.50%,Igor Olshansky,DE,0.4361370716510903,2011.0,igor olshansky,,igor olshansky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolphins,00-0022805,46.731231205423555,Dolphins,-0.01,37.50%,Randy Starks,DE,4.07061266874351,2011.0,randy starks,,randy starks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolphins,00-0025445,138.83955506328573,Dolphins,-0.01,37.50%,Ikaika Alama-Francis,DE,0.5316718587746625,2011.0,ikaika alamafrancis,ikaika alamafrancis,ikaika alamafrancis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eagles,00-0021706,0.0,Eagles,0.11,50.00%,Cullen Jenkins,DE,5.711318795430945,2011.0,cullen jenkins,,cullen jenkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falcons,00-0026942,22.574404650736216,Falcons,0.08,58.80%,Vance Walker,DE,0.3987538940809969,2011.0,vance walker,dandre walker,dandre walker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falcons,00-0028168,18.805873715124815,Falcons,0.08,58.80%,Cliff Matthews,DE,0.3212876427829698,2011.0,cliff matthews,cliff matthews,cliff matthews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giants,00-0023566,29.38609774791279,Giants,-0.02,65.00%,Chris Canty,DE,5.981308411214954,2011.0,chris canty,chris carter,chris carter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaguars,00-0027862,486.3993269537819,Jaguars,-0.14,31.30%,Tyson Alualu,DE,1.948078920041537,2011.0,tyson alualu,,tyson alualu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jets,00-0025689,0.0,Jets,0.01,50.00%,Mike DeVito,DE,2.0560747663551404,2011.0,mike devito,,mike devito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jets,00-0026043,0.0,Jets,0.01,50.00%,Marcus Dixon,DE,0.3738317757009346,2011.0,marcus dixon,marcus dowtin,marcus dowtin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jets,00-0026016,0.0,Jets,0.01,50.00%,Ropati Pitoitua,DE,0.4610591900311526,2011.0,ropati pitoitua,,ropati pitoitua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panthers,00-0028169,18.662540381791484,Panthers,0.02,37.50%,Frank Kearse,DE,0.3115264797507788,2011.0,frank kearse,frank kearse,frank kearse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panthers,00-0027818,17.970942742379517,Panthers,0.02,37.50%,George Selvie,DE,0.3738317757009346,2011.0,george selvie,george selvie,george selvie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patriots,00-0019545,41.16191264781099,Patriots,0.14,79.00%,Shaun Ellis,DE,3.322949117341641,2011.0,shaun ellis,shaun phillips,shaun phillips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patriots,00-0028250,0.0,Patriots,0.14,79.00%,Alex Silvestro,TE/DE,0.1245607476635514,2011.0,alex silvestro,,alex silvestro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patriots,00-0028250,0.0,Patriots,0.14,79.00%,Alex Silvestro,TE/DE,0.0804984423676012,2011.0,alex silvestro,,alex silvestro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patriots,00-0027661,202.91037896646324,Patriots,0.14,79.00%,Jermaine Cunningham,DE,1.0669781931464175,2011.0,jermaine cunningham,jermaine cunningham,jermaine cunningham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravens,00-0021998,37.01570697506993,Ravens,0.15,72.20%,Cory Redding,DE,2.2429906542056073,2011.0,cory redding,,cory redding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravens,00-0028823,0.0,Ravens,0.15,72.20%,Michael McAdoo,DE,0.2143302180685358,2011.0,michael mcadoo,michael mauti,michael mauti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seahawks,00-0026261,67.03465478570683,Seahawks,0.0,43.80%,Red Bryant,DE,0.590134994807892,2011.0,red bryant,desmond bryant,desmond bryant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seahawks,00-0022753,35.93802218347819,Seahawks,0.0,43.80%,Anthony Hargrove,DE,0.4361370716510903,2011.0,anthony hargrove,,anthony hargrove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seahawks,00-0027828,15.8679384827685,Seahawks,0.0,43.80%,Dexter Davis,DE,0.3837158878504673,2011.0,dexter davis,dexter davis,dexter davis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seahawks,00-0026964,12.27016751540448,Seahawks,0.0,43.80%,Clinton McDonald,DE,0.3738317757009346,2011.0,clinton mcdonald,,clinton mcdonald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steelers,00-0027969,320.78691270063575,Steelers,0.13,70.60%,Cameron Heyward,DE,1.0127484942886813,2011.0,cameron heyward,cameron wake,cameron wake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steelers,00-0015080,6.364323833001177,Steelers,0.13,70.60%,Aaron Smith,DE,3.893132294911734,2011.0,aaron smith,aldon smith,aldon smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steelers,00-0021344,2.460389729836972,Steelers,0.13,70.60%,Brett Keisel,DE,2.782969885773624,2011.0,brett keisel,,brett keisel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texans,00-0027949,519.1343265344232,Texans,0.17,61.10%,J.J. Watt,DE,1.697347455867082,2011.0,jj watt,jj watt,jj watt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texans,00-0022793,21.121799454834733,Texans,0.17,61.10%,Antonio Smith,DE,4.2367601246105915,2011.0,antonio smith,aldon smith,aldon smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
