Team,Year,Cap_Space,adjusted_value,snap_counts_defense,snap_counts_fs,snap_counts_box,snap_counts_coverage,snap_counts_slot,assists,tackles,tackles_for_loss,stops,interceptions,interception_touchdowns,missed_tackles,pass_break_ups,penalties,declined_penalties,forced_fumbles,fumble_recoveries,receptions,targets,touchdowns,yards,player_game_count,Net EPA,Win %,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_tackle,missed_tackle_rate,qb_rating_against
Patriots,2010,9.033504878048781,1192.8370826663513,2852.0,1951.0,454.0,1843.0,418.0,38.0,172.0,5.0,34.0,11.0,2.0,25.0,10.0,7.0,0.0,0.0,1.0,94.0,144.0,10.0,1211.0,66.0,0.22,82.40%,58.8,63.32000000000001,72.9,71.12,10.940000000000001,79.7
Raiders,2010,4.7698829268292675,726.1221507115852,2461.0,1128.0,1077.0,1306.0,122.0,18.0,186.0,15.0,72.0,5.0,0.0,15.0,9.0,5.0,0.0,6.0,4.0,75.0,108.0,13.0,941.0,47.0,0.02,50.00%,59.0,68.53333333333333,78.5,84.53333333333333,7.0,107.96666666666665
Rams,2010,5.269308943089431,132.86161840708314,1289.0,755.0,463.0,748.0,66.0,6.0,98.0,9.0,37.0,2.0,0.0,18.0,4.0,2.0,0.0,2.0,1.0,44.0,68.0,1.0,609.0,31.0,-0.04,43.80%,51.43333333333334,55.13333333333333,55.1,63.26666666666667,14.5,90.3
Ravens,2010,9.154630081300812,259.3376547241264,1719.0,1115.0,472.0,988.0,119.0,16.0,119.0,4.0,42.0,2.0,1.0,11.0,4.0,3.0,1.0,1.0,1.0,45.0,70.0,5.0,480.0,42.0,0.06,72.20%,63.800000000000004,66.83333333333333,39.13333333333333,75.86666666666666,9.466666666666667,92.5
Saints,2010,8.965326829268292,785.5851552861404,2265.0,1238.0,647.0,1243.0,247.0,22.0,164.0,6.0,61.0,3.0,1.0,30.0,15.0,12.0,1.0,8.0,3.0,62.0,105.0,4.0,689.0,52.0,0.11,64.70%,60.06,61.46,41.72,55.0,13.38,61.04
Seahawks,2010,2.983152032520325,652.2770384592533,1928.0,1296.0,319.0,1202.0,276.0,16.0,112.0,4.0,38.0,7.0,0.0,20.0,7.0,4.0,1.0,2.0,0.0,65.0,110.0,7.0,689.0,52.0,-0.13,44.40%,54.23333333333333,61.96666666666667,83.16666666666667,72.13333333333333,9.9,77.3
Steelers,2010,10.357723577235774,188.3508833406814,2387.0,1816.0,415.0,1579.0,134.0,28.0,152.0,7.0,48.0,10.0,1.0,23.0,14.0,6.0,0.0,2.0,2.0,63.0,100.0,3.0,795.0,51.0,0.18,73.70%,64.725,68.525,50.325,69.35,13.799999999999999,78.025
Texans,2010,2.742379674796748,259.1554655540053,1387.0,900.0,406.0,774.0,62.0,24.0,112.0,4.0,40.0,3.0,0.0,12.0,5.0,7.0,0.0,4.0,1.0,29.0,50.0,7.0,348.0,27.0,-0.04,37.50%,38.099999999999994,49.05,34.45,73.69999999999999,9.4,86.95
Titans,2010,10.731246341463414,449.54964773780864,2363.0,1689.0,591.0,1365.0,67.0,26.0,167.0,8.0,47.0,5.0,0.0,25.0,9.0,6.0,0.0,3.0,3.0,56.0,90.0,1.0,812.0,32.0,-0.03,37.50%,50.55,61.35,86.0,67.35,11.2,75.25
Vikings,2010,6.158389430894308,350.9001639349448,1996.0,1694.0,273.0,1178.0,17.0,24.0,133.0,5.0,33.0,4.0,0.0,21.0,6.0,0.0,0.0,1.0,1.0,50.0,80.0,6.0,714.0,42.0,-0.07,37.50%,42.14,48.339999999999996,72.52000000000001,71.0,8.4,83.24
49ers,2011,6.051366978193147,562.3497498458618,2481.0,2044.0,348.0,1696.0,42.0,23.0,155.0,4.0,41.0,10.0,0.0,19.0,11.0,6.0,0.0,3.0,4.0,82.0,124.0,9.0,1166.0,66.0,0.12,77.80%,56.58,59.98,63.17999999999999,70.03999999999999,9.42,98.08
Bears,2011,7.136117133956386,640.3231404544476,1980.0,1549.0,353.0,1258.0,60.0,25.0,131.0,5.0,36.0,4.0,1.0,18.0,3.0,3.0,0.0,2.0,0.0,53.0,80.0,8.0,866.0,41.0,-0.07,50.00%,53.75,57.900000000000006,59.150000000000006,68.3,10.9,115.1
Bengals,2011,4.8847352024922115,606.1056323515139,2399.0,1519.0,572.0,1327.0,289.0,31.0,140.0,4.0,44.0,4.0,1.0,21.0,8.0,6.0,0.0,5.0,1.0,54.0,92.0,6.0,677.0,57.0,0.0,52.90%,56.15,57.175,54.975,66.75,9.3,87.275
Bills,2011,3.364210176531672,640.4075619751296,2069.0,1466.0,543.0,1107.0,39.0,33.0,182.0,7.0,58.0,8.0,1.0,18.0,6.0,3.0,0.0,5.0,2.0,57.0,91.0,8.0,667.0,38.0,-0.06,37.50%,58.53333333333333,66.46666666666665,77.60000000000001,80.7,9.166666666666666,74.93333333333332
Broncos,2011,4.416330633437176,446.0638647764708,2488.0,1662.0,688.0,1366.0,111.0,20.0,156.0,7.0,45.0,3.0,0.0,27.0,8.0,6.0,1.0,1.0,1.0,56.0,86.0,6.0,772.0,57.0,-0.09,50.00%,50.68,53.3,50.44,68.6,11.34,104.82000000000001
Browns,2011,5.62701308411215,396.1732422306621,2134.0,1340.0,658.0,1074.0,106.0,27.0,143.0,7.0,42.0,4.0,0.0,13.0,6.0,4.0,0.0,1.0,2.0,44.0,74.0,6.0,492.0,52.0,-0.08,25.00%,61.58,64.92,70.82000000000001,74.625,8.9,71.16
Buccaneers,2011,4.616995223260643,239.93751000197304,2032.0,1447.0,519.0,1050.0,60.0,18.0,143.0,3.0,35.0,3.0,0.0,47.0,8.0,2.0,0.0,2.0,3.0,35.0,68.0,7.0,595.0,45.0,-0.24,25.00%,52.92,51.379999999999995,70.26,49.58,20.48,65.78
Cardinals,2011,11.314445690550363,197.63900784239834,2013.0,1260.0,680.0,1096.0,61.0,19.0,116.0,12.0,51.0,1.0,0.0,13.0,13.0,11.0,1.0,1.0,3.0,37.0,66.0,3.0,556.0,36.0,-0.05,50.00%,64.95,66.675,36.1,79.60000000000001,7.766666666666667,76.875
Chargers,2011,8.96423676012461,692.9793530567486,1843.0,1374.0,401.0,1035.0,42.0,25.0,136.0,3.0,39.0,8.0,1.0,17.0,6.0,4.0,0.0,0.0,0.0,35.0,64.0,4.0,510.0,34.0,0.04,50.00%,51.425,52.0,51.650000000000006,71.2,11.699999999999998,66.075
Chiefs,2011,7.210321910695742,712.0789240857744,1260.0,873.0,225.0,683.0,108.0,5.0,62.0,0.0,8.0,5.0,1.0,14.0,8.0,3.0,1.0,1.0,1.0,25.0,45.0,3.0,423.0,29.0,-0.1,43.80%,59.666666666666664,56.76666666666667,41.73333333333333,52.2,16.1,83.4
Colts,2011,7.94406396677051,14.219983204570545,1815.0,1230.0,530.0,833.0,47.0,38.0,161.0,6.0,60.0,1.0,0.0,20.0,8.0,4.0,0.0,2.0,1.0,37.0,62.0,8.0,414.0,34.0,-0.19,12.50%,54.1,62.13333333333333,52.800000000000004,66.93333333333334,13.266666666666666,102.03333333333335
Commanders,2011,14.622768847352026,586.3618717266443,1363.0,687.0,602.0,713.0,64.0,19.0,122.0,4.0,45.0,0.0,0.0,17.0,1.0,4.0,0.0,2.0,2.0,42.0,58.0,4.0,620.0,30.0,-0.1,31.30%,44.199999999999996,50.699999999999996,59.56666666666666,71.96666666666665,10.6,129.5
Cowboys,2011,4.989130633437176,22.086199657729857,2184.0,1527.0,569.0,1340.0,77.0,24.0,139.0,7.0,35.0,2.0,0.0,14.0,1.0,1.0,0.0,3.0,4.0,58.0,75.0,5.0,708.0,54.0,0.07,50.00%,57.075,65.625,82.1,83.625,5.4,112.575
Dolphins,2011,7.886888473520249,181.31474801758773,2203.0,1569.0,569.0,1288.0,50.0,31.0,162.0,2.0,39.0,2.0,0.0,29.0,8.0,9.0,1.0,1.0,1.0,56.0,84.0,6.0,576.0,46.0,-0.01,37.50%,51.425,55.4,47.1,72.1,10.425,98.95
Eagles,2011,3.33471235721703,507.01754913125984,1747.0,1095.0,589.0,1016.0,47.0,22.0,124.0,7.0,43.0,6.0,0.0,20.0,7.0,1.0,0.0,1.0,0.0,38.0,70.0,6.0,730.0,35.0,0.11,50.00%,53.26666666666667,54.13333333333333,72.53333333333335,68.93333333333334,12.800000000000002,87.06666666666666
Falcons,2011,3.1869408099688474,342.1475401435398,2123.0,1657.0,363.0,1302.0,101.0,22.0,167.0,5.0,47.0,6.0,0.0,23.0,11.0,2.0,0.0,2.0,1.0,57.0,84.0,8.0,840.0,41.0,0.08,58.80%,52.9,59.833333333333336,70.2,73.86666666666666,10.966666666666667,107.23333333333333
Giants,2011,4.567817237798547,484.78900663759885,2631.0,1269.0,649.0,1599.0,667.0,23.0,184.0,4.0,60.0,6.0,0.0,21.0,9.0,9.0,1.0,4.0,1.0,97.0,145.0,6.0,1227.0,46.0,-0.02,65.00%,59.833333333333336,57.93333333333334,38.03333333333333,78.86666666666667,6.066666666666666,101.89999999999999
Jaguars,2011,3.9294097611630323,409.6375876135444,1956.0,1405.0,478.0,1175.0,60.0,21.0,128.0,3.0,32.0,4.0,0.0,18.0,7.0,5.0,0.0,1.0,2.0,57.0,88.0,3.0,767.0,46.0,-0.14,31.30%,56.9,57.120000000000005,42.67999999999999,68.525,11.925,70.2
Jets,2011,3.991201661474559,305.08621735710017,2283.0,1331.0,780.0,1226.0,144.0,18.0,140.0,3.0,41.0,3.0,0.0,22.0,5.0,5.0,0.0,1.0,3.0,58.0,91.0,1.0,789.0,46.0,0.01,50.00%,62.025000000000006,63.125,55.7,58.666666666666664,14.066666666666668,53.35
Lions,2011,3.6080299065420562,504.9781257331328,1894.0,1358.0,415.0,1153.0,103.0,11.0,130.0,4.0,38.0,3.0,0.0,33.0,5.0,2.0,0.0,0.0,1.0,45.0,72.0,5.0,628.0,37.0,0.15,58.80%,51.0,48.4,79.425,43.6,24.599999999999998,74.85
Packers,2011,12.539653582554516,301.4225835950128,2279.0,1646.0,539.0,1488.0,76.0,41.0,167.0,3.0,36.0,9.0,1.0,23.0,10.0,0.0,0.0,4.0,2.0,70.0,108.0,10.0,979.0,36.0,0.18,88.20%,53.7,56.5,79.52499999999999,64.06666666666668,15.166666666666666,77.14999999999999
Panthers,2011,3.223940186915888,552.032358304847,2089.0,1286.0,666.0,1163.0,118.0,24.0,139.0,5.0,39.0,5.0,0.0,34.0,8.0,4.0,0.0,2.0,0.0,67.0,99.0,6.0,1071.0,41.0,0.02,37.50%,42.166666666666664,44.96666666666667,84.60000000000001,53.13333333333333,15.633333333333333,111.06666666666666
Patriots,2011,5.327961786085151,579.9703694269062,2243.0,1590.0,506.0,1390.0,122.0,30.0,151.0,4.0,33.0,2.0,0.0,25.0,5.0,7.0,1.0,0.0,0.0,56.0,84.0,7.0,724.0,48.0,0.14,79.00%,54.260000000000005,58.0,63.379999999999995,61.17999999999999,16.56,97.04
Raiders,2011,3.861022637590862,618.7939534494402,3100.0,1377.0,1028.0,1870.0,642.0,35.0,189.0,6.0,60.0,9.0,0.0,26.0,7.0,8.0,1.0,1.0,0.0,80.0,149.0,8.0,1149.0,56.0,-0.05,50.00%,60.75,60.5,52.1,69.95,12.225,74.375
Rams,2011,5.031152647975078,0.0,2428.0,1416.0,836.0,1289.0,171.0,24.0,185.0,13.0,63.0,4.0,1.0,41.0,13.0,4.0,2.0,9.0,1.0,70.0,116.0,4.0,935.0,47.0,-0.23,12.50%,53.166666666666664,51.86666666666667,57.79999999999999,60.73333333333333,15.733333333333334,81.89999999999999
Ravens,2011,9.932650467289719,290.4491048011763,1276.0,735.0,416.0,690.0,116.0,22.0,83.0,2.0,30.0,1.0,0.0,12.0,11.0,3.0,0.0,3.0,1.0,35.0,56.0,1.0,410.0,41.0,0.15,72.20%,70.53333333333333,70.66666666666667,64.33333333333333,74.8,7.2,72.89999999999999
Saints,2011,5.77916261682243,516.0607616243561,2443.0,1453.0,761.0,1484.0,179.0,20.0,174.0,6.0,60.0,0.0,0.0,29.0,9.0,11.0,0.0,4.0,2.0,64.0,118.0,11.0,1048.0,54.0,0.21,77.80%,56.300000000000004,59.150000000000006,34.325,66.7,13.175,111.85
Seahawks,2011,5.268143717549325,590.204671323613,2286.0,1613.0,577.0,1328.0,86.0,17.0,167.0,9.0,70.0,6.0,0.0,23.0,13.0,7.0,2.0,2.0,3.0,53.0,85.0,4.0,637.0,51.0,0.0,43.80%,67.32000000000001,70.67999999999999,57.260000000000005,75.53999999999999,6.7,41.06
Steelers,2011,10.506749740394602,144.40679717779952,2230.0,1399.0,635.0,1326.0,174.0,44.0,171.0,12.0,63.0,4.0,0.0,21.0,17.0,6.0,0.0,2.0,1.0,62.0,112.0,4.0,638.0,50.0,0.13,70.60%,64.875,70.125,47.65,80.36666666666666,8.366666666666667,50.05
Texans,2011,4.6289736240913815,373.74325126511985,2692.0,1689.0,731.0,1712.0,220.0,30.0,173.0,3.0,49.0,5.0,0.0,21.0,13.0,10.0,3.0,0.0,1.0,82.0,138.0,5.0,953.0,59.0,0.17,61.10%,54.98,54.279999999999994,55.160000000000004,72.92500000000001,8.9,81.44
Titans,2011,10.992109657320874,427.5611611518808,1444.0,1124.0,274.0,839.0,42.0,8.0,89.0,5.0,29.0,3.0,0.0,13.0,6.0,5.0,0.0,2.0,2.0,35.0,53.0,5.0,362.0,33.0,-0.02,56.30%,56.56666666666666,59.9,18.599999999999998,74.86666666666666,7.8,82.39999999999999
Vikings,2011,4.305407268951194,297.19069681372434,2111.0,1733.0,349.0,1233.0,21.0,29.0,141.0,5.0,34.0,4.0,0.0,21.0,9.0,1.0,0.0,1.0,3.0,49.0,76.0,15.0,831.0,43.0,-0.1,18.80%,43.775,46.875,66.3,65.425,11.85,102.675
49ers,2012,10.477853233830846,479.6583196620055,2519.0,2171.0,277.0,1597.0,53.0,37.0,153.0,4.0,39.0,4.0,1.0,29.0,8.0,8.0,0.0,2.0,3.0,69.0,97.0,14.0,783.0,58.0,0.19,72.20%,64.125,64.75,54.025000000000006,73.425,6.8,109.32499999999999
Bears,2012,2.600103648424544,325.95900181485274,2207.0,1608.0,435.0,1403.0,142.0,27.0,137.0,8.0,36.0,6.0,1.0,23.0,6.0,7.0,0.0,1.0,3.0,44.0,72.0,2.0,550.0,47.0,0.09,62.50%,62.339999999999996,61.5,70.17999999999999,63.44,13.84,68.1
Bengals,2012,5.547325870646767,464.20232356333156,1941.0,1398.0,376.0,1137.0,156.0,15.0,135.0,8.0,39.0,6.0,0.0,17.0,7.0,3.0,1.0,1.0,1.0,38.0,60.0,3.0,505.0,49.0,0.06,58.80%,68.55,69.525,53.325,76.775,9.05,103.625
Bills,2012,5.1046243781094525,579.46472486828,2244.0,1564.0,555.0,1283.0,105.0,34.0,164.0,9.0,60.0,5.0,0.0,13.0,6.0,4.0,0.0,7.0,2.0,32.0,50.0,1.0,421.0,49.0,-0.09,37.50%,68.825,72.475,63.675,87.225,4.125,63.8
Broncos,2012,4.765874792703151,514.88806321706,2498.0,1742.0,488.0,1528.0,250.0,22.0,169.0,4.0,48.0,4.0,0.0,17.0,10.0,7.0,0.0,2.0,3.0,71.0,105.0,9.0,874.0,62.0,0.19,76.50%,66.74,67.84,51.42,84.15,5.8500000000000005,71.24
Browns,2012,4.10393864013267,338.314992385621,2369.0,1681.0,527.0,1402.0,131.0,31.0,135.0,4.0,48.0,5.0,0.0,15.0,6.0,5.0,1.0,3.0,1.0,43.0,68.0,4.0,568.0,47.0,-0.06,31.30%,60.05,68.35,69.7,73.625,10.0,95.1
Buccaneers,2012,1.1542495854063017,129.34268141957946,420.0,365.0,49.0,339.0,6.0,7.0,25.0,0.0,3.0,2.0,0.0,5.0,3.0,1.0,0.0,0.0,0.0,9.0,15.0,3.0,191.0,17.0,0.01,43.80%,61.8,63.2,73.44999999999999,61.8,13.5,52.1
Cardinals,2012,9.262754560530679,305.81153009292785,2139.0,1239.0,748.0,1074.0,137.0,19.0,122.0,2.0,35.0,7.0,1.0,16.0,8.0,4.0,0.0,2.0,2.0,40.0,69.0,4.0,575.0,47.0,-0.15,31.30%,71.45,72.95,66.55,73.75,9.6,85.325
Chargers,2012,12.849476782752902,712.6858481907701,2181.0,1529.0,496.0,1336.0,115.0,29.0,175.0,11.0,60.0,5.0,1.0,26.0,8.0,1.0,0.0,2.0,1.0,64.0,99.0,4.0,759.0,47.0,-0.02,43.80%,58.05,68.22500000000001,82.0,75.15,9.425,83.625
Chiefs,2012,8.874150082918739,637.6109979483798,2516.0,1318.0,899.0,1339.0,247.0,24.0,165.0,15.0,55.0,1.0,0.0,31.0,12.0,5.0,0.0,1.0,0.0,71.0,109.0,11.0,940.0,57.0,-0.26,12.50%,55.760000000000005,58.220000000000006,83.34,58.52,15.38,124.66000000000001
Colts,2012,7.659584577114428,305.91431681036755,1836.0,1247.0,416.0,1055.0,164.0,28.0,116.0,2.0,34.0,1.0,0.0,20.0,8.0,2.0,0.0,0.0,0.0,41.0,65.0,4.0,650.0,37.0,-0.08,64.70%,50.56666666666666,51.76666666666667,74.56666666666666,70.89999999999999,8.799999999999999,113.96666666666668
Commanders,2012,4.455456053067993,355.95240577084945,2244.0,1465.0,591.0,1400.0,182.0,40.0,161.0,4.0,53.0,4.0,1.0,35.0,11.0,6.0,0.0,0.0,1.0,53.0,85.0,5.0,670.0,60.0,0.09,58.80%,61.379999999999995,61.96,61.94,62.65999999999999,15.48,76.44
Cowboys,2012,4.06369320066335,142.7769063900144,2066.0,1471.0,446.0,1197.0,140.0,26.0,114.0,3.0,20.0,2.0,0.0,29.0,7.0,1.0,1.0,1.0,1.0,55.0,83.0,5.0,911.0,47.0,0.0,50.00%,57.3,56.56,80.66,53.9,17.32,94.12
Dolphins,2012,2.6133955223880596,117.48267759957305,2224.0,1492.0,516.0,1302.0,201.0,21.0,154.0,7.0,39.0,6.0,0.0,23.0,5.0,3.0,0.0,2.0,3.0,35.0,67.0,1.0,465.0,35.0,-0.08,43.80%,75.56666666666666,71.0,65.45,77.1,11.6,22.6
Eagles,2012,2.592389718076285,450.08138514641,2080.0,1309.0,623.0,1133.0,122.0,30.0,164.0,5.0,45.0,3.0,0.0,38.0,6.0,2.0,1.0,1.0,0.0,53.0,91.0,9.0,747.0,36.0,-0.16,25.00%,50.425,50.025,82.15,50.55,19.1,92.65
Falcons,2012,3.201009950248756,292.97906376415295,2288.0,1614.0,529.0,1311.0,123.0,22.0,165.0,8.0,44.0,10.0,0.0,41.0,7.0,4.0,1.0,2.0,3.0,63.0,99.0,5.0,1018.0,42.0,0.12,77.80%,62.75,62.475,31.375,52.666666666666664,18.066666666666666,64.15
Giants,2012,11.01512935323383,415.6529437004036,2385.0,1506.0,457.0,1396.0,406.0,29.0,166.0,8.0,38.0,10.0,0.0,22.0,6.0,2.0,1.0,3.0,2.0,71.0,103.0,5.0,802.0,49.0,0.02,56.30%,64.35999999999999,69.3,76.06,75.7,5.36,87.86
Jaguars,2012,6.3588582089552235,185.82597733179506,2372.0,1624.0,520.0,1292.0,211.0,34.0,162.0,3.0,44.0,3.0,0.0,24.0,7.0,5.0,0.0,0.0,1.0,58.0,86.0,8.0,723.0,46.0,-0.19,12.50%,59.15,61.199999999999996,66.675,71.15,8.8,98.65
Jets,2012,5.7056840796019905,404.4789789118131,2415.0,1432.0,697.0,1239.0,264.0,24.0,178.0,6.0,49.0,3.0,1.0,23.0,11.0,7.0,1.0,3.0,4.0,55.0,97.0,5.0,798.0,49.0,-0.11,37.50%,63.925,65.675,47.125,80.025,5.550000000000001,61.85
Lions,2012,4.71614096185738,625.1235864885532,2046.0,1593.0,333.0,1235.0,116.0,24.0,156.0,7.0,43.0,5.0,0.0,25.0,4.0,3.0,1.0,0.0,1.0,40.0,70.0,4.0,606.0,45.0,-0.03,25.00%,58.699999999999996,62.357142857142854,79.12857142857142,70.12857142857142,10.157142857142857,68.75714285714285
Packers,2012,10.898773631840797,242.91690171054987,2437.0,1619.0,609.0,1549.0,191.0,34.0,160.0,5.0,47.0,4.0,1.0,22.0,10.0,4.0,0.0,2.0,2.0,67.0,115.0,6.0,780.0,54.0,0.1,66.70%,62.175,62.0,68.85,70.5,8.875,59.15
Panthers,2012,5.170414593698175,351.58475475627125,2114.0,1546.0,445.0,1271.0,105.0,24.0,127.0,3.0,31.0,4.0,1.0,29.0,7.0,5.0,0.0,0.0,1.0,42.0,69.0,8.0,559.0,44.0,0.05,43.80%,60.38333333333333,60.96666666666667,59.36666666666667,60.86,13.8,78.28333333333335
